,protein1,protein2,id1,id2
0,9606.ENSP00000480428,9606.ENSP00000169298,38.0,37.0
1,9606.ENSP00000310696,9606.ENSP00000169298,40.0,37.0
2,9606.ENSP00000386377,9606.ENSP00000169298,7.0,37.0
3,9606.ENSP00000360645,9606.ENSP00000233616,4.0,43.0
4,9606.ENSP00000239891,9606.ENSP00000233616,39.0,43.0
5,9606.ENSP00000310120,9606.ENSP00000233616,21.0,43.0
6,9606.ENSP00000299626,9606.ENSP00000233616,26.0,43.0
7,9606.ENSP00000360149,9606.ENSP00000233616,33.0,43.0
8,9606.ENSP00000237530,9606.ENSP00000233616,8.0,43.0
9,9606.ENSP00000295770,9606.ENSP00000233616,22.0,43.0
10,9606.ENSP00000250498,9606.ENSP00000233616,11.0,43.0
11,9606.ENSP00000380793,9606.ENSP00000233616,5.0,43.0
12,9606.ENSP00000266483,9606.ENSP00000233616,24.0,43.0
13,9606.ENSP00000239891,9606.ENSP00000237530,39.0,8.0
14,9606.ENSP00000299626,9606.ENSP00000237530,26.0,8.0
15,9606.ENSP00000310120,9606.ENSP00000237530,21.0,8.0
16,9606.ENSP00000266483,9606.ENSP00000237530,24.0,8.0
17,9606.ENSP00000361625,9606.ENSP00000237530,1.0,8.0
18,9606.ENSP00000357384,9606.ENSP00000239891,30.0,39.0
19,9606.ENSP00000360644,9606.ENSP00000239891,17.0,39.0
20,9606.ENSP00000359224,9606.ENSP00000239891,3.0,39.0
21,9606.ENSP00000266483,9606.ENSP00000239891,24.0,39.0
22,9606.ENSP00000262374,9606.ENSP00000239891,19.0,39.0
23,9606.ENSP00000399457,9606.ENSP00000239891,31.0,39.0
24,9606.ENSP00000482396,9606.ENSP00000239891,42.0,39.0
25,9606.ENSP00000322181,9606.ENSP00000239891,16.0,39.0
26,9606.ENSP00000296255,9606.ENSP00000239891,2.0,39.0
27,9606.ENSP00000430236,9606.ENSP00000239891,25.0,39.0
28,9606.ENSP00000299626,9606.ENSP00000239891,26.0,39.0
29,9606.ENSP00000310120,9606.ENSP00000239891,21.0,39.0
30,9606.ENSP00000378260,9606.ENSP00000239891,0.0,39.0
31,9606.ENSP00000361625,9606.ENSP00000250498,1.0,11.0
32,9606.ENSP00000266483,9606.ENSP00000250498,24.0,11.0
33,9606.ENSP00000386597,9606.ENSP00000250498,28.0,11.0
34,9606.ENSP00000310120,9606.ENSP00000250498,21.0,11.0
35,9606.ENSP00000452948,9606.ENSP00000261483,34.0,36.0
36,9606.ENSP00000360645,9606.ENSP00000261483,4.0,36.0
37,9606.ENSP00000322181,9606.ENSP00000262374,16.0,19.0
38,9606.ENSP00000380793,9606.ENSP00000262374,5.0,19.0
39,9606.ENSP00000333813,9606.ENSP00000262374,13.0,19.0
40,9606.ENSP00000299626,9606.ENSP00000262374,26.0,19.0
41,9606.ENSP00000360149,9606.ENSP00000262374,33.0,19.0
42,9606.ENSP00000386597,9606.ENSP00000262374,28.0,19.0
43,9606.ENSP00000482396,9606.ENSP00000262374,42.0,19.0
44,9606.ENSP00000430236,9606.ENSP00000262374,25.0,19.0
45,9606.ENSP00000357384,9606.ENSP00000262374,30.0,19.0
46,9606.ENSP00000338487,9606.ENSP00000264968,32.0,20.0
47,9606.ENSP00000307423,9606.ENSP00000264968,12.0,20.0
48,9606.ENSP00000360149,9606.ENSP00000266483,33.0,24.0
49,9606.ENSP00000424544,9606.ENSP00000266483,14.0,24.0
50,9606.ENSP00000310120,9606.ENSP00000266483,21.0,24.0
51,9606.ENSP00000380793,9606.ENSP00000266483,5.0,24.0
52,9606.ENSP00000378260,9606.ENSP00000266483,0.0,24.0
53,9606.ENSP00000399457,9606.ENSP00000266483,31.0,24.0
54,9606.ENSP00000482396,9606.ENSP00000266483,42.0,24.0
55,9606.ENSP00000386597,9606.ENSP00000266483,28.0,24.0
56,9606.ENSP00000430236,9606.ENSP00000266483,25.0,24.0
57,9606.ENSP00000333813,9606.ENSP00000266483,13.0,24.0
58,9606.ENSP00000386597,9606.ENSP00000295770,28.0,22.0
59,9606.ENSP00000360149,9606.ENSP00000295770,33.0,22.0
60,9606.ENSP00000310120,9606.ENSP00000295770,21.0,22.0
61,9606.ENSP00000361625,9606.ENSP00000295770,1.0,22.0
62,9606.ENSP00000333813,9606.ENSP00000295770,13.0,22.0
63,9606.ENSP00000380793,9606.ENSP00000295770,5.0,22.0
64,9606.ENSP00000376472,9606.ENSP00000295770,9.0,22.0
65,9606.ENSP00000310120,9606.ENSP00000296255,21.0,2.0
66,9606.ENSP00000380793,9606.ENSP00000296255,5.0,2.0
67,9606.ENSP00000361625,9606.ENSP00000296255,1.0,2.0
68,9606.ENSP00000430236,9606.ENSP00000299626,25.0,26.0
69,9606.ENSP00000333813,9606.ENSP00000299626,13.0,26.0
70,9606.ENSP00000399457,9606.ENSP00000299626,31.0,26.0
71,9606.ENSP00000482396,9606.ENSP00000299626,42.0,26.0
72,9606.ENSP00000340466,9606.ENSP00000299626,18.0,26.0
73,9606.ENSP00000386597,9606.ENSP00000299626,28.0,26.0
74,9606.ENSP00000378260,9606.ENSP00000299626,0.0,26.0
75,9606.ENSP00000376472,9606.ENSP00000299626,9.0,26.0
76,9606.ENSP00000380793,9606.ENSP00000299626,5.0,26.0
77,9606.ENSP00000360149,9606.ENSP00000299626,33.0,26.0
78,9606.ENSP00000360644,9606.ENSP00000299626,17.0,26.0
79,9606.ENSP00000417764,9606.ENSP00000307423,27.0,12.0
80,9606.ENSP00000338487,9606.ENSP00000307423,32.0,12.0
81,9606.ENSP00000386377,9606.ENSP00000307423,7.0,12.0
82,9606.ENSP00000360149,9606.ENSP00000310120,33.0,21.0
83,9606.ENSP00000424544,9606.ENSP00000310120,14.0,21.0
84,9606.ENSP00000380793,9606.ENSP00000310120,5.0,21.0
85,9606.ENSP00000376472,9606.ENSP00000310120,9.0,21.0
86,9606.ENSP00000378260,9606.ENSP00000310120,0.0,21.0
87,9606.ENSP00000399457,9606.ENSP00000310120,31.0,21.0
88,9606.ENSP00000482396,9606.ENSP00000310120,42.0,21.0
89,9606.ENSP00000333813,9606.ENSP00000310120,13.0,21.0
90,9606.ENSP00000430236,9606.ENSP00000310120,25.0,21.0
91,9606.ENSP00000391227,9606.ENSP00000310696,41.0,40.0
92,9606.ENSP00000369055,9606.ENSP00000310696,6.0,40.0
93,9606.ENSP00000480428,9606.ENSP00000310696,38.0,40.0
94,9606.ENSP00000380793,9606.ENSP00000322181,5.0,16.0
95,9606.ENSP00000386597,9606.ENSP00000322181,28.0,16.0
96,9606.ENSP00000361625,9606.ENSP00000322181,1.0,16.0
97,9606.ENSP00000359224,9606.ENSP00000333813,3.0,13.0
98,9606.ENSP00000360149,9606.ENSP00000333813,33.0,13.0
99,9606.ENSP00000376472,9606.ENSP00000333813,9.0,13.0
100,9606.ENSP00000378260,9606.ENSP00000333813,0.0,13.0
101,9606.ENSP00000360644,9606.ENSP00000333813,17.0,13.0
102,9606.ENSP00000430236,9606.ENSP00000333813,25.0,13.0
103,9606.ENSP00000399457,9606.ENSP00000333813,31.0,13.0
104,9606.ENSP00000386597,9606.ENSP00000333813,28.0,13.0
105,9606.ENSP00000360645,9606.ENSP00000340466,4.0,18.0
106,9606.ENSP00000363452,9606.ENSP00000340466,15.0,18.0
107,9606.ENSP00000404718,9606.ENSP00000345270,45.0,10.0
108,9606.ENSP00000386377,9606.ENSP00000345270,7.0,10.0
109,9606.ENSP00000360645,9606.ENSP00000348959,4.0,23.0
110,9606.ENSP00000357453,9606.ENSP00000348959,35.0,23.0
111,9606.ENSP00000363452,9606.ENSP00000348959,15.0,23.0
112,9606.ENSP00000404718,9606.ENSP00000348959,45.0,23.0
113,9606.ENSP00000480428,9606.ENSP00000353910,38.0,44.0
114,9606.ENSP00000404718,9606.ENSP00000353910,45.0,44.0
115,9606.ENSP00000386377,9606.ENSP00000353910,7.0,44.0
116,9606.ENSP00000361625,9606.ENSP00000357384,1.0,30.0
117,9606.ENSP00000386597,9606.ENSP00000357384,28.0,30.0
118,9606.ENSP00000380793,9606.ENSP00000357384,5.0,30.0
119,9606.ENSP00000452948,9606.ENSP00000357453,34.0,35.0
120,9606.ENSP00000363452,9606.ENSP00000357453,15.0,35.0
121,9606.ENSP00000360645,9606.ENSP00000357453,4.0,35.0
122,9606.ENSP00000380793,9606.ENSP00000359224,5.0,3.0
123,9606.ENSP00000360644,9606.ENSP00000359224,17.0,3.0
124,9606.ENSP00000417764,9606.ENSP00000359224,27.0,3.0
125,9606.ENSP00000360149,9606.ENSP00000359224,33.0,3.0
126,9606.ENSP00000430236,9606.ENSP00000359224,25.0,3.0
127,9606.ENSP00000386597,9606.ENSP00000360149,28.0,33.0
128,9606.ENSP00000399457,9606.ENSP00000360149,31.0,33.0
129,9606.ENSP00000430236,9606.ENSP00000360149,25.0,33.0
130,9606.ENSP00000378260,9606.ENSP00000360149,0.0,33.0
131,9606.ENSP00000360644,9606.ENSP00000360149,17.0,33.0
132,9606.ENSP00000376472,9606.ENSP00000360149,9.0,33.0
133,9606.ENSP00000378260,9606.ENSP00000360644,0.0,17.0
134,9606.ENSP00000482396,9606.ENSP00000360644,42.0,17.0
135,9606.ENSP00000430236,9606.ENSP00000360644,25.0,17.0
136,9606.ENSP00000399457,9606.ENSP00000360645,31.0,4.0
137,9606.ENSP00000363452,9606.ENSP00000360645,15.0,4.0
138,9606.ENSP00000380793,9606.ENSP00000360645,5.0,4.0
139,9606.ENSP00000399457,9606.ENSP00000361625,31.0,1.0
140,9606.ENSP00000424544,9606.ENSP00000361625,14.0,1.0
141,9606.ENSP00000376472,9606.ENSP00000361625,9.0,1.0
142,9606.ENSP00000404718,9606.ENSP00000363452,45.0,15.0
143,9606.ENSP00000480428,9606.ENSP00000369055,38.0,6.0
