,protein1,protein2,id1,id2
0,9606.ENSP00000398698,9606.ENSP00000006053,157.0,54.0
1,9606.ENSP00000305651,9606.ENSP00000006053,78.0,54.0
2,9606.ENSP00000326432,9606.ENSP00000006053,194.0,54.0
3,9606.ENSP00000302234,9606.ENSP00000006053,16.0,54.0
4,9606.ENSP00000379110,9606.ENSP00000006053,156.0,54.0
5,9606.ENSP00000367832,9606.ENSP00000006053,18.0,54.0
6,9606.ENSP00000362795,9606.ENSP00000006053,67.0,54.0
7,9606.ENSP00000246657,9606.ENSP00000006053,192.0,54.0
8,9606.ENSP00000350256,9606.ENSP00000006053,138.0,54.0
9,9606.ENSP00000292174,9606.ENSP00000006053,158.0,54.0
10,9606.ENSP00000477908,9606.ENSP00000006053,9.0,54.0
11,9606.ENSP00000395704,9606.ENSP00000006053,93.0,54.0
12,9606.ENSP00000474412,9606.ENSP00000006053,12.0,54.0
13,9606.ENSP00000386884,9606.ENSP00000006053,87.0,54.0
14,9606.ENSP00000385675,9606.ENSP00000006053,262.0,54.0
15,9606.ENSP00000306512,9606.ENSP00000006053,169.0,54.0
16,9606.ENSP00000263341,9606.ENSP00000006053,225.0,54.0
17,9606.ENSP00000319635,9606.ENSP00000006053,164.0,54.0
18,9606.ENSP00000295683,9606.ENSP00000006053,165.0,54.0
19,9606.ENSP00000343952,9606.ENSP00000006053,190.0,54.0
20,9606.ENSP00000292303,9606.ENSP00000006053,188.0,54.0
21,9606.ENSP00000441600,9606.ENSP00000006053,183.0,54.0
22,9606.ENSP00000292301,9606.ENSP00000006053,60.0,54.0
23,9606.ENSP00000310405,9606.ENSP00000006053,74.0,54.0
24,9606.ENSP00000296140,9606.ENSP00000006053,209.0,54.0
25,9606.ENSP00000482259,9606.ENSP00000006053,13.0,54.0
26,9606.ENSP00000225831,9606.ENSP00000006053,6.0,54.0
27,9606.ENSP00000381775,9606.ENSP00000162749,20.0,179.0
28,9606.ENSP00000228918,9606.ENSP00000162749,108.0,179.0
29,9606.ENSP00000478699,9606.ENSP00000162749,100.0,179.0
30,9606.ENSP00000386380,9606.ENSP00000162749,227.0,179.0
31,9606.ENSP00000326737,9606.ENSP00000162749,184.0,179.0
