,protein1,protein2,id1,id2
0,9606.ENSP00000231487,9606.ENSP00000171111,44.0,98.0
1,9606.ENSP00000351933,9606.ENSP00000171111,23.0,98.0
2,9606.ENSP00000427926,9606.ENSP00000171111,96.0,98.0
3,9606.ENSP00000418960,9606.ENSP00000171111,18.0,98.0
4,9606.ENSP00000443191,9606.ENSP00000171111,1.0,98.0
5,9606.ENSP00000397453,9606.ENSP00000215574,86.0,74.0
6,9606.ENSP00000383199,9606.ENSP00000215574,54.0,74.0
7,9606.ENSP00000354201,9606.ENSP00000215574,62.0,74.0
8,9606.ENSP00000451261,9606.ENSP00000215574,91.0,74.0
9,9606.ENSP00000287156,9606.ENSP00000215574,4.0,74.0
10,9606.ENSP00000386788,9606.ENSP00000215574,30.0,74.0
11,9606.ENSP00000383719,9606.ENSP00000215574,43.0,74.0
12,9606.ENSP00000292211,9606.ENSP00000215574,83.0,74.0
13,9606.ENSP00000444856,9606.ENSP00000215574,106.0,74.0
14,9606.ENSP00000347836,9606.ENSP00000215574,42.0,74.0
15,9606.ENSP00000380178,9606.ENSP00000215574,39.0,74.0
16,9606.ENSP00000338348,9606.ENSP00000215574,37.0,74.0
17,9606.ENSP00000303709,9606.ENSP00000215574,77.0,74.0
18,9606.ENSP00000480499,9606.ENSP00000215574,82.0,74.0
19,9606.ENSP00000379931,9606.ENSP00000215574,78.0,74.0
20,9606.ENSP00000273480,9606.ENSP00000215574,59.0,74.0
21,9606.ENSP00000265094,9606.ENSP00000215574,46.0,74.0
22,9606.ENSP00000348838,9606.ENSP00000215574,127.0,74.0
23,9606.ENSP00000262435,9606.ENSP00000215574,114.0,74.0
24,9606.ENSP00000381717,9606.ENSP00000215574,79.0,74.0
25,9606.ENSP00000253023,9606.ENSP00000215574,14.0,74.0
26,9606.ENSP00000264552,9606.ENSP00000215574,12.0,74.0
27,9606.ENSP00000323687,9606.ENSP00000215574,13.0,74.0
28,9606.ENSP00000363019,9606.ENSP00000215574,75.0,74.0
29,9606.ENSP00000261427,9606.ENSP00000215574,20.0,74.0
30,9606.ENSP00000265339,9606.ENSP00000215574,73.0,74.0
31,9606.ENSP00000263228,9606.ENSP00000215574,26.0,74.0
32,9606.ENSP00000360613,9606.ENSP00000215574,70.0,74.0
33,9606.ENSP00000316176,9606.ENSP00000215574,49.0,74.0
34,9606.ENSP00000262370,9606.ENSP00000215574,51.0,74.0
35,9606.ENSP00000478474,9606.ENSP00000215574,122.0,74.0
36,9606.ENSP00000267938,9606.ENSP00000215574,15.0,74.0
37,9606.ENSP00000360116,9606.ENSP00000215574,61.0,74.0
38,9606.ENSP00000222402,9606.ENSP00000215574,21.0,74.0
39,9606.ENSP00000303709,9606.ENSP00000216225,77.0,52.0
40,9606.ENSP00000338348,9606.ENSP00000216225,37.0,52.0
41,9606.ENSP00000351933,9606.ENSP00000216225,23.0,52.0
42,9606.ENSP00000380178,9606.ENSP00000216225,39.0,52.0
43,9606.ENSP00000376765,9606.ENSP00000216225,2.0,52.0
44,9606.ENSP00000348056,9606.ENSP00000216225,40.0,52.0
45,9606.ENSP00000314004,9606.ENSP00000216225,111.0,52.0
46,9606.ENSP00000329418,9606.ENSP00000216225,41.0,52.0
47,9606.ENSP00000485133,9606.ENSP00000216225,47.0,52.0
48,9606.ENSP00000316176,9606.ENSP00000216225,49.0,52.0
49,9606.ENSP00000478474,9606.ENSP00000216225,122.0,52.0
50,9606.ENSP00000270225,9606.ENSP00000216225,94.0,52.0
51,9606.ENSP00000281623,9606.ENSP00000216225,68.0,52.0
52,9606.ENSP00000222402,9606.ENSP00000216225,21.0,52.0
53,9606.ENSP00000261427,9606.ENSP00000216225,20.0,52.0
54,9606.ENSP00000338413,9606.ENSP00000216225,65.0,52.0
55,9606.ENSP00000265339,9606.ENSP00000216225,73.0,52.0
56,9606.ENSP00000249636,9606.ENSP00000216225,34.0,52.0
57,9606.ENSP00000264552,9606.ENSP00000216225,12.0,52.0
58,9606.ENSP00000227524,9606.ENSP00000216225,10.0,52.0
59,9606.ENSP00000346240,9606.ENSP00000216225,124.0,52.0
60,9606.ENSP00000426654,9606.ENSP00000216225,113.0,52.0
61,9606.ENSP00000273480,9606.ENSP00000216225,59.0,52.0
62,9606.ENSP00000353549,9606.ENSP00000216225,0.0,52.0
63,9606.ENSP00000443191,9606.ENSP00000216225,1.0,52.0
64,9606.ENSP00000354340,9606.ENSP00000216225,76.0,52.0
65,9606.ENSP00000373696,9606.ENSP00000217173,121.0,22.0
66,9606.ENSP00000265339,9606.ENSP00000219548,73.0,36.0
67,9606.ENSP00000360613,9606.ENSP00000219548,70.0,36.0
68,9606.ENSP00000338413,9606.ENSP00000219548,65.0,36.0
69,9606.ENSP00000222402,9606.ENSP00000219548,21.0,36.0
70,9606.ENSP00000346240,9606.ENSP00000219548,124.0,36.0
71,9606.ENSP00000379931,9606.ENSP00000219548,78.0,36.0
72,9606.ENSP00000264552,9606.ENSP00000219548,12.0,36.0
73,9606.ENSP00000387362,9606.ENSP00000219548,17.0,36.0
74,9606.ENSP00000343001,9606.ENSP00000219548,50.0,36.0
75,9606.ENSP00000433623,9606.ENSP00000219548,45.0,36.0
76,9606.ENSP00000303709,9606.ENSP00000219548,77.0,36.0
77,9606.ENSP00000345464,9606.ENSP00000219548,48.0,36.0
78,9606.ENSP00000397453,9606.ENSP00000219548,86.0,36.0
79,9606.ENSP00000451261,9606.ENSP00000219548,91.0,36.0
80,9606.ENSP00000380178,9606.ENSP00000222402,39.0,21.0
81,9606.ENSP00000347836,9606.ENSP00000222402,42.0,21.0
82,9606.ENSP00000326804,9606.ENSP00000222402,104.0,21.0
83,9606.ENSP00000303709,9606.ENSP00000222402,77.0,21.0
84,9606.ENSP00000338348,9606.ENSP00000222402,37.0,21.0
85,9606.ENSP00000333266,9606.ENSP00000222402,63.0,21.0
86,9606.ENSP00000231487,9606.ENSP00000222402,44.0,21.0
87,9606.ENSP00000354201,9606.ENSP00000222402,62.0,21.0
88,9606.ENSP00000451261,9606.ENSP00000222402,91.0,21.0
89,9606.ENSP00000397453,9606.ENSP00000222402,86.0,21.0
90,9606.ENSP00000292211,9606.ENSP00000222402,83.0,21.0
91,9606.ENSP00000383719,9606.ENSP00000222402,43.0,21.0
92,9606.ENSP00000287156,9606.ENSP00000222402,4.0,21.0
93,9606.ENSP00000359206,9606.ENSP00000222402,38.0,21.0
94,9606.ENSP00000386788,9606.ENSP00000222402,30.0,21.0
