,protein1,protein2,id1,id2
0,9606.ENSP00000306866,9606.ENSP00000037243,34.0,13.0
1,9606.ENSP00000378914,9606.ENSP00000037243,28.0,13.0
2,9606.ENSP00000266458,9606.ENSP00000037243,6.0,13.0
3,9606.ENSP00000361306,9606.ENSP00000262039,0.0,14.0
4,9606.ENSP00000384259,9606.ENSP00000262039,10.0,14.0
5,9606.ENSP00000322159,9606.ENSP00000262039,30.0,14.0
6,9606.ENSP00000346148,9606.ENSP00000262039,12.0,14.0
7,9606.ENSP00000311318,9606.ENSP00000262039,31.0,14.0
8,9606.ENSP00000346437,9606.ENSP00000262039,19.0,14.0
9,9606.ENSP00000360290,9606.ENSP00000262039,11.0,14.0
10,9606.ENSP00000306866,9606.ENSP00000266458,34.0,6.0
11,9606.ENSP00000378914,9606.ENSP00000266458,28.0,6.0
12,9606.ENSP00000369553,9606.ENSP00000276927,24.0,26.0
13,9606.ENSP00000311318,9606.ENSP00000283290,31.0,33.0
14,9606.ENSP00000324560,9606.ENSP00000283290,17.0,33.0
15,9606.ENSP00000322159,9606.ENSP00000283290,30.0,33.0
16,9606.ENSP00000378914,9606.ENSP00000283290,28.0,33.0
17,9606.ENSP00000361306,9606.ENSP00000283290,0.0,33.0
18,9606.ENSP00000378914,9606.ENSP00000306866,28.0,34.0
19,9606.ENSP00000358072,9606.ENSP00000311318,16.0,31.0
20,9606.ENSP00000346437,9606.ENSP00000311318,19.0,31.0
21,9606.ENSP00000425107,9606.ENSP00000311318,7.0,31.0
22,9606.ENSP00000324560,9606.ENSP00000311318,17.0,31.0
23,9606.ENSP00000355231,9606.ENSP00000311318,2.0,31.0
24,9606.ENSP00000378914,9606.ENSP00000311318,28.0,31.0
25,9606.ENSP00000378914,9606.ENSP00000322159,28.0,30.0
26,9606.ENSP00000355231,9606.ENSP00000322159,2.0,30.0
27,9606.ENSP00000324560,9606.ENSP00000322159,17.0,30.0
28,9606.ENSP00000425107,9606.ENSP00000322159,7.0,30.0
29,9606.ENSP00000346437,9606.ENSP00000322159,19.0,30.0
30,9606.ENSP00000358072,9606.ENSP00000322159,16.0,30.0
31,9606.ENSP00000384259,9606.ENSP00000324560,10.0,17.0
32,9606.ENSP00000346148,9606.ENSP00000324560,12.0,17.0
33,9606.ENSP00000360290,9606.ENSP00000324560,11.0,17.0
34,9606.ENSP00000346437,9606.ENSP00000324560,19.0,17.0
35,9606.ENSP00000358072,9606.ENSP00000324560,16.0,17.0
36,9606.ENSP00000425107,9606.ENSP00000324560,7.0,17.0
37,9606.ENSP00000361306,9606.ENSP00000324560,0.0,17.0
38,9606.ENSP00000378914,9606.ENSP00000324560,28.0,17.0
39,9606.ENSP00000355231,9606.ENSP00000346148,2.0,12.0
40,9606.ENSP00000349205,9606.ENSP00000346148,18.0,12.0
41,9606.ENSP00000360290,9606.ENSP00000346148,11.0,12.0
42,9606.ENSP00000349205,9606.ENSP00000346437,18.0,19.0
43,9606.ENSP00000361306,9606.ENSP00000346437,0.0,19.0
44,9606.ENSP00000378914,9606.ENSP00000346437,28.0,19.0
45,9606.ENSP00000400312,9606.ENSP00000346437,1.0,19.0
46,9606.ENSP00000384259,9606.ENSP00000346437,10.0,19.0
47,9606.ENSP00000378914,9606.ENSP00000349205,28.0,18.0
48,9606.ENSP00000361306,9606.ENSP00000349205,0.0,18.0
49,9606.ENSP00000384259,9606.ENSP00000349205,10.0,18.0
50,9606.ENSP00000360290,9606.ENSP00000349205,11.0,18.0
51,9606.ENSP00000384259,9606.ENSP00000355231,10.0,2.0
52,9606.ENSP00000361306,9606.ENSP00000355231,0.0,2.0
53,9606.ENSP00000360290,9606.ENSP00000355231,11.0,2.0
54,9606.ENSP00000378914,9606.ENSP00000358072,28.0,16.0
55,9606.ENSP00000361306,9606.ENSP00000358072,0.0,16.0
56,9606.ENSP00000384259,9606.ENSP00000358072,10.0,16.0
57,9606.ENSP00000400312,9606.ENSP00000361306,1.0,0.0
58,9606.ENSP00000378914,9606.ENSP00000361306,28.0,0.0
59,9606.ENSP00000425107,9606.ENSP00000361306,7.0,0.0
60,9606.ENSP00000412897,9606.ENSP00000369553,4.0,24.0
61,9606.ENSP00000369558,9606.ENSP00000369554,22.0,5.0
62,9606.ENSP00000484479,9606.ENSP00000369554,3.0,5.0
63,9606.ENSP00000412897,9606.ENSP00000369554,4.0,5.0
64,9606.ENSP00000369574,9606.ENSP00000369558,21.0,22.0
65,9606.ENSP00000412897,9606.ENSP00000369558,4.0,22.0
66,9606.ENSP00000411940,9606.ENSP00000369558,20.0,22.0
67,9606.ENSP00000369571,9606.ENSP00000369558,27.0,22.0
68,9606.ENSP00000484479,9606.ENSP00000369558,3.0,22.0
69,9606.ENSP00000484479,9606.ENSP00000369571,3.0,27.0
70,9606.ENSP00000369574,9606.ENSP00000369571,21.0,27.0
71,9606.ENSP00000425107,9606.ENSP00000378914,7.0,28.0
72,9606.ENSP00000384259,9606.ENSP00000378914,10.0,28.0
73,9606.ENSP00000425107,9606.ENSP00000384259,7.0,10.0
74,9606.ENSP00000484479,9606.ENSP00000412897,3.0,4.0
