,protein1,protein2,id1,id2
0,9606.ENSP00000364249,9606.ENSP00000215885,17.0,4.0
1,9606.ENSP00000393847,9606.ENSP00000215885,13.0,4.0
2,9606.ENSP00000312286,9606.ENSP00000215885,28.0,4.0
3,9606.ENSP00000364246,9606.ENSP00000215885,22.0,4.0
4,9606.ENSP00000364243,9606.ENSP00000215885,20.0,4.0
5,9606.ENSP00000364257,9606.ENSP00000215885,12.0,4.0
6,9606.ENSP00000458832,9606.ENSP00000215885,8.0,4.0
7,9606.ENSP00000243501,9606.ENSP00000215885,24.0,4.0
8,9606.ENSP00000383364,9606.ENSP00000215885,14.0,4.0
9,9606.ENSP00000285979,9606.ENSP00000222982,6.0,1.0
10,9606.ENSP00000342007,9606.ENSP00000222982,7.0,1.0
11,9606.ENSP00000480571,9606.ENSP00000222982,27.0,1.0
12,9606.ENSP00000337915,9606.ENSP00000222982,3.0,1.0
13,9606.ENSP00000260682,9606.ENSP00000222982,23.0,1.0
14,9606.ENSP00000360372,9606.ENSP00000222982,25.0,1.0
15,9606.ENSP00000360317,9606.ENSP00000222982,26.0,1.0
16,9606.ENSP00000383364,9606.ENSP00000243501,14.0,24.0
17,9606.ENSP00000364257,9606.ENSP00000243501,12.0,24.0
18,9606.ENSP00000364243,9606.ENSP00000243501,20.0,24.0
19,9606.ENSP00000364246,9606.ENSP00000243501,22.0,24.0
20,9606.ENSP00000312286,9606.ENSP00000243501,28.0,24.0
21,9606.ENSP00000364249,9606.ENSP00000243501,17.0,24.0
22,9606.ENSP00000362123,9606.ENSP00000247992,18.0,21.0
23,9606.ENSP00000480571,9606.ENSP00000260682,27.0,23.0
24,9606.ENSP00000458832,9606.ENSP00000260682,8.0,23.0
25,9606.ENSP00000440689,9606.ENSP00000260682,0.0,23.0
26,9606.ENSP00000362123,9606.ENSP00000260682,18.0,23.0
27,9606.ENSP00000360247,9606.ENSP00000260682,2.0,23.0
28,9606.ENSP00000342007,9606.ENSP00000260682,7.0,23.0
29,9606.ENSP00000312286,9606.ENSP00000260682,28.0,23.0
30,9606.ENSP00000360372,9606.ENSP00000260682,25.0,23.0
31,9606.ENSP00000360317,9606.ENSP00000260682,26.0,23.0
32,9606.ENSP00000337915,9606.ENSP00000285979,3.0,6.0
33,9606.ENSP00000480571,9606.ENSP00000285979,27.0,6.0
34,9606.ENSP00000342007,9606.ENSP00000285979,7.0,6.0
35,9606.ENSP00000333142,9606.ENSP00000312286,11.0,28.0
