,protein1,protein2,id1,id2
0,9606.ENSP00000353344,9606.ENSP00000215832,19.0,23.0
1,9606.ENSP00000387784,9606.ENSP00000216373,21.0,0.0
2,9606.ENSP00000277541,9606.ENSP00000256078,5.0,6.0
3,9606.ENSP00000364163,9606.ENSP00000256646,1.0,3.0
4,9606.ENSP00000277541,9606.ENSP00000256646,5.0,3.0
5,9606.ENSP00000263388,9606.ENSP00000256646,2.0,3.0
6,9606.ENSP00000275493,9606.ENSP00000263025,4.0,17.0
7,9606.ENSP00000353344,9606.ENSP00000263025,19.0,17.0
8,9606.ENSP00000376436,9606.ENSP00000263025,18.0,17.0
9,9606.ENSP00000277541,9606.ENSP00000263388,5.0,2.0
10,9606.ENSP00000364163,9606.ENSP00000263388,1.0,2.0
11,9606.ENSP00000275493,9606.ENSP00000263388,4.0,2.0
12,9606.ENSP00000277541,9606.ENSP00000275493,5.0,4.0
13,9606.ENSP00000364163,9606.ENSP00000277541,1.0,5.0
14,9606.ENSP00000349208,9606.ENSP00000299001,11.0,22.0
15,9606.ENSP00000367494,9606.ENSP00000318884,15.0,7.0
16,9606.ENSP00000379658,9606.ENSP00000341843,10.0,8.0
17,9606.ENSP00000376436,9606.ENSP00000353344,18.0,19.0
18,9606.ENSP00000379658,9606.ENSP00000376345,10.0,14.0
19,9606.ENSP00000387784,9606.ENSP00000379658,21.0,10.0
