,protein1,protein2,id1,id2
0,9606.ENSP00000222271,9606.ENSP00000052754,6.0,83.0
1,9606.ENSP00000238682,9606.ENSP00000052754,58.0,83.0
2,9606.ENSP00000260356,9606.ENSP00000052754,84.0,83.0
3,9606.ENSP00000355896,9606.ENSP00000052754,35.0,83.0
4,9606.ENSP00000327440,9606.ENSP00000204604,31.0,34.0
5,9606.ENSP00000441954,9606.ENSP00000204604,43.0,34.0
6,9606.ENSP00000363492,9606.ENSP00000204604,32.0,34.0
7,9606.ENSP00000287020,9606.ENSP00000204604,61.0,34.0
8,9606.ENSP00000221496,9606.ENSP00000204604,52.0,34.0
9,9606.ENSP00000272224,9606.ENSP00000204604,3.0,34.0
10,9606.ENSP00000361915,9606.ENSP00000204604,75.0,34.0
11,9606.ENSP00000363708,9606.ENSP00000204604,60.0,34.0
12,9606.ENSP00000359866,9606.ENSP00000204604,77.0,34.0
13,9606.ENSP00000263640,9606.ENSP00000204604,67.0,34.0
14,9606.ENSP00000379204,9606.ENSP00000204604,74.0,34.0
15,9606.ENSP00000283147,9606.ENSP00000204604,78.0,34.0
16,9606.ENSP00000256759,9606.ENSP00000204604,45.0,34.0
17,9606.ENSP00000341551,9606.ENSP00000204604,21.0,34.0
18,9606.ENSP00000328181,9606.ENSP00000204604,1.0,34.0
19,9606.ENSP00000221930,9606.ENSP00000215832,36.0,27.0
20,9606.ENSP00000418447,9606.ENSP00000215832,40.0,27.0
21,9606.ENSP00000324804,9606.ENSP00000215832,41.0,27.0
22,9606.ENSP00000441954,9606.ENSP00000215832,43.0,27.0
23,9606.ENSP00000221138,9606.ENSP00000215832,39.0,27.0
24,9606.ENSP00000263253,9606.ENSP00000215832,30.0,27.0
25,9606.ENSP00000382697,9606.ENSP00000215832,11.0,27.0
26,9606.ENSP00000311344,9606.ENSP00000215832,47.0,27.0
27,9606.ENSP00000317985,9606.ENSP00000215832,57.0,27.0
28,9606.ENSP00000225577,9606.ENSP00000215832,14.0,27.0
29,9606.ENSP00000262160,9606.ENSP00000215832,26.0,27.0
30,9606.ENSP00000369154,9606.ENSP00000215832,54.0,27.0
31,9606.ENSP00000308413,9606.ENSP00000215832,15.0,27.0
32,9606.ENSP00000263253,9606.ENSP00000216225,30.0,44.0
33,9606.ENSP00000332973,9606.ENSP00000216225,18.0,44.0
34,9606.ENSP00000262367,9606.ENSP00000216225,10.0,44.0
35,9606.ENSP00000262160,9606.ENSP00000216225,26.0,44.0
36,9606.ENSP00000308413,9606.ENSP00000221138,15.0,39.0
37,9606.ENSP00000225577,9606.ENSP00000221138,14.0,39.0
38,9606.ENSP00000263025,9606.ENSP00000221138,19.0,39.0
39,9606.ENSP00000362768,9606.ENSP00000221138,22.0,39.0
40,9606.ENSP00000262133,9606.ENSP00000221138,20.0,39.0
41,9606.ENSP00000351905,9606.ENSP00000221138,48.0,39.0
42,9606.ENSP00000231487,9606.ENSP00000221138,33.0,39.0
43,9606.ENSP00000369154,9606.ENSP00000221496,54.0,52.0
44,9606.ENSP00000263640,9606.ENSP00000221496,67.0,52.0
45,9606.ENSP00000426568,9606.ENSP00000221496,24.0,52.0
46,9606.ENSP00000363708,9606.ENSP00000221496,60.0,52.0
47,9606.ENSP00000361107,9606.ENSP00000221496,62.0,52.0
48,9606.ENSP00000441954,9606.ENSP00000221496,43.0,52.0
49,9606.ENSP00000401907,9606.ENSP00000221496,63.0,52.0
50,9606.ENSP00000266646,9606.ENSP00000221930,81.0,36.0
51,9606.ENSP00000400175,9606.ENSP00000221930,9.0,36.0
52,9606.ENSP00000355785,9606.ENSP00000221930,55.0,36.0
53,9606.ENSP00000337159,9606.ENSP00000221930,79.0,36.0
54,9606.ENSP00000229135,9606.ENSP00000221930,37.0,36.0
55,9606.ENSP00000238682,9606.ENSP00000221930,58.0,36.0
56,9606.ENSP00000369154,9606.ENSP00000221930,54.0,36.0
57,9606.ENSP00000354621,9606.ENSP00000221930,29.0,36.0
58,9606.ENSP00000260356,9606.ENSP00000221930,84.0,36.0
59,9606.ENSP00000308716,9606.ENSP00000221930,5.0,36.0
60,9606.ENSP00000288840,9606.ENSP00000221930,59.0,36.0
61,9606.ENSP00000287727,9606.ENSP00000221930,76.0,36.0
62,9606.ENSP00000225577,9606.ENSP00000221930,14.0,36.0
63,9606.ENSP00000398698,9606.ENSP00000221930,2.0,36.0
64,9606.ENSP00000355896,9606.ENSP00000221930,35.0,36.0
65,9606.ENSP00000262435,9606.ENSP00000221930,28.0,36.0
66,9606.ENSP00000263025,9606.ENSP00000221930,19.0,36.0
67,9606.ENSP00000426568,9606.ENSP00000221930,24.0,36.0
68,9606.ENSP00000263253,9606.ENSP00000221930,30.0,36.0
69,9606.ENSP00000242208,9606.ENSP00000221930,7.0,36.0
70,9606.ENSP00000272134,9606.ENSP00000221930,51.0,36.0
71,9606.ENSP00000295228,9606.ENSP00000221930,4.0,36.0
72,9606.ENSP00000441954,9606.ENSP00000221930,43.0,36.0
73,9606.ENSP00000308413,9606.ENSP00000225577,15.0,14.0
74,9606.ENSP00000238682,9606.ENSP00000225577,58.0,14.0
75,9606.ENSP00000329357,9606.ENSP00000225577,73.0,14.0
76,9606.ENSP00000263025,9606.ENSP00000225577,19.0,14.0
77,9606.ENSP00000311344,9606.ENSP00000225577,47.0,14.0
78,9606.ENSP00000364133,9606.ENSP00000225577,53.0,14.0
79,9606.ENSP00000351905,9606.ENSP00000225577,48.0,14.0
80,9606.ENSP00000324804,9606.ENSP00000225577,41.0,14.0
81,9606.ENSP00000398698,9606.ENSP00000229135,2.0,37.0
82,9606.ENSP00000262367,9606.ENSP00000231487,10.0,33.0
83,9606.ENSP00000263253,9606.ENSP00000231487,30.0,33.0
84,9606.ENSP00000332973,9606.ENSP00000231487,18.0,33.0
85,9606.ENSP00000368686,9606.ENSP00000231487,72.0,33.0
86,9606.ENSP00000418447,9606.ENSP00000231487,40.0,33.0
87,9606.ENSP00000262133,9606.ENSP00000231487,20.0,33.0
88,9606.ENSP00000262160,9606.ENSP00000231487,26.0,33.0
89,9606.ENSP00000479618,9606.ENSP00000231487,25.0,33.0
90,9606.ENSP00000398124,9606.ENSP00000231487,69.0,33.0
91,9606.ENSP00000367972,9606.ENSP00000234091,17.0,13.0
92,9606.ENSP00000362768,9606.ENSP00000234091,22.0,13.0
93,9606.ENSP00000308716,9606.ENSP00000238682,5.0,58.0
94,9606.ENSP00000441954,9606.ENSP00000238682,43.0,58.0
95,9606.ENSP00000354621,9606.ENSP00000238682,29.0,58.0
96,9606.ENSP00000295228,9606.ENSP00000238682,4.0,58.0
97,9606.ENSP00000355896,9606.ENSP00000238682,35.0,58.0
98,9606.ENSP00000262435,9606.ENSP00000238682,28.0,58.0
99,9606.ENSP00000287727,9606.ENSP00000238682,76.0,58.0
100,9606.ENSP00000386043,9606.ENSP00000238682,50.0,58.0
101,9606.ENSP00000355785,9606.ENSP00000238682,55.0,58.0
102,9606.ENSP00000266646,9606.ENSP00000238682,81.0,58.0
103,9606.ENSP00000426568,9606.ENSP00000238682,24.0,58.0
104,9606.ENSP00000337159,9606.ENSP00000238682,79.0,58.0
105,9606.ENSP00000272134,9606.ENSP00000238682,51.0,58.0
106,9606.ENSP00000369154,9606.ENSP00000238682,54.0,58.0
107,9606.ENSP00000242208,9606.ENSP00000238682,7.0,58.0
108,9606.ENSP00000272134,9606.ENSP00000241416,51.0,66.0
109,9606.ENSP00000256759,9606.ENSP00000241416,45.0,66.0
110,9606.ENSP00000287139,9606.ENSP00000241416,23.0,66.0
111,9606.ENSP00000340361,9606.ENSP00000241416,65.0,66.0
112,9606.ENSP00000359866,9606.ENSP00000241416,77.0,66.0
113,9606.ENSP00000272224,9606.ENSP00000241416,3.0,66.0
114,9606.ENSP00000361915,9606.ENSP00000241416,75.0,66.0
115,9606.ENSP00000287020,9606.ENSP00000241416,61.0,66.0
116,9606.ENSP00000401907,9606.ENSP00000241416,63.0,66.0
117,9606.ENSP00000364133,9606.ENSP00000241416,53.0,66.0
118,9606.ENSP00000341551,9606.ENSP00000241416,21.0,66.0
119,9606.ENSP00000243349,9606.ENSP00000241416,71.0,66.0
120,9606.ENSP00000266646,9606.ENSP00000241416,81.0,66.0
121,9606.ENSP00000355785,9606.ENSP00000241416,55.0,66.0
122,9606.ENSP00000363708,9606.ENSP00000241416,60.0,66.0
123,9606.ENSP00000288840,9606.ENSP00000241416,59.0,66.0
124,9606.ENSP00000262435,9606.ENSP00000241416,28.0,66.0
125,9606.ENSP00000354621,9606.ENSP00000241416,29.0,66.0
126,9606.ENSP00000327440,9606.ENSP00000241416,31.0,66.0
127,9606.ENSP00000262158,9606.ENSP00000241416,56.0,66.0
128,9606.ENSP00000308716,9606.ENSP00000241416,5.0,66.0
129,9606.ENSP00000295228,9606.ENSP00000242208,4.0,7.0
130,9606.ENSP00000373574,9606.ENSP00000242208,64.0,7.0
131,9606.ENSP00000287139,9606.ENSP00000242208,23.0,7.0
132,9606.ENSP00000332973,9606.ENSP00000242208,18.0,7.0
133,9606.ENSP00000341551,9606.ENSP00000242208,21.0,7.0
134,9606.ENSP00000243349,9606.ENSP00000242208,71.0,7.0
135,9606.ENSP00000262160,9606.ENSP00000242208,26.0,7.0
136,9606.ENSP00000308716,9606.ENSP00000243349,5.0,71.0
137,9606.ENSP00000341551,9606.ENSP00000243349,21.0,71.0
138,9606.ENSP00000263640,9606.ENSP00000243349,67.0,71.0
139,9606.ENSP00000355785,9606.ENSP00000243349,55.0,71.0
140,9606.ENSP00000266646,9606.ENSP00000243349,81.0,71.0
141,9606.ENSP00000245451,9606.ENSP00000243349,68.0,71.0
142,9606.ENSP00000272134,9606.ENSP00000243349,51.0,71.0
143,9606.ENSP00000340361,9606.ENSP00000243349,65.0,71.0
144,9606.ENSP00000287139,9606.ENSP00000243349,23.0,71.0
145,9606.ENSP00000262160,9606.ENSP00000245451,26.0,68.0
146,9606.ENSP00000337159,9606.ENSP00000245451,79.0,68.0
147,9606.ENSP00000257863,9606.ENSP00000245451,49.0,68.0
148,9606.ENSP00000368104,9606.ENSP00000245451,70.0,68.0
149,9606.ENSP00000379204,9606.ENSP00000245451,74.0,68.0
150,9606.ENSP00000332973,9606.ENSP00000245451,18.0,68.0
151,9606.ENSP00000283147,9606.ENSP00000245451,78.0,68.0
152,9606.ENSP00000359866,9606.ENSP00000245451,77.0,68.0
153,9606.ENSP00000288840,9606.ENSP00000245451,59.0,68.0
154,9606.ENSP00000364133,9606.ENSP00000245451,53.0,68.0
155,9606.ENSP00000354621,9606.ENSP00000245451,29.0,68.0
156,9606.ENSP00000340361,9606.ENSP00000256759,65.0,45.0
157,9606.ENSP00000266646,9606.ENSP00000256759,81.0,45.0
158,9606.ENSP00000328181,9606.ENSP00000256759,1.0,45.0
159,9606.ENSP00000308716,9606.ENSP00000256759,5.0,45.0
160,9606.ENSP00000401907,9606.ENSP00000256759,63.0,45.0
161,9606.ENSP00000295228,9606.ENSP00000256759,4.0,45.0
162,9606.ENSP00000287020,9606.ENSP00000257863,61.0,49.0
163,9606.ENSP00000441954,9606.ENSP00000257863,43.0,49.0
164,9606.ENSP00000283147,9606.ENSP00000257863,78.0,49.0
165,9606.ENSP00000426568,9606.ENSP00000257863,24.0,49.0
166,9606.ENSP00000368104,9606.ENSP00000257863,70.0,49.0
167,9606.ENSP00000363708,9606.ENSP00000257863,60.0,49.0
168,9606.ENSP00000361107,9606.ENSP00000257863,62.0,49.0
169,9606.ENSP00000369154,9606.ENSP00000257863,54.0,49.0
170,9606.ENSP00000263640,9606.ENSP00000257863,67.0,49.0
171,9606.ENSP00000379204,9606.ENSP00000257863,74.0,49.0
172,9606.ENSP00000365280,9606.ENSP00000260356,12.0,84.0
173,9606.ENSP00000263253,9606.ENSP00000260356,30.0,84.0
174,9606.ENSP00000386043,9606.ENSP00000260356,50.0,84.0
175,9606.ENSP00000362768,9606.ENSP00000262133,22.0,20.0
176,9606.ENSP00000263253,9606.ENSP00000262133,30.0,20.0
177,9606.ENSP00000326804,9606.ENSP00000262133,16.0,20.0
178,9606.ENSP00000311344,9606.ENSP00000262133,47.0,20.0
179,9606.ENSP00000324804,9606.ENSP00000262133,41.0,20.0
180,9606.ENSP00000263253,9606.ENSP00000262158,30.0,56.0
181,9606.ENSP00000340361,9606.ENSP00000262158,65.0,56.0
182,9606.ENSP00000426568,9606.ENSP00000262158,24.0,56.0
183,9606.ENSP00000441954,9606.ENSP00000262158,43.0,56.0
