,protein1,protein2,id1,id2
0,9606.ENSP00000333685,9606.ENSP00000211287,19.0,26.0
1,9606.ENSP00000362680,9606.ENSP00000211287,56.0,26.0
2,9606.ENSP00000451828,9606.ENSP00000211287,31.0,26.0
3,9606.ENSP00000356070,9606.ENSP00000211287,49.0,26.0
4,9606.ENSP00000215659,9606.ENSP00000211287,47.0,26.0
5,9606.ENSP00000302486,9606.ENSP00000211287,28.0,26.0
6,9606.ENSP00000375892,9606.ENSP00000211287,33.0,26.0
7,9606.ENSP00000478570,9606.ENSP00000211287,53.0,26.0
8,9606.ENSP00000229795,9606.ENSP00000211287,46.0,26.0
9,9606.ENSP00000348461,9606.ENSP00000211287,39.0,26.0
10,9606.ENSP00000263826,9606.ENSP00000211287,35.0,26.0
11,9606.ENSP00000383118,9606.ENSP00000211287,73.0,26.0
12,9606.ENSP00000263923,9606.ENSP00000211287,29.0,26.0
13,9606.ENSP00000215832,9606.ENSP00000211287,41.0,26.0
14,9606.ENSP00000262948,9606.ENSP00000211287,20.0,26.0
15,9606.ENSP00000341189,9606.ENSP00000211287,15.0,26.0
16,9606.ENSP00000263025,9606.ENSP00000211287,38.0,26.0
17,9606.ENSP00000356070,9606.ENSP00000215659,49.0,47.0
18,9606.ENSP00000375892,9606.ENSP00000215659,33.0,47.0
19,9606.ENSP00000302486,9606.ENSP00000215659,28.0,47.0
20,9606.ENSP00000396467,9606.ENSP00000215659,42.0,47.0
21,9606.ENSP00000333685,9606.ENSP00000215659,19.0,47.0
22,9606.ENSP00000451828,9606.ENSP00000215659,31.0,47.0
23,9606.ENSP00000362680,9606.ENSP00000215659,56.0,47.0
24,9606.ENSP00000341189,9606.ENSP00000215659,15.0,47.0
25,9606.ENSP00000263025,9606.ENSP00000215659,38.0,47.0
26,9606.ENSP00000263826,9606.ENSP00000215659,35.0,47.0
27,9606.ENSP00000348461,9606.ENSP00000215659,39.0,47.0
28,9606.ENSP00000478570,9606.ENSP00000215659,53.0,47.0
29,9606.ENSP00000229795,9606.ENSP00000215659,46.0,47.0
30,9606.ENSP00000263923,9606.ENSP00000215659,29.0,47.0
31,9606.ENSP00000383118,9606.ENSP00000215659,73.0,47.0
32,9606.ENSP00000262948,9606.ENSP00000215659,20.0,47.0
33,9606.ENSP00000215832,9606.ENSP00000215659,41.0,47.0
34,9606.ENSP00000249071,9606.ENSP00000215832,14.0,41.0
35,9606.ENSP00000383118,9606.ENSP00000215832,73.0,41.0
36,9606.ENSP00000378040,9606.ENSP00000215832,10.0,41.0
37,9606.ENSP00000263826,9606.ENSP00000215832,35.0,41.0
38,9606.ENSP00000348461,9606.ENSP00000215832,39.0,41.0
39,9606.ENSP00000341189,9606.ENSP00000215832,15.0,41.0
40,9606.ENSP00000300659,9606.ENSP00000215832,48.0,41.0
41,9606.ENSP00000263431,9606.ENSP00000215832,11.0,41.0
42,9606.ENSP00000451828,9606.ENSP00000215832,31.0,41.0
43,9606.ENSP00000379330,9606.ENSP00000215832,69.0,41.0
44,9606.ENSP00000362680,9606.ENSP00000215832,56.0,41.0
45,9606.ENSP00000408695,9606.ENSP00000215832,3.0,41.0
46,9606.ENSP00000313681,9606.ENSP00000215832,9.0,41.0
47,9606.ENSP00000245222,9606.ENSP00000215832,51.0,41.0
48,9606.ENSP00000389377,9606.ENSP00000215832,70.0,41.0
49,9606.ENSP00000333685,9606.ENSP00000215832,19.0,41.0
50,9606.ENSP00000305355,9606.ENSP00000215832,2.0,41.0
51,9606.ENSP00000375892,9606.ENSP00000215832,33.0,41.0
52,9606.ENSP00000356070,9606.ENSP00000215832,49.0,41.0
53,9606.ENSP00000312286,9606.ENSP00000215832,40.0,41.0
54,9606.ENSP00000364249,9606.ENSP00000215885,25.0,8.0
55,9606.ENSP00000393847,9606.ENSP00000215885,17.0,8.0
56,9606.ENSP00000312286,9606.ENSP00000215885,40.0,8.0
57,9606.ENSP00000364246,9606.ENSP00000215885,66.0,8.0
58,9606.ENSP00000356438,9606.ENSP00000215885,24.0,8.0
59,9606.ENSP00000364243,9606.ENSP00000215885,32.0,8.0
60,9606.ENSP00000364257,9606.ENSP00000215885,16.0,8.0
61,9606.ENSP00000243501,9606.ENSP00000215885,68.0,8.0
62,9606.ENSP00000383364,9606.ENSP00000215885,21.0,8.0
63,9606.ENSP00000478570,9606.ENSP00000222254,53.0,74.0
64,9606.ENSP00000263826,9606.ENSP00000222254,35.0,74.0
65,9606.ENSP00000358548,9606.ENSP00000222254,34.0,74.0
66,9606.ENSP00000256078,9606.ENSP00000222254,50.0,74.0
67,9606.ENSP00000263923,9606.ENSP00000222254,29.0,74.0
68,9606.ENSP00000362680,9606.ENSP00000222254,56.0,74.0
69,9606.ENSP00000383118,9606.ENSP00000222254,73.0,74.0
70,9606.ENSP00000451828,9606.ENSP00000222254,31.0,74.0
71,9606.ENSP00000392812,9606.ENSP00000222254,43.0,74.0
72,9606.ENSP00000341189,9606.ENSP00000222254,15.0,74.0
73,9606.ENSP00000244007,9606.ENSP00000222254,64.0,74.0
74,9606.ENSP00000407586,9606.ENSP00000222254,44.0,74.0
75,9606.ENSP00000375892,9606.ENSP00000222254,33.0,74.0
76,9606.ENSP00000251849,9606.ENSP00000222254,1.0,74.0
77,9606.ENSP00000375892,9606.ENSP00000229795,33.0,46.0
78,9606.ENSP00000356436,9606.ENSP00000229795,23.0,46.0
79,9606.ENSP00000312286,9606.ENSP00000229795,40.0,46.0
80,9606.ENSP00000379330,9606.ENSP00000229795,69.0,46.0
81,9606.ENSP00000362680,9606.ENSP00000229795,56.0,46.0
82,9606.ENSP00000451828,9606.ENSP00000229795,31.0,46.0
83,9606.ENSP00000333685,9606.ENSP00000229795,19.0,46.0
84,9606.ENSP00000256078,9606.ENSP00000229795,50.0,46.0
85,9606.ENSP00000389377,9606.ENSP00000229795,70.0,46.0
86,9606.ENSP00000407586,9606.ENSP00000229795,44.0,46.0
87,9606.ENSP00000263025,9606.ENSP00000229795,38.0,46.0
88,9606.ENSP00000341189,9606.ENSP00000229795,15.0,46.0
89,9606.ENSP00000262948,9606.ENSP00000229795,20.0,46.0
90,9606.ENSP00000263923,9606.ENSP00000229795,29.0,46.0
91,9606.ENSP00000478570,9606.ENSP00000229795,53.0,46.0
92,9606.ENSP00000263826,9606.ENSP00000229795,35.0,46.0
93,9606.ENSP00000348461,9606.ENSP00000229795,39.0,46.0
94,9606.ENSP00000378040,9606.ENSP00000234310,10.0,6.0
95,9606.ENSP00000388910,9606.ENSP00000234310,45.0,6.0
96,9606.ENSP00000300659,9606.ENSP00000234310,48.0,6.0
97,9606.ENSP00000363939,9606.ENSP00000234310,4.0,6.0
98,9606.ENSP00000379330,9606.ENSP00000234310,69.0,6.0
99,9606.ENSP00000482457,9606.ENSP00000234310,67.0,6.0
100,9606.ENSP00000383364,9606.ENSP00000243501,21.0,68.0
101,9606.ENSP00000364257,9606.ENSP00000243501,16.0,68.0
102,9606.ENSP00000364243,9606.ENSP00000243501,32.0,68.0
103,9606.ENSP00000356438,9606.ENSP00000243501,24.0,68.0
104,9606.ENSP00000364246,9606.ENSP00000243501,66.0,68.0
105,9606.ENSP00000312286,9606.ENSP00000243501,40.0,68.0
106,9606.ENSP00000364249,9606.ENSP00000243501,25.0,68.0
107,9606.ENSP00000352121,9606.ENSP00000244007,71.0,64.0
