,protein1,protein2,id1,id2
0,9606.ENSP00000261023,9606.ENSP00000007722,42.0,21.0
1,9606.ENSP00000327290,9606.ENSP00000007722,27.0,21.0
2,9606.ENSP00000368678,9606.ENSP00000007722,32.0,21.0
3,9606.ENSP00000222399,9606.ENSP00000007722,51.0,21.0
4,9606.ENSP00000358310,9606.ENSP00000007722,53.0,21.0
5,9606.ENSP00000364979,9606.ENSP00000007722,31.0,21.0
6,9606.ENSP00000367316,9606.ENSP00000007722,55.0,21.0
7,9606.ENSP00000282588,9606.ENSP00000007722,69.0,21.0
8,9606.ENSP00000379866,9606.ENSP00000007722,34.0,21.0
9,9606.ENSP00000388325,9606.ENSP00000007722,44.0,21.0
10,9606.ENSP00000230538,9606.ENSP00000007722,49.0,21.0
11,9606.ENSP00000293379,9606.ENSP00000007722,24.0,21.0
12,9606.ENSP00000264144,9606.ENSP00000007722,41.0,21.0
13,9606.ENSP00000380227,9606.ENSP00000007722,20.0,21.0
14,9606.ENSP00000400365,9606.ENSP00000007722,64.0,21.0
15,9606.ENSP00000300527,9606.ENSP00000007722,1.0,21.0
16,9606.ENSP00000296585,9606.ENSP00000007722,68.0,21.0
17,9606.ENSP00000260356,9606.ENSP00000007722,83.0,21.0
18,9606.ENSP00000378340,9606.ENSP00000007722,26.0,21.0
19,9606.ENSP00000374309,9606.ENSP00000007722,6.0,21.0
20,9606.ENSP00000226218,9606.ENSP00000007722,18.0,21.0
21,9606.ENSP00000225964,9606.ENSP00000007722,48.0,21.0
22,9606.ENSP00000295550,9606.ENSP00000007722,2.0,21.0
23,9606.ENSP00000264741,9606.ENSP00000007722,11.0,21.0
24,9606.ENSP00000258341,9606.ENSP00000007722,47.0,21.0
25,9606.ENSP00000355751,9606.ENSP00000007722,81.0,21.0
26,9606.ENSP00000353654,9606.ENSP00000007722,33.0,21.0
27,9606.ENSP00000355180,9606.ENSP00000007722,5.0,21.0
28,9606.ENSP00000297268,9606.ENSP00000007722,52.0,21.0
29,9606.ENSP00000353654,9606.ENSP00000200181,33.0,36.0
30,9606.ENSP00000295550,9606.ENSP00000200181,2.0,36.0
31,9606.ENSP00000261405,9606.ENSP00000200181,7.0,36.0
32,9606.ENSP00000354360,9606.ENSP00000200181,73.0,36.0
33,9606.ENSP00000226218,9606.ENSP00000200181,18.0,36.0
34,9606.ENSP00000452786,9606.ENSP00000200181,35.0,36.0
35,9606.ENSP00000262407,9606.ENSP00000200181,22.0,36.0
36,9606.ENSP00000296181,9606.ENSP00000200181,38.0,36.0
37,9606.ENSP00000225964,9606.ENSP00000200181,48.0,36.0
38,9606.ENSP00000370542,9606.ENSP00000200181,82.0,36.0
39,9606.ENSP00000380227,9606.ENSP00000200181,20.0,36.0
40,9606.ENSP00000230538,9606.ENSP00000200181,49.0,36.0
