,protein1,protein2,id1,id2
0,9606.ENSP00000365402,9606.ENSP00000011653,91.0,40.0
1,9606.ENSP00000441691,9606.ENSP00000011653,14.0,40.0
2,9606.ENSP00000480132,9606.ENSP00000011653,112.0,40.0
3,9606.ENSP00000331736,9606.ENSP00000011653,46.0,40.0
4,9606.ENSP00000370542,9606.ENSP00000011653,71.0,40.0
5,9606.ENSP00000294728,9606.ENSP00000011653,29.0,40.0
6,9606.ENSP00000310036,9606.ENSP00000011653,15.0,40.0
7,9606.ENSP00000358501,9606.ENSP00000011653,113.0,40.0
8,9606.ENSP00000390020,9606.ENSP00000011653,80.0,40.0
9,9606.ENSP00000457421,9606.ENSP00000011653,25.0,40.0
10,9606.ENSP00000263686,9606.ENSP00000011653,31.0,40.0
11,9606.ENSP00000236147,9606.ENSP00000011653,28.0,40.0
12,9606.ENSP00000398890,9606.ENSP00000011653,94.0,40.0
13,9606.ENSP00000264832,9606.ENSP00000011653,89.0,40.0
14,9606.ENSP00000349252,9606.ENSP00000011653,12.0,40.0
15,9606.ENSP00000380227,9606.ENSP00000011653,19.0,40.0
16,9606.ENSP00000408146,9606.ENSP00000011653,60.0,40.0
17,9606.ENSP00000364076,9606.ENSP00000011653,62.0,40.0
18,9606.ENSP00000393566,9606.ENSP00000011653,59.0,40.0
19,9606.ENSP00000358490,9606.ENSP00000011653,65.0,40.0
20,9606.ENSP00000319476,9606.ENSP00000011653,20.0,40.0
21,9606.ENSP00000303939,9606.ENSP00000011653,38.0,40.0
22,9606.ENSP00000353238,9606.ENSP00000011653,32.0,40.0
23,9606.ENSP00000320084,9606.ENSP00000011653,16.0,40.0
24,9606.ENSP00000341141,9606.ENSP00000011653,21.0,40.0
25,9606.ENSP00000359663,9606.ENSP00000011653,123.0,40.0
26,9606.ENSP00000364080,9606.ENSP00000011653,63.0,40.0
27,9606.ENSP00000364114,9606.ENSP00000011653,41.0,40.0
28,9606.ENSP00000428780,9606.ENSP00000064724,67.0,115.0
29,9606.ENSP00000347379,9606.ENSP00000064724,72.0,115.0
30,9606.ENSP00000358490,9606.ENSP00000085219,65.0,26.0
31,9606.ENSP00000441691,9606.ENSP00000085219,14.0,26.0
32,9606.ENSP00000264832,9606.ENSP00000160262,89.0,83.0
33,9606.ENSP00000415283,9606.ENSP00000160262,82.0,83.0
34,9606.ENSP00000263686,9606.ENSP00000205061,31.0,126.0
35,9606.ENSP00000380227,9606.ENSP00000222573,19.0,52.0
36,9606.ENSP00000264246,9606.ENSP00000222573,5.0,52.0
37,9606.ENSP00000379350,9606.ENSP00000222573,33.0,52.0
38,9606.ENSP00000299106,9606.ENSP00000222573,1.0,52.0
39,9606.ENSP00000267082,9606.ENSP00000222573,27.0,52.0
40,9606.ENSP00000349252,9606.ENSP00000222573,12.0,52.0
41,9606.ENSP00000386896,9606.ENSP00000222573,121.0,52.0
42,9606.ENSP00000383376,9606.ENSP00000222573,37.0,52.0
43,9606.ENSP00000303939,9606.ENSP00000222573,38.0,52.0
44,9606.ENSP00000264741,9606.ENSP00000222573,11.0,52.0
45,9606.ENSP00000441691,9606.ENSP00000222573,14.0,52.0
46,9606.ENSP00000324890,9606.ENSP00000222573,8.0,52.0
47,9606.ENSP00000380948,9606.ENSP00000222573,35.0,52.0
48,9606.ENSP00000264832,9606.ENSP00000228463,89.0,34.0
49,9606.ENSP00000265077,9606.ENSP00000228463,54.0,34.0
50,9606.ENSP00000353238,9606.ENSP00000228463,32.0,34.0
51,9606.ENSP00000294728,9606.ENSP00000228463,29.0,34.0
52,9606.ENSP00000378786,9606.ENSP00000229829,77.0,79.0
53,9606.ENSP00000353099,9606.ENSP00000229829,74.0,79.0
54,9606.ENSP00000393566,9606.ENSP00000229829,59.0,79.0
55,9606.ENSP00000399168,9606.ENSP00000229829,92.0,79.0
56,9606.ENSP00000259951,9606.ENSP00000229829,55.0,79.0
57,9606.ENSP00000365402,9606.ENSP00000229829,91.0,79.0
58,9606.ENSP00000379873,9606.ENSP00000229829,96.0,79.0
59,9606.ENSP00000365817,9606.ENSP00000229829,57.0,79.0
60,9606.ENSP00000364080,9606.ENSP00000229829,63.0,79.0
61,9606.ENSP00000364114,9606.ENSP00000229829,41.0,79.0
