,protein1,protein2,id1,id2
0,9606.ENSP00000483313,9606.ENSP00000211998,13.0,41.0
1,9606.ENSP00000384638,9606.ENSP00000211998,42.0,41.0
2,9606.ENSP00000375960,9606.ENSP00000211998,0.0,41.0
3,9606.ENSP00000389714,9606.ENSP00000211998,61.0,41.0
4,9606.ENSP00000215832,9606.ENSP00000211998,35.0,41.0
5,9606.ENSP00000462468,9606.ENSP00000211998,58.0,41.0
6,9606.ENSP00000383118,9606.ENSP00000211998,67.0,41.0
7,9606.ENSP00000281537,9606.ENSP00000211998,52.0,41.0
8,9606.ENSP00000458162,9606.ENSP00000211998,27.0,41.0
9,9606.ENSP00000268182,9606.ENSP00000211998,22.0,41.0
10,9606.ENSP00000223023,9606.ENSP00000211998,16.0,41.0
11,9606.ENSP00000263025,9606.ENSP00000211998,24.0,41.0
12,9606.ENSP00000462468,9606.ENSP00000215832,58.0,35.0
13,9606.ENSP00000249071,9606.ENSP00000215832,14.0,35.0
14,9606.ENSP00000391592,9606.ENSP00000215832,9.0,35.0
15,9606.ENSP00000383118,9606.ENSP00000215832,67.0,35.0
16,9606.ENSP00000348461,9606.ENSP00000215832,32.0,35.0
17,9606.ENSP00000316338,9606.ENSP00000215832,60.0,35.0
18,9606.ENSP00000317272,9606.ENSP00000215832,53.0,35.0
19,9606.ENSP00000358335,9606.ENSP00000215832,20.0,35.0
20,9606.ENSP00000335055,9606.ENSP00000215832,29.0,35.0
21,9606.ENSP00000263253,9606.ENSP00000215832,39.0,35.0
22,9606.ENSP00000261769,9606.ENSP00000215832,70.0,35.0
23,9606.ENSP00000346671,9606.ENSP00000215832,63.0,35.0
24,9606.ENSP00000393312,9606.ENSP00000215832,21.0,35.0
25,9606.ENSP00000376368,9606.ENSP00000215832,19.0,35.0
26,9606.ENSP00000362680,9606.ENSP00000215832,55.0,35.0
27,9606.ENSP00000483313,9606.ENSP00000215832,13.0,35.0
28,9606.ENSP00000262160,9606.ENSP00000215832,34.0,35.0
29,9606.ENSP00000268035,9606.ENSP00000215832,4.0,35.0
30,9606.ENSP00000344456,9606.ENSP00000217244,43.0,36.0
31,9606.ENSP00000317272,9606.ENSP00000223023,53.0,16.0
32,9606.ENSP00000483313,9606.ENSP00000223023,13.0,16.0
33,9606.ENSP00000376368,9606.ENSP00000223023,19.0,16.0
34,9606.ENSP00000346671,9606.ENSP00000223023,63.0,16.0
35,9606.ENSP00000400175,9606.ENSP00000223023,5.0,16.0
36,9606.ENSP00000349960,9606.ENSP00000223023,51.0,16.0
37,9606.ENSP00000275493,9606.ENSP00000223023,40.0,16.0
38,9606.ENSP00000335055,9606.ENSP00000223023,29.0,16.0
39,9606.ENSP00000281537,9606.ENSP00000244050,52.0,11.0
40,9606.ENSP00000275493,9606.ENSP00000244050,40.0,11.0
41,9606.ENSP00000344456,9606.ENSP00000244050,43.0,11.0
42,9606.ENSP00000262160,9606.ENSP00000244050,34.0,11.0
43,9606.ENSP00000262367,9606.ENSP00000244050,6.0,11.0
44,9606.ENSP00000349960,9606.ENSP00000244050,51.0,11.0
45,9606.ENSP00000316338,9606.ENSP00000249071,60.0,14.0
46,9606.ENSP00000365891,9606.ENSP00000249071,2.0,14.0
47,9606.ENSP00000383118,9606.ENSP00000249071,67.0,14.0
48,9606.ENSP00000304283,9606.ENSP00000249071,17.0,14.0
49,9606.ENSP00000263025,9606.ENSP00000249071,24.0,14.0
50,9606.ENSP00000346671,9606.ENSP00000249071,63.0,14.0
51,9606.ENSP00000382004,9606.ENSP00000249071,44.0,14.0
52,9606.ENSP00000335055,9606.ENSP00000249071,29.0,14.0
53,9606.ENSP00000483313,9606.ENSP00000249071,13.0,14.0
54,9606.ENSP00000362680,9606.ENSP00000249071,55.0,14.0
55,9606.ENSP00000376368,9606.ENSP00000249071,19.0,14.0
56,9606.ENSP00000349960,9606.ENSP00000249071,51.0,14.0
57,9606.ENSP00000400175,9606.ENSP00000249071,5.0,14.0
58,9606.ENSP00000363921,9606.ENSP00000249071,66.0,14.0
59,9606.ENSP00000261769,9606.ENSP00000252483,70.0,69.0
60,9606.ENSP00000356991,9606.ENSP00000252483,49.0,69.0
61,9606.ENSP00000344456,9606.ENSP00000252483,43.0,69.0
62,9606.ENSP00000363921,9606.ENSP00000252483,66.0,69.0
63,9606.ENSP00000304669,9606.ENSP00000252483,30.0,69.0
64,9606.ENSP00000268182,9606.ENSP00000252699,22.0,8.0
65,9606.ENSP00000344456,9606.ENSP00000252699,43.0,8.0
66,9606.ENSP00000304669,9606.ENSP00000252699,30.0,8.0
67,9606.ENSP00000275493,9606.ENSP00000252699,40.0,8.0
68,9606.ENSP00000348461,9606.ENSP00000252699,32.0,8.0
69,9606.ENSP00000281537,9606.ENSP00000252699,52.0,8.0
70,9606.ENSP00000458162,9606.ENSP00000252699,27.0,8.0
71,9606.ENSP00000389714,9606.ENSP00000252699,61.0,8.0
72,9606.ENSP00000400175,9606.ENSP00000252699,5.0,8.0
73,9606.ENSP00000349960,9606.ENSP00000252699,51.0,8.0
74,9606.ENSP00000362680,9606.ENSP00000252699,55.0,8.0
75,9606.ENSP00000384638,9606.ENSP00000252699,42.0,8.0
76,9606.ENSP00000340279,9606.ENSP00000252699,54.0,8.0
77,9606.ENSP00000433352,9606.ENSP00000252699,62.0,8.0
78,9606.ENSP00000281092,9606.ENSP00000261769,59.0,70.0
79,9606.ENSP00000265165,9606.ENSP00000261769,7.0,70.0
80,9606.ENSP00000262367,9606.ENSP00000261769,6.0,70.0
81,9606.ENSP00000348461,9606.ENSP00000261769,32.0,70.0
82,9606.ENSP00000360683,9606.ENSP00000261769,65.0,70.0
83,9606.ENSP00000377941,9606.ENSP00000261769,10.0,70.0
84,9606.ENSP00000349960,9606.ENSP00000261769,51.0,70.0
85,9606.ENSP00000389714,9606.ENSP00000261769,61.0,70.0
86,9606.ENSP00000363921,9606.ENSP00000261769,66.0,70.0
87,9606.ENSP00000262160,9606.ENSP00000261769,34.0,70.0
88,9606.ENSP00000264025,9606.ENSP00000261769,72.0,70.0
89,9606.ENSP00000384638,9606.ENSP00000261769,42.0,70.0
90,9606.ENSP00000463325,9606.ENSP00000261769,48.0,70.0
91,9606.ENSP00000269571,9606.ENSP00000261769,12.0,70.0
92,9606.ENSP00000393312,9606.ENSP00000261769,21.0,70.0
93,9606.ENSP00000265165,9606.ENSP00000262160,7.0,34.0
94,9606.ENSP00000380034,9606.ENSP00000262160,3.0,34.0
95,9606.ENSP00000349960,9606.ENSP00000262160,51.0,34.0
96,9606.ENSP00000340347,9606.ENSP00000262367,25.0,6.0
97,9606.ENSP00000282111,9606.ENSP00000262367,57.0,6.0
98,9606.ENSP00000349960,9606.ENSP00000262367,51.0,6.0
99,9606.ENSP00000384625,9606.ENSP00000262367,56.0,6.0
100,9606.ENSP00000362680,9606.ENSP00000262367,55.0,6.0
101,9606.ENSP00000393312,9606.ENSP00000262367,21.0,6.0
102,9606.ENSP00000263025,9606.ENSP00000262367,24.0,6.0
103,9606.ENSP00000265165,9606.ENSP00000262367,7.0,6.0
104,9606.ENSP00000358404,9606.ENSP00000262367,33.0,6.0
105,9606.ENSP00000344456,9606.ENSP00000262506,43.0,38.0
106,9606.ENSP00000316338,9606.ENSP00000263025,60.0,24.0
107,9606.ENSP00000317272,9606.ENSP00000263025,53.0,24.0
108,9606.ENSP00000348461,9606.ENSP00000263025,32.0,24.0
109,9606.ENSP00000383118,9606.ENSP00000263025,67.0,24.0
110,9606.ENSP00000391592,9606.ENSP00000263025,9.0,24.0
111,9606.ENSP00000263253,9606.ENSP00000263025,39.0,24.0
112,9606.ENSP00000335055,9606.ENSP00000263025,29.0,24.0
113,9606.ENSP00000275493,9606.ENSP00000263025,40.0,24.0
114,9606.ENSP00000358335,9606.ENSP00000263025,20.0,24.0
115,9606.ENSP00000344456,9606.ENSP00000263025,43.0,24.0
116,9606.ENSP00000483313,9606.ENSP00000263025,13.0,24.0
117,9606.ENSP00000393312,9606.ENSP00000263025,21.0,24.0
118,9606.ENSP00000376368,9606.ENSP00000263025,19.0,24.0
119,9606.ENSP00000349960,9606.ENSP00000263025,51.0,24.0
120,9606.ENSP00000400010,9606.ENSP00000263025,15.0,24.0
121,9606.ENSP00000268035,9606.ENSP00000263025,4.0,24.0
122,9606.ENSP00000364133,9606.ENSP00000263253,50.0,39.0
123,9606.ENSP00000265165,9606.ENSP00000263253,7.0,39.0
124,9606.ENSP00000362680,9606.ENSP00000263253,55.0,39.0
125,9606.ENSP00000340347,9606.ENSP00000263253,25.0,39.0
126,9606.ENSP00000282111,9606.ENSP00000263253,57.0,39.0
127,9606.ENSP00000349960,9606.ENSP00000263253,51.0,39.0
128,9606.ENSP00000356991,9606.ENSP00000264025,49.0,72.0
129,9606.ENSP00000363921,9606.ENSP00000264025,66.0,72.0
130,9606.ENSP00000304669,9606.ENSP00000264025,30.0,72.0
131,9606.ENSP00000344456,9606.ENSP00000264025,43.0,72.0
132,9606.ENSP00000348461,9606.ENSP00000264042,32.0,45.0
133,9606.ENSP00000362680,9606.ENSP00000264042,55.0,45.0
134,9606.ENSP00000383118,9606.ENSP00000264042,67.0,45.0
135,9606.ENSP00000332973,9606.ENSP00000265165,23.0,7.0
136,9606.ENSP00000358404,9606.ENSP00000265165,33.0,7.0
137,9606.ENSP00000340347,9606.ENSP00000265165,25.0,7.0
138,9606.ENSP00000282111,9606.ENSP00000265165,57.0,7.0
139,9606.ENSP00000268035,9606.ENSP00000265165,4.0,7.0
140,9606.ENSP00000362680,9606.ENSP00000268035,55.0,4.0
