,protein1,protein2,id1,id2
0,9606.ENSP00000281537,9606.ENSP00000064724,117.0,104.0
1,9606.ENSP00000465419,9606.ENSP00000064724,7.0,104.0
2,9606.ENSP00000428780,9606.ENSP00000064724,50.0,104.0
3,9606.ENSP00000347379,9606.ENSP00000064724,60.0,104.0
4,9606.ENSP00000404570,9606.ENSP00000216181,8.0,56.0
5,9606.ENSP00000384330,9606.ENSP00000216181,57.0,56.0
6,9606.ENSP00000226207,9606.ENSP00000216181,13.0,56.0
7,9606.ENSP00000458162,9606.ENSP00000216181,93.0,56.0
8,9606.ENSP00000253861,9606.ENSP00000216181,113.0,56.0
9,9606.ENSP00000245503,9606.ENSP00000216181,52.0,56.0
10,9606.ENSP00000228841,9606.ENSP00000216181,38.0,56.0
11,9606.ENSP00000377941,9606.ENSP00000216181,82.0,56.0
12,9606.ENSP00000383118,9606.ENSP00000216181,61.0,56.0
13,9606.ENSP00000255381,9606.ENSP00000216181,53.0,56.0
14,9606.ENSP00000325239,9606.ENSP00000216181,84.0,56.0
15,9606.ENSP00000386041,9606.ENSP00000216181,55.0,56.0
16,9606.ENSP00000223167,9606.ENSP00000216181,43.0,56.0
17,9606.ENSP00000470298,9606.ENSP00000216181,11.0,56.0
18,9606.ENSP00000379616,9606.ENSP00000216181,58.0,56.0
19,9606.ENSP00000347507,9606.ENSP00000216181,54.0,56.0
20,9606.ENSP00000362680,9606.ENSP00000216181,118.0,56.0
21,9606.ENSP00000223364,9606.ENSP00000216181,16.0,56.0
22,9606.ENSP00000425587,9606.ENSP00000216181,24.0,56.0
23,9606.ENSP00000400175,9606.ENSP00000216181,77.0,56.0
24,9606.ENSP00000252699,9606.ENSP00000216181,80.0,56.0
25,9606.ENSP00000383023,9606.ENSP00000216181,40.0,56.0
26,9606.ENSP00000464317,9606.ENSP00000216181,51.0,56.0
27,9606.ENSP00000344456,9606.ENSP00000217244,101.0,27.0
28,9606.ENSP00000349204,9606.ENSP00000219255,17.0,64.0
29,9606.ENSP00000344456,9606.ENSP00000219255,101.0,64.0
30,9606.ENSP00000347379,9606.ENSP00000219255,60.0,64.0
31,9606.ENSP00000357005,9606.ENSP00000219255,86.0,64.0
32,9606.ENSP00000304669,9606.ENSP00000219255,25.0,64.0
33,9606.ENSP00000306124,9606.ENSP00000219255,87.0,64.0
34,9606.ENSP00000385450,9606.ENSP00000219255,35.0,64.0
35,9606.ENSP00000321537,9606.ENSP00000219255,29.0,64.0
36,9606.ENSP00000400175,9606.ENSP00000219255,77.0,64.0
37,9606.ENSP00000343144,9606.ENSP00000219255,97.0,64.0
38,9606.ENSP00000362680,9606.ENSP00000219255,118.0,64.0
39,9606.ENSP00000271636,9606.ENSP00000219255,71.0,64.0
40,9606.ENSP00000360672,9606.ENSP00000219255,34.0,64.0
41,9606.ENSP00000295797,9606.ENSP00000221138,79.0,105.0
42,9606.ENSP00000375892,9606.ENSP00000221138,20.0,105.0
43,9606.ENSP00000256078,9606.ENSP00000221138,32.0,105.0
44,9606.ENSP00000451828,9606.ENSP00000221138,19.0,105.0
45,9606.ENSP00000362680,9606.ENSP00000221138,118.0,105.0
46,9606.ENSP00000367830,9606.ENSP00000221138,91.0,105.0
47,9606.ENSP00000347379,9606.ENSP00000221138,60.0,105.0
48,9606.ENSP00000407586,9606.ENSP00000221138,95.0,105.0
49,9606.ENSP00000358548,9606.ENSP00000221138,23.0,105.0
50,9606.ENSP00000263826,9606.ENSP00000221138,22.0,105.0
51,9606.ENSP00000462468,9606.ENSP00000221138,46.0,105.0
52,9606.ENSP00000273353,9606.ENSP00000223167,15.0,43.0
53,9606.ENSP00000379616,9606.ENSP00000223167,58.0,43.0
54,9606.ENSP00000347507,9606.ENSP00000223167,54.0,43.0
55,9606.ENSP00000383023,9606.ENSP00000223167,40.0,43.0
56,9606.ENSP00000464317,9606.ENSP00000223167,51.0,43.0
57,9606.ENSP00000353590,9606.ENSP00000223167,59.0,43.0
58,9606.ENSP00000223364,9606.ENSP00000223167,16.0,43.0
59,9606.ENSP00000349960,9606.ENSP00000223167,116.0,43.0
60,9606.ENSP00000255381,9606.ENSP00000223167,53.0,43.0
61,9606.ENSP00000245503,9606.ENSP00000223167,52.0,43.0
62,9606.ENSP00000458162,9606.ENSP00000223167,93.0,43.0
63,9606.ENSP00000404570,9606.ENSP00000223167,8.0,43.0
64,9606.ENSP00000226207,9606.ENSP00000223167,13.0,43.0
65,9606.ENSP00000384330,9606.ENSP00000223167,57.0,43.0
66,9606.ENSP00000279022,9606.ENSP00000223167,73.0,43.0
