,protein1,protein2,id1,id2
0,9606.ENSP00000311648,9606.ENSP00000216124,37.0,13.0
1,9606.ENSP00000218516,9606.ENSP00000216124,26.0,13.0
2,9606.ENSP00000364782,9606.ENSP00000216124,9.0,13.0
3,9606.ENSP00000385735,9606.ENSP00000216124,0.0,13.0
4,9606.ENSP00000233840,9606.ENSP00000216124,7.0,13.0
5,9606.ENSP00000320318,9606.ENSP00000216124,25.0,13.0
6,9606.ENSP00000294064,9606.ENSP00000216124,16.0,13.0
7,9606.ENSP00000362298,9606.ENSP00000216264,15.0,20.0
8,9606.ENSP00000316476,9606.ENSP00000216264,23.0,20.0
9,9606.ENSP00000332656,9606.ENSP00000216264,22.0,20.0
10,9606.ENSP00000307126,9606.ENSP00000216264,12.0,20.0
11,9606.ENSP00000262554,9606.ENSP00000216264,34.0,20.0
12,9606.ENSP00000311648,9606.ENSP00000216264,37.0,20.0
13,9606.ENSP00000219334,9606.ENSP00000216264,35.0,20.0
14,9606.ENSP00000378176,9606.ENSP00000216264,4.0,20.0
15,9606.ENSP00000301452,9606.ENSP00000216264,27.0,20.0
16,9606.ENSP00000386531,9606.ENSP00000216264,17.0,20.0
17,9606.ENSP00000261304,9606.ENSP00000216264,3.0,20.0
18,9606.ENSP00000314508,9606.ENSP00000216264,5.0,20.0
19,9606.ENSP00000316476,9606.ENSP00000216484,23.0,33.0
20,9606.ENSP00000362298,9606.ENSP00000216484,15.0,33.0
21,9606.ENSP00000258052,9606.ENSP00000216484,21.0,33.0
22,9606.ENSP00000307126,9606.ENSP00000216484,12.0,33.0
23,9606.ENSP00000320318,9606.ENSP00000218516,25.0,26.0
24,9606.ENSP00000261304,9606.ENSP00000218516,3.0,26.0
25,9606.ENSP00000294064,9606.ENSP00000218516,16.0,26.0
26,9606.ENSP00000311648,9606.ENSP00000218516,37.0,26.0
27,9606.ENSP00000306459,9606.ENSP00000218516,32.0,26.0
28,9606.ENSP00000233840,9606.ENSP00000218516,7.0,26.0
29,9606.ENSP00000385735,9606.ENSP00000218516,0.0,26.0
30,9606.ENSP00000364782,9606.ENSP00000218516,9.0,26.0
31,9606.ENSP00000314508,9606.ENSP00000219334,5.0,35.0
32,9606.ENSP00000315137,9606.ENSP00000219334,1.0,35.0
33,9606.ENSP00000342609,9606.ENSP00000219334,10.0,35.0
34,9606.ENSP00000261304,9606.ENSP00000219334,3.0,35.0
35,9606.ENSP00000301452,9606.ENSP00000219334,27.0,35.0
36,9606.ENSP00000371152,9606.ENSP00000219334,29.0,35.0
37,9606.ENSP00000378176,9606.ENSP00000219334,4.0,35.0
38,9606.ENSP00000340409,9606.ENSP00000219334,31.0,35.0
39,9606.ENSP00000378897,9606.ENSP00000219334,38.0,35.0
