,protein1,protein2,id1,id2
0,9606.ENSP00000333685,9606.ENSP00000211287,54.0,58.0
1,9606.ENSP00000451828,9606.ENSP00000211287,17.0,58.0
2,9606.ENSP00000215659,9606.ENSP00000211287,30.0,58.0
3,9606.ENSP00000345083,9606.ENSP00000211287,56.0,58.0
4,9606.ENSP00000302486,9606.ENSP00000211287,59.0,58.0
5,9606.ENSP00000375892,9606.ENSP00000211287,18.0,58.0
6,9606.ENSP00000216160,9606.ENSP00000211287,92.0,58.0
7,9606.ENSP00000229795,9606.ENSP00000211287,29.0,58.0
8,9606.ENSP00000348461,9606.ENSP00000211287,72.0,58.0
9,9606.ENSP00000263826,9606.ENSP00000211287,21.0,58.0
10,9606.ENSP00000306245,9606.ENSP00000211287,94.0,58.0
11,9606.ENSP00000215832,9606.ENSP00000211287,73.0,58.0
12,9606.ENSP00000262948,9606.ENSP00000211287,55.0,58.0
13,9606.ENSP00000410402,9606.ENSP00000211287,8.0,58.0
14,9606.ENSP00000360266,9606.ENSP00000211287,0.0,58.0
15,9606.ENSP00000263025,9606.ENSP00000211287,71.0,58.0
16,9606.ENSP00000354394,9606.ENSP00000211287,3.0,58.0
17,9606.ENSP00000381070,9606.ENSP00000211287,60.0,58.0
18,9606.ENSP00000358335,9606.ENSP00000211287,16.0,58.0
19,9606.ENSP00000356426,9606.ENSP00000215659,36.0,30.0
20,9606.ENSP00000216160,9606.ENSP00000215659,92.0,30.0
21,9606.ENSP00000375892,9606.ENSP00000215659,18.0,30.0
22,9606.ENSP00000302486,9606.ENSP00000215659,59.0,30.0
23,9606.ENSP00000333685,9606.ENSP00000215659,54.0,30.0
24,9606.ENSP00000451828,9606.ENSP00000215659,17.0,30.0
25,9606.ENSP00000410402,9606.ENSP00000215659,8.0,30.0
26,9606.ENSP00000263025,9606.ENSP00000215659,71.0,30.0
27,9606.ENSP00000360266,9606.ENSP00000215659,0.0,30.0
28,9606.ENSP00000381070,9606.ENSP00000215659,60.0,30.0
29,9606.ENSP00000354394,9606.ENSP00000215659,3.0,30.0
30,9606.ENSP00000358335,9606.ENSP00000215659,16.0,30.0
31,9606.ENSP00000263826,9606.ENSP00000215659,21.0,30.0
32,9606.ENSP00000348461,9606.ENSP00000215659,72.0,30.0
33,9606.ENSP00000229795,9606.ENSP00000215659,29.0,30.0
34,9606.ENSP00000306245,9606.ENSP00000215659,94.0,30.0
35,9606.ENSP00000262948,9606.ENSP00000215659,55.0,30.0
36,9606.ENSP00000215832,9606.ENSP00000215659,73.0,30.0
37,9606.ENSP00000263826,9606.ENSP00000215832,21.0,73.0
38,9606.ENSP00000468348,9606.ENSP00000215832,61.0,73.0
39,9606.ENSP00000348461,9606.ENSP00000215832,72.0,73.0
40,9606.ENSP00000216797,9606.ENSP00000215832,25.0,73.0
41,9606.ENSP00000384273,9606.ENSP00000215832,31.0,73.0
42,9606.ENSP00000226574,9606.ENSP00000215832,24.0,73.0
43,9606.ENSP00000358335,9606.ENSP00000215832,16.0,73.0
44,9606.ENSP00000378974,9606.ENSP00000215832,76.0,73.0
45,9606.ENSP00000451828,9606.ENSP00000215832,17.0,73.0
46,9606.ENSP00000333685,9606.ENSP00000215832,54.0,73.0
47,9606.ENSP00000385675,9606.ENSP00000215832,98.0,73.0
48,9606.ENSP00000375892,9606.ENSP00000215832,18.0,73.0
49,9606.ENSP00000482259,9606.ENSP00000215832,9.0,73.0
50,9606.ENSP00000345083,9606.ENSP00000215832,56.0,73.0
51,9606.ENSP00000410402,9606.ENSP00000216160,8.0,92.0
52,9606.ENSP00000384273,9606.ENSP00000216160,31.0,92.0
53,9606.ENSP00000226574,9606.ENSP00000216160,24.0,92.0
54,9606.ENSP00000381070,9606.ENSP00000216160,60.0,92.0
55,9606.ENSP00000216797,9606.ENSP00000216160,25.0,92.0
56,9606.ENSP00000454207,9606.ENSP00000216160,33.0,92.0
57,9606.ENSP00000296795,9606.ENSP00000216160,90.0,92.0
58,9606.ENSP00000376445,9606.ENSP00000216160,28.0,92.0
59,9606.ENSP00000248244,9606.ENSP00000216160,41.0,92.0
60,9606.ENSP00000363089,9606.ENSP00000216160,91.0,92.0
61,9606.ENSP00000302486,9606.ENSP00000216160,59.0,92.0
62,9606.ENSP00000390651,9606.ENSP00000216160,49.0,92.0
63,9606.ENSP00000415139,9606.ENSP00000216160,80.0,92.0
64,9606.ENSP00000284818,9606.ENSP00000216160,14.0,92.0
65,9606.ENSP00000351273,9606.ENSP00000216797,40.0,25.0
66,9606.ENSP00000356426,9606.ENSP00000216797,36.0,25.0
67,9606.ENSP00000263967,9606.ENSP00000216797,86.0,25.0
68,9606.ENSP00000263341,9606.ENSP00000216797,81.0,25.0
69,9606.ENSP00000385675,9606.ENSP00000216797,98.0,25.0
70,9606.ENSP00000363089,9606.ENSP00000216797,91.0,25.0
71,9606.ENSP00000259808,9606.ENSP00000216797,11.0,25.0
72,9606.ENSP00000390651,9606.ENSP00000216797,49.0,25.0
73,9606.ENSP00000451828,9606.ENSP00000216797,17.0,25.0
74,9606.ENSP00000378974,9606.ENSP00000216797,76.0,25.0
75,9606.ENSP00000231228,9606.ENSP00000216797,52.0,25.0
76,9606.ENSP00000358335,9606.ENSP00000216797,16.0,25.0
77,9606.ENSP00000306512,9606.ENSP00000216797,50.0,25.0
78,9606.ENSP00000464030,9606.ENSP00000216797,23.0,25.0
79,9606.ENSP00000354394,9606.ENSP00000216797,3.0,25.0
80,9606.ENSP00000260010,9606.ENSP00000216797,95.0,25.0
81,9606.ENSP00000329967,9606.ENSP00000216797,85.0,25.0
82,9606.ENSP00000263826,9606.ENSP00000222254,21.0,101.0
83,9606.ENSP00000451828,9606.ENSP00000222254,17.0,101.0
84,9606.ENSP00000392812,9606.ENSP00000222254,26.0,101.0
