,protein1,protein2,id1,id2
0,9606.ENSP00000264563,9606.ENSP00000215781,98.0,105.0
1,9606.ENSP00000357470,9606.ENSP00000215781,121.0,105.0
2,9606.ENSP00000343204,9606.ENSP00000215781,14.0,105.0
3,9606.ENSP00000384053,9606.ENSP00000215781,38.0,105.0
4,9606.ENSP00000222139,9606.ENSP00000215781,97.0,105.0
5,9606.ENSP00000371067,9606.ENSP00000215781,18.0,105.0
6,9606.ENSP00000482954,9606.ENSP00000215781,33.0,105.0
7,9606.ENSP00000363318,9606.ENSP00000215781,102.0,105.0
8,9606.ENSP00000249075,9606.ENSP00000215781,139.0,105.0
9,9606.ENSP00000279804,9606.ENSP00000215781,10.0,105.0
10,9606.ENSP00000355370,9606.ENSP00000215781,32.0,105.0
11,9606.ENSP00000362195,9606.ENSP00000215781,47.0,105.0
12,9606.ENSP00000330393,9606.ENSP00000215781,82.0,105.0
13,9606.ENSP00000368265,9606.ENSP00000215781,34.0,105.0
14,9606.ENSP00000412237,9606.ENSP00000215781,93.0,105.0
15,9606.ENSP00000228534,9606.ENSP00000215781,9.0,105.0
16,9606.ENSP00000383641,9606.ENSP00000215781,123.0,105.0
17,9606.ENSP00000391676,9606.ENSP00000215781,17.0,105.0
18,9606.ENSP00000431885,9606.ENSP00000215781,5.0,105.0
19,9606.ENSP00000227752,9606.ENSP00000215781,94.0,105.0
20,9606.ENSP00000306157,9606.ENSP00000215781,70.0,105.0
21,9606.ENSP00000409346,9606.ENSP00000216223,67.0,103.0
22,9606.ENSP00000428056,9606.ENSP00000216223,152.0,103.0
23,9606.ENSP00000274520,9606.ENSP00000216223,69.0,103.0
24,9606.ENSP00000231449,9606.ENSP00000216223,145.0,103.0
25,9606.ENSP00000412237,9606.ENSP00000216223,93.0,103.0
26,9606.ENSP00000366746,9606.ENSP00000216223,11.0,103.0
27,9606.ENSP00000481249,9606.ENSP00000216223,65.0,103.0
28,9606.ENSP00000264497,9606.ENSP00000216223,115.0,103.0
29,9606.ENSP00000296870,9606.ENSP00000216223,100.0,103.0
30,9606.ENSP00000304915,9606.ENSP00000216223,73.0,103.0
31,9606.ENSP00000431885,9606.ENSP00000216223,5.0,103.0
32,9606.ENSP00000306157,9606.ENSP00000216223,70.0,103.0
33,9606.ENSP00000340944,9606.ENSP00000216223,57.0,103.0
34,9606.ENSP00000376345,9606.ENSP00000216223,87.0,103.0
35,9606.ENSP00000330341,9606.ENSP00000216223,42.0,103.0
36,9606.ENSP00000229135,9606.ENSP00000216223,110.0,103.0
37,9606.ENSP00000263904,9606.ENSP00000216223,129.0,103.0
38,9606.ENSP00000296871,9606.ENSP00000216223,28.0,103.0
39,9606.ENSP00000451828,9606.ENSP00000216223,15.0,103.0
40,9606.ENSP00000391592,9606.ENSP00000216223,68.0,103.0
41,9606.ENSP00000354394,9606.ENSP00000216223,2.0,103.0
42,9606.ENSP00000385675,9606.ENSP00000216223,153.0,103.0
43,9606.ENSP00000384053,9606.ENSP00000216223,38.0,103.0
44,9606.ENSP00000339804,9606.ENSP00000216223,144.0,103.0
45,9606.ENSP00000264033,9606.ENSP00000216223,106.0,103.0
