,protein1,protein2,id1,id2
0,9606.ENSP00000289153,9606.ENSP00000046794,119.0,36.0
1,9606.ENSP00000340944,9606.ENSP00000046794,45.0,36.0
2,9606.ENSP00000380948,9606.ENSP00000046794,16.0,36.0
3,9606.ENSP00000348461,9606.ENSP00000046794,88.0,36.0
4,9606.ENSP00000401303,9606.ENSP00000046794,50.0,36.0
5,9606.ENSP00000379873,9606.ENSP00000046794,66.0,36.0
6,9606.ENSP00000222254,9606.ENSP00000046794,129.0,36.0
7,9606.ENSP00000387784,9606.ENSP00000046794,89.0,36.0
8,9606.ENSP00000346671,9606.ENSP00000046794,124.0,36.0
9,9606.ENSP00000371333,9606.ENSP00000046794,49.0,36.0
10,9606.ENSP00000428056,9606.ENSP00000046794,127.0,36.0
11,9606.ENSP00000262629,9606.ENSP00000046794,81.0,36.0
12,9606.ENSP00000263967,9606.ENSP00000046794,118.0,36.0
13,9606.ENSP00000360916,9606.ENSP00000046794,13.0,36.0
14,9606.ENSP00000296871,9606.ENSP00000215832,23.0,90.0
15,9606.ENSP00000249071,9606.ENSP00000215832,67.0,90.0
16,9606.ENSP00000391592,9606.ENSP00000215832,64.0,90.0
17,9606.ENSP00000348461,9606.ENSP00000215832,88.0,90.0
18,9606.ENSP00000290277,9606.ENSP00000215832,107.0,90.0
19,9606.ENSP00000346671,9606.ENSP00000215832,124.0,90.0
20,9606.ENSP00000300659,9606.ENSP00000215832,29.0,90.0
21,9606.ENSP00000263431,9606.ENSP00000215832,65.0,90.0
22,9606.ENSP00000379330,9606.ENSP00000215832,41.0,90.0
23,9606.ENSP00000408695,9606.ENSP00000215832,52.0,90.0
24,9606.ENSP00000389377,9606.ENSP00000215832,42.0,90.0
25,9606.ENSP00000311032,9606.ENSP00000215832,76.0,90.0
26,9606.ENSP00000305355,9606.ENSP00000215832,48.0,90.0
27,9606.ENSP00000278568,9606.ENSP00000215832,35.0,90.0
28,9606.ENSP00000241261,9606.ENSP00000215832,1.0,90.0
29,9606.ENSP00000356694,9606.ENSP00000216341,123.0,17.0
30,9606.ENSP00000433642,9606.ENSP00000216341,19.0,17.0
31,9606.ENSP00000398698,9606.ENSP00000216341,54.0,17.0
32,9606.ENSP00000240618,9606.ENSP00000216341,37.0,17.0
33,9606.ENSP00000318822,9606.ENSP00000216341,69.0,17.0
34,9606.ENSP00000371333,9606.ENSP00000216341,49.0,17.0
35,9606.ENSP00000356946,9606.ENSP00000216341,22.0,17.0
36,9606.ENSP00000342156,9606.ENSP00000216341,114.0,17.0
37,9606.ENSP00000291890,9606.ENSP00000216341,25.0,17.0
38,9606.ENSP00000229135,9606.ENSP00000216341,101.0,17.0
39,9606.ENSP00000387784,9606.ENSP00000216373,89.0,44.0
40,9606.ENSP00000264554,9606.ENSP00000216373,122.0,44.0
41,9606.ENSP00000358548,9606.ENSP00000216373,14.0,44.0
42,9606.ENSP00000340944,9606.ENSP00000216373,45.0,44.0
43,9606.ENSP00000348461,9606.ENSP00000216373,88.0,44.0
44,9606.ENSP00000364995,9606.ENSP00000216373,31.0,44.0
45,9606.ENSP00000329668,9606.ENSP00000216373,11.0,44.0
46,9606.ENSP00000408695,9606.ENSP00000216373,52.0,44.0
47,9606.ENSP00000278568,9606.ENSP00000216373,35.0,44.0
48,9606.ENSP00000244007,9606.ENSP00000216373,38.0,44.0
49,9606.ENSP00000356694,9606.ENSP00000221132,123.0,100.0
50,9606.ENSP00000379873,9606.ENSP00000221132,66.0,100.0
51,9606.ENSP00000349324,9606.ENSP00000221132,110.0,100.0
