,protein1,protein2,id1,id2
0,9606.ENSP00000263125,9606.ENSP00000011653,68.0,30.0
1,9606.ENSP00000296871,9606.ENSP00000011653,28.0,30.0
2,9606.ENSP00000391592,9606.ENSP00000011653,63.0,30.0
3,9606.ENSP00000231449,9606.ENSP00000011653,99.0,30.0
4,9606.ENSP00000412237,9606.ENSP00000011653,75.0,30.0
5,9606.ENSP00000226730,9606.ENSP00000011653,88.0,30.0
6,9606.ENSP00000319476,9606.ENSP00000011653,9.0,30.0
7,9606.ENSP00000303939,9606.ENSP00000011653,27.0,30.0
8,9606.ENSP00000264033,9606.ENSP00000011653,84.0,30.0
9,9606.ENSP00000231454,9606.ENSP00000011653,101.0,30.0
10,9606.ENSP00000398698,9606.ENSP00000011653,59.0,30.0
11,9606.ENSP00000244007,9606.ENSP00000011653,49.0,30.0
12,9606.ENSP00000229135,9606.ENSP00000011653,87.0,30.0
13,9606.ENSP00000359663,9606.ENSP00000011653,89.0,30.0
14,9606.ENSP00000263967,9606.ENSP00000011653,95.0,30.0
15,9606.ENSP00000324890,9606.ENSP00000046794,3.0,48.0
16,9606.ENSP00000289153,9606.ENSP00000046794,96.0,48.0
17,9606.ENSP00000380150,9606.ENSP00000046794,60.0,48.0
18,9606.ENSP00000222254,9606.ENSP00000046794,106.0,48.0
19,9606.ENSP00000387784,9606.ENSP00000046794,77.0,48.0
20,9606.ENSP00000431445,9606.ENSP00000046794,46.0,48.0
21,9606.ENSP00000233154,9606.ENSP00000046794,40.0,48.0
22,9606.ENSP00000346671,9606.ENSP00000046794,100.0,48.0
23,9606.ENSP00000428056,9606.ENSP00000046794,105.0,48.0
24,9606.ENSP00000358335,9606.ENSP00000046794,13.0,48.0
25,9606.ENSP00000310244,9606.ENSP00000046794,54.0,48.0
26,9606.ENSP00000263967,9606.ENSP00000046794,95.0,48.0
27,9606.ENSP00000370912,9606.ENSP00000046794,81.0,48.0
28,9606.ENSP00000360916,9606.ENSP00000046794,18.0,48.0
29,9606.ENSP00000333685,9606.ENSP00000211287,66.0,69.0
30,9606.ENSP00000451828,9606.ENSP00000211287,14.0,69.0
31,9606.ENSP00000345731,9606.ENSP00000211287,93.0,69.0
32,9606.ENSP00000314067,9606.ENSP00000211287,61.0,69.0
33,9606.ENSP00000215659,9606.ENSP00000211287,33.0,69.0
34,9606.ENSP00000302486,9606.ENSP00000211287,70.0,69.0
35,9606.ENSP00000375892,9606.ENSP00000211287,15.0,69.0
36,9606.ENSP00000278568,9606.ENSP00000211287,45.0,69.0
37,9606.ENSP00000417273,9606.ENSP00000211287,26.0,69.0
38,9606.ENSP00000229795,9606.ENSP00000211287,32.0,69.0
39,9606.ENSP00000263826,9606.ENSP00000211287,17.0,69.0
40,9606.ENSP00000306245,9606.ENSP00000211287,102.0,69.0
41,9606.ENSP00000383118,9606.ENSP00000211287,53.0,69.0
42,9606.ENSP00000215832,9606.ENSP00000211287,78.0,69.0
43,9606.ENSP00000262948,9606.ENSP00000211287,67.0,69.0
44,9606.ENSP00000233154,9606.ENSP00000211287,40.0,69.0
45,9606.ENSP00000346671,9606.ENSP00000211287,100.0,69.0
46,9606.ENSP00000360266,9606.ENSP00000211287,0.0,69.0
47,9606.ENSP00000263025,9606.ENSP00000211287,74.0,69.0
48,9606.ENSP00000264972,9606.ENSP00000211287,1.0,69.0
49,9606.ENSP00000381070,9606.ENSP00000211287,71.0,69.0
50,9606.ENSP00000358335,9606.ENSP00000211287,13.0,69.0
51,9606.ENSP00000314067,9606.ENSP00000215659,61.0,33.0
52,9606.ENSP00000278568,9606.ENSP00000215659,45.0,33.0
53,9606.ENSP00000375892,9606.ENSP00000215659,15.0,33.0
54,9606.ENSP00000302486,9606.ENSP00000215659,70.0,33.0
55,9606.ENSP00000333685,9606.ENSP00000215659,66.0,33.0
56,9606.ENSP00000451828,9606.ENSP00000215659,14.0,33.0
57,9606.ENSP00000263025,9606.ENSP00000215659,74.0,33.0
58,9606.ENSP00000360266,9606.ENSP00000215659,0.0,33.0
59,9606.ENSP00000346671,9606.ENSP00000215659,100.0,33.0
60,9606.ENSP00000233154,9606.ENSP00000215659,40.0,33.0
61,9606.ENSP00000264972,9606.ENSP00000215659,1.0,33.0
62,9606.ENSP00000381070,9606.ENSP00000215659,71.0,33.0
63,9606.ENSP00000358335,9606.ENSP00000215659,13.0,33.0
64,9606.ENSP00000263826,9606.ENSP00000215659,17.0,33.0
65,9606.ENSP00000229795,9606.ENSP00000215659,32.0,33.0
66,9606.ENSP00000417273,9606.ENSP00000215659,26.0,33.0
67,9606.ENSP00000306245,9606.ENSP00000215659,102.0,33.0
68,9606.ENSP00000383118,9606.ENSP00000215659,53.0,33.0
69,9606.ENSP00000262948,9606.ENSP00000215659,67.0,33.0
70,9606.ENSP00000215832,9606.ENSP00000215659,78.0,33.0
71,9606.ENSP00000296871,9606.ENSP00000215832,28.0,78.0
72,9606.ENSP00000391592,9606.ENSP00000215832,63.0,78.0
