,protein1,protein2,id1,id2
0,9606.ENSP00000289153,9606.ENSP00000046794,63.0,64.0
1,9606.ENSP00000357097,9606.ENSP00000046794,10.0,64.0
2,9606.ENSP00000428924,9606.ENSP00000046794,76.0,64.0
3,9606.ENSP00000348461,9606.ENSP00000046794,44.0,64.0
4,9606.ENSP00000278888,9606.ENSP00000046794,9.0,64.0
5,9606.ENSP00000222254,9606.ENSP00000046794,78.0,64.0
6,9606.ENSP00000387784,9606.ENSP00000046794,45.0,64.0
7,9606.ENSP00000405338,9606.ENSP00000046794,12.0,64.0
8,9606.ENSP00000346671,9606.ENSP00000046794,72.0,64.0
9,9606.ENSP00000428056,9606.ENSP00000046794,77.0,64.0
10,9606.ENSP00000263967,9606.ENSP00000046794,62.0,64.0
11,9606.ENSP00000360916,9606.ENSP00000046794,39.0,64.0
12,9606.ENSP00000333685,9606.ENSP00000211287,22.0,28.0
13,9606.ENSP00000451828,9606.ENSP00000211287,36.0,28.0
14,9606.ENSP00000215659,9606.ENSP00000211287,54.0,28.0
15,9606.ENSP00000345083,9606.ENSP00000211287,26.0,28.0
16,9606.ENSP00000302486,9606.ENSP00000211287,31.0,28.0
17,9606.ENSP00000375892,9606.ENSP00000211287,38.0,28.0
18,9606.ENSP00000229795,9606.ENSP00000211287,53.0,28.0
19,9606.ENSP00000348461,9606.ENSP00000211287,44.0,28.0
20,9606.ENSP00000263826,9606.ENSP00000211287,40.0,28.0
21,9606.ENSP00000215832,9606.ENSP00000211287,47.0,28.0
22,9606.ENSP00000262948,9606.ENSP00000211287,23.0,28.0
23,9606.ENSP00000410402,9606.ENSP00000211287,6.0,28.0
24,9606.ENSP00000346671,9606.ENSP00000211287,72.0,28.0
25,9606.ENSP00000263025,9606.ENSP00000211287,43.0,28.0
26,9606.ENSP00000381070,9606.ENSP00000211287,33.0,28.0
27,9606.ENSP00000375892,9606.ENSP00000215659,38.0,54.0
28,9606.ENSP00000302486,9606.ENSP00000215659,31.0,54.0
29,9606.ENSP00000333685,9606.ENSP00000215659,22.0,54.0
30,9606.ENSP00000451828,9606.ENSP00000215659,36.0,54.0
31,9606.ENSP00000410402,9606.ENSP00000215659,6.0,54.0
32,9606.ENSP00000263025,9606.ENSP00000215659,43.0,54.0
33,9606.ENSP00000346671,9606.ENSP00000215659,72.0,54.0
34,9606.ENSP00000381070,9606.ENSP00000215659,33.0,54.0
35,9606.ENSP00000263826,9606.ENSP00000215659,40.0,54.0
36,9606.ENSP00000348461,9606.ENSP00000215659,44.0,54.0
37,9606.ENSP00000229795,9606.ENSP00000215659,53.0,54.0
38,9606.ENSP00000262948,9606.ENSP00000215659,23.0,54.0
39,9606.ENSP00000215832,9606.ENSP00000215659,47.0,54.0
40,9606.ENSP00000296871,9606.ENSP00000215832,48.0,47.0
41,9606.ENSP00000378217,9606.ENSP00000215832,11.0,47.0
42,9606.ENSP00000249071,9606.ENSP00000215832,18.0,47.0
43,9606.ENSP00000263826,9606.ENSP00000215832,40.0,47.0
44,9606.ENSP00000468348,9606.ENSP00000215832,35.0,47.0
45,9606.ENSP00000348461,9606.ENSP00000215832,44.0,47.0
46,9606.ENSP00000428924,9606.ENSP00000215832,76.0,47.0
47,9606.ENSP00000354952,9606.ENSP00000215832,55.0,47.0
48,9606.ENSP00000378974,9606.ENSP00000215832,51.0,47.0
49,9606.ENSP00000346671,9606.ENSP00000215832,72.0,47.0
50,9606.ENSP00000451828,9606.ENSP00000215832,36.0,47.0
51,9606.ENSP00000344220,9606.ENSP00000215832,4.0,47.0
52,9606.ENSP00000408695,9606.ENSP00000215832,3.0,47.0
53,9606.ENSP00000333685,9606.ENSP00000215832,22.0,47.0
54,9606.ENSP00000305355,9606.ENSP00000215832,2.0,47.0
55,9606.ENSP00000306124,9606.ENSP00000215832,13.0,47.0
56,9606.ENSP00000375892,9606.ENSP00000215832,38.0,47.0
57,9606.ENSP00000312286,9606.ENSP00000215832,46.0,47.0
58,9606.ENSP00000345083,9606.ENSP00000215832,26.0,47.0
59,9606.ENSP00000364249,9606.ENSP00000215885,29.0,7.0
60,9606.ENSP00000393847,9606.ENSP00000215885,21.0,7.0
61,9606.ENSP00000312286,9606.ENSP00000215885,46.0,7.0
62,9606.ENSP00000364246,9606.ENSP00000215885,68.0,7.0
63,9606.ENSP00000364243,9606.ENSP00000215885,37.0,7.0
64,9606.ENSP00000364257,9606.ENSP00000215885,20.0,7.0
65,9606.ENSP00000243501,9606.ENSP00000215885,70.0,7.0
66,9606.ENSP00000383364,9606.ENSP00000215885,24.0,7.0
67,9606.ENSP00000387784,9606.ENSP00000216373,45.0,0.0
