,protein1,protein2,id1,id2
0,9606.ENSP00000428780,9606.ENSP00000064724,45.0,90.0
1,9606.ENSP00000347379,9606.ENSP00000064724,52.0,90.0
2,9606.ENSP00000380334,9606.ENSP00000159060,12.0,108.0
3,9606.ENSP00000356505,9606.ENSP00000159060,14.0,108.0
4,9606.ENSP00000348461,9606.ENSP00000159060,85.0,108.0
5,9606.ENSP00000356505,9606.ENSP00000211287,14.0,79.0
6,9606.ENSP00000333685,9606.ENSP00000211287,78.0,79.0
7,9606.ENSP00000215659,9606.ENSP00000211287,30.0,79.0
8,9606.ENSP00000380271,9606.ENSP00000211287,109.0,79.0
9,9606.ENSP00000343027,9606.ENSP00000211287,33.0,79.0
10,9606.ENSP00000229795,9606.ENSP00000211287,29.0,79.0
11,9606.ENSP00000348461,9606.ENSP00000211287,85.0,79.0
12,9606.ENSP00000358867,9606.ENSP00000211287,43.0,79.0
13,9606.ENSP00000383118,9606.ENSP00000211287,53.0,79.0
14,9606.ENSP00000312999,9606.ENSP00000211287,35.0,79.0
15,9606.ENSP00000341189,9606.ENSP00000211287,10.0,79.0
16,9606.ENSP00000395708,9606.ENSP00000211287,39.0,79.0
17,9606.ENSP00000384638,9606.ENSP00000211998,87.0,31.0
18,9606.ENSP00000263967,9606.ENSP00000211998,101.0,31.0
19,9606.ENSP00000358723,9606.ENSP00000211998,97.0,31.0
20,9606.ENSP00000383023,9606.ENSP00000211998,37.0,31.0
21,9606.ENSP00000244007,9606.ENSP00000211998,48.0,31.0
22,9606.ENSP00000223364,9606.ENSP00000211998,11.0,31.0
23,9606.ENSP00000375960,9606.ENSP00000211998,2.0,31.0
24,9606.ENSP00000389714,9606.ENSP00000211998,107.0,31.0
25,9606.ENSP00000380638,9606.ENSP00000211998,50.0,31.0
26,9606.ENSP00000383118,9606.ENSP00000211998,53.0,31.0
27,9606.ENSP00000356042,9606.ENSP00000211998,46.0,31.0
28,9606.ENSP00000458162,9606.ENSP00000211998,84.0,31.0
29,9606.ENSP00000223167,9606.ENSP00000211998,40.0,31.0
30,9606.ENSP00000279022,9606.ENSP00000211998,63.0,31.0
31,9606.ENSP00000463559,9606.ENSP00000211998,92.0,31.0
32,9606.ENSP00000353408,9606.ENSP00000211998,103.0,31.0
33,9606.ENSP00000428056,9606.ENSP00000211998,114.0,31.0
34,9606.ENSP00000325239,9606.ENSP00000211998,73.0,31.0
35,9606.ENSP00000380271,9606.ENSP00000215659,109.0,30.0
36,9606.ENSP00000356505,9606.ENSP00000215659,14.0,30.0
37,9606.ENSP00000367851,9606.ENSP00000215659,113.0,30.0
38,9606.ENSP00000333685,9606.ENSP00000215659,78.0,30.0
39,9606.ENSP00000341189,9606.ENSP00000215659,10.0,30.0
40,9606.ENSP00000395708,9606.ENSP00000215659,39.0,30.0
41,9606.ENSP00000344456,9606.ENSP00000215659,89.0,30.0
42,9606.ENSP00000348461,9606.ENSP00000215659,85.0,30.0
43,9606.ENSP00000229795,9606.ENSP00000215659,29.0,30.0
44,9606.ENSP00000343027,9606.ENSP00000215659,33.0,30.0
45,9606.ENSP00000358867,9606.ENSP00000215659,43.0,30.0
46,9606.ENSP00000383118,9606.ENSP00000215659,53.0,30.0
47,9606.ENSP00000312999,9606.ENSP00000215659,35.0,30.0
48,9606.ENSP00000261623,9606.ENSP00000219070,110.0,9.0
49,9606.ENSP00000349960,9606.ENSP00000219070,95.0,9.0
50,9606.ENSP00000361405,9606.ENSP00000219070,13.0,9.0
51,9606.ENSP00000379140,9606.ENSP00000219070,47.0,9.0
52,9606.ENSP00000289473,9606.ENSP00000219070,106.0,9.0
53,9606.ENSP00000441691,9606.ENSP00000219070,5.0,9.0
54,9606.ENSP00000356505,9606.ENSP00000219070,14.0,9.0
55,9606.ENSP00000380948,9606.ENSP00000219070,24.0,9.0
56,9606.ENSP00000367851,9606.ENSP00000219070,113.0,9.0
57,9606.ENSP00000340944,9606.ENSP00000222254,56.0,115.0
58,9606.ENSP00000383118,9606.ENSP00000222254,53.0,115.0
59,9606.ENSP00000398655,9606.ENSP00000222254,86.0,115.0
60,9606.ENSP00000392812,9606.ENSP00000222254,27.0,115.0
61,9606.ENSP00000341189,9606.ENSP00000222254,10.0,115.0
62,9606.ENSP00000244007,9606.ENSP00000222254,48.0,115.0
63,9606.ENSP00000400175,9606.ENSP00000222254,67.0,115.0
64,9606.ENSP00000383023,9606.ENSP00000223167,37.0,40.0
65,9606.ENSP00000267257,9606.ENSP00000223167,38.0,40.0
66,9606.ENSP00000223364,9606.ENSP00000223167,11.0,40.0
67,9606.ENSP00000349960,9606.ENSP00000223167,95.0,40.0
68,9606.ENSP00000458162,9606.ENSP00000223167,84.0,40.0
69,9606.ENSP00000279022,9606.ENSP00000223167,63.0,40.0
70,9606.ENSP00000382697,9606.ENSP00000223167,8.0,40.0
71,9606.ENSP00000317985,9606.ENSP00000223167,96.0,40.0
72,9606.ENSP00000325239,9606.ENSP00000223167,73.0,40.0
73,9606.ENSP00000463559,9606.ENSP00000223167,92.0,40.0
74,9606.ENSP00000267257,9606.ENSP00000223364,38.0,11.0
75,9606.ENSP00000349960,9606.ENSP00000223364,95.0,11.0
76,9606.ENSP00000383023,9606.ENSP00000223364,37.0,11.0
77,9606.ENSP00000325239,9606.ENSP00000223364,73.0,11.0
78,9606.ENSP00000317985,9606.ENSP00000223364,96.0,11.0
79,9606.ENSP00000382697,9606.ENSP00000223364,8.0,11.0
80,9606.ENSP00000463559,9606.ENSP00000223364,92.0,11.0
81,9606.ENSP00000279022,9606.ENSP00000223364,63.0,11.0
82,9606.ENSP00000458162,9606.ENSP00000223364,84.0,11.0
83,9606.ENSP00000349960,9606.ENSP00000228841,95.0,34.0
84,9606.ENSP00000422007,9606.ENSP00000228841,55.0,34.0
85,9606.ENSP00000458162,9606.ENSP00000228841,84.0,34.0
86,9606.ENSP00000443495,9606.ENSP00000228841,54.0,34.0
87,9606.ENSP00000463559,9606.ENSP00000228841,92.0,34.0
88,9606.ENSP00000279022,9606.ENSP00000228841,63.0,34.0
89,9606.ENSP00000261623,9606.ENSP00000229795,110.0,29.0
90,9606.ENSP00000380271,9606.ENSP00000229795,109.0,29.0
91,9606.ENSP00000333685,9606.ENSP00000229795,78.0,29.0
92,9606.ENSP00000367851,9606.ENSP00000229795,113.0,29.0
93,9606.ENSP00000356505,9606.ENSP00000229795,14.0,29.0
94,9606.ENSP00000344456,9606.ENSP00000229795,89.0,29.0
95,9606.ENSP00000395708,9606.ENSP00000229795,39.0,29.0
96,9606.ENSP00000380334,9606.ENSP00000229795,12.0,29.0
97,9606.ENSP00000341189,9606.ENSP00000229795,10.0,29.0
98,9606.ENSP00000312999,9606.ENSP00000229795,35.0,29.0
99,9606.ENSP00000289473,9606.ENSP00000229795,106.0,29.0
100,9606.ENSP00000380638,9606.ENSP00000229795,50.0,29.0
101,9606.ENSP00000358867,9606.ENSP00000229795,43.0,29.0
102,9606.ENSP00000343027,9606.ENSP00000229795,33.0,29.0
103,9606.ENSP00000348461,9606.ENSP00000229795,85.0,29.0
104,9606.ENSP00000352121,9606.ENSP00000244007,111.0,48.0
105,9606.ENSP00000264832,9606.ENSP00000244007,66.0,48.0
106,9606.ENSP00000428056,9606.ENSP00000244007,114.0,48.0
107,9606.ENSP00000262741,9606.ENSP00000244007,98.0,48.0
108,9606.ENSP00000386884,9606.ENSP00000244007,68.0,48.0
109,9606.ENSP00000359073,9606.ENSP00000244007,112.0,48.0
110,9606.ENSP00000289153,9606.ENSP00000244007,104.0,48.0
111,9606.ENSP00000358867,9606.ENSP00000244007,43.0,48.0
112,9606.ENSP00000343027,9606.ENSP00000244007,33.0,48.0
113,9606.ENSP00000348461,9606.ENSP00000244007,85.0,48.0
114,9606.ENSP00000312999,9606.ENSP00000244007,35.0,48.0
115,9606.ENSP00000457421,9606.ENSP00000244007,16.0,48.0
116,9606.ENSP00000400175,9606.ENSP00000244007,67.0,48.0
117,9606.ENSP00000379140,9606.ENSP00000244007,47.0,48.0
118,9606.ENSP00000263967,9606.ENSP00000244007,101.0,48.0
119,9606.ENSP00000264316,9606.ENSP00000244007,3.0,48.0
120,9606.ENSP00000360916,9606.ENSP00000244007,23.0,48.0
121,9606.ENSP00000305355,9606.ENSP00000244007,57.0,48.0
122,9606.ENSP00000482457,9606.ENSP00000244007,49.0,48.0
123,9606.ENSP00000366563,9606.ENSP00000244007,105.0,48.0
124,9606.ENSP00000408695,9606.ENSP00000244007,58.0,48.0
125,9606.ENSP00000263431,9606.ENSP00000244007,71.0,48.0
126,9606.ENSP00000383118,9606.ENSP00000245932,53.0,18.0
127,9606.ENSP00000458162,9606.ENSP00000245932,84.0,18.0
128,9606.ENSP00000304669,9606.ENSP00000245932,25.0,18.0
129,9606.ENSP00000382004,9606.ENSP00000245932,36.0,18.0
130,9606.ENSP00000344456,9606.ENSP00000245932,89.0,18.0
131,9606.ENSP00000349960,9606.ENSP00000245932,95.0,18.0
132,9606.ENSP00000267257,9606.ENSP00000245932,38.0,18.0
133,9606.ENSP00000362057,9606.ENSP00000249071,75.0,77.0
134,9606.ENSP00000289153,9606.ENSP00000249071,104.0,77.0
135,9606.ENSP00000383118,9606.ENSP00000249071,53.0,77.0
136,9606.ENSP00000380638,9606.ENSP00000249071,50.0,77.0
137,9606.ENSP00000428056,9606.ENSP00000249071,114.0,77.0
138,9606.ENSP00000382004,9606.ENSP00000249071,36.0,77.0
139,9606.ENSP00000366563,9606.ENSP00000249071,105.0,77.0
