,protein1,protein2,id1,id2
0,9606.ENSP00000375086,9606.ENSP00000215637,19.0,39.0
1,9606.ENSP00000350256,9606.ENSP00000215637,16.0,39.0
2,9606.ENSP00000231449,9606.ENSP00000221930,40.0,14.0
3,9606.ENSP00000231454,9606.ENSP00000226730,41.0,26.0
4,9606.ENSP00000412237,9606.ENSP00000226730,42.0,26.0
5,9606.ENSP00000332049,9606.ENSP00000226730,5.0,26.0
6,9606.ENSP00000324890,9606.ENSP00000226730,6.0,26.0
7,9606.ENSP00000359663,9606.ENSP00000226730,27.0,26.0
8,9606.ENSP00000385675,9606.ENSP00000226730,43.0,26.0
9,9606.ENSP00000296545,9606.ENSP00000226730,11.0,26.0
10,9606.ENSP00000264246,9606.ENSP00000226730,4.0,26.0
11,9606.ENSP00000231449,9606.ENSP00000226730,40.0,26.0
12,9606.ENSP00000361359,9606.ENSP00000226730,29.0,26.0
13,9606.ENSP00000359663,9606.ENSP00000228918,27.0,24.0
14,9606.ENSP00000482657,9606.ENSP00000228918,17.0,24.0
15,9606.ENSP00000365048,9606.ENSP00000228918,8.0,24.0
16,9606.ENSP00000291232,9606.ENSP00000228918,0.0,24.0
17,9606.ENSP00000359663,9606.ENSP00000229335,27.0,30.0
18,9606.ENSP00000361359,9606.ENSP00000229335,29.0,30.0
19,9606.ENSP00000378786,9606.ENSP00000229829,45.0,2.0
20,9606.ENSP00000353099,9606.ENSP00000229829,44.0,2.0
21,9606.ENSP00000393566,9606.ENSP00000229829,28.0,2.0
22,9606.ENSP00000364080,9606.ENSP00000229829,34.0,2.0
23,9606.ENSP00000364114,9606.ENSP00000229829,1.0,2.0
24,9606.ENSP00000408146,9606.ENSP00000229829,31.0,2.0
25,9606.ENSP00000390020,9606.ENSP00000229829,3.0,2.0
26,9606.ENSP00000231454,9606.ENSP00000231449,41.0,40.0
27,9606.ENSP00000332049,9606.ENSP00000231449,5.0,40.0
28,9606.ENSP00000324890,9606.ENSP00000231449,6.0,40.0
29,9606.ENSP00000365048,9606.ENSP00000231449,8.0,40.0
30,9606.ENSP00000412237,9606.ENSP00000231449,42.0,40.0
31,9606.ENSP00000296545,9606.ENSP00000231449,11.0,40.0
32,9606.ENSP00000264246,9606.ENSP00000231449,4.0,40.0
33,9606.ENSP00000359663,9606.ENSP00000231449,27.0,40.0
34,9606.ENSP00000296545,9606.ENSP00000231454,11.0,41.0
35,9606.ENSP00000385675,9606.ENSP00000231454,43.0,41.0
36,9606.ENSP00000324890,9606.ENSP00000231454,6.0,41.0
37,9606.ENSP00000412237,9606.ENSP00000231454,42.0,41.0
38,9606.ENSP00000354416,9606.ENSP00000259631,23.0,9.0
39,9606.ENSP00000386884,9606.ENSP00000259631,18.0,9.0
40,9606.ENSP00000350256,9606.ENSP00000259631,16.0,9.0
41,9606.ENSP00000361359,9606.ENSP00000261652,29.0,35.0
42,9606.ENSP00000380227,9606.ENSP00000264246,13.0,4.0
43,9606.ENSP00000359663,9606.ENSP00000264246,27.0,4.0
44,9606.ENSP00000385675,9606.ENSP00000264246,43.0,4.0
45,9606.ENSP00000361359,9606.ENSP00000264246,29.0,4.0
46,9606.ENSP00000267082,9606.ENSP00000264246,36.0,4.0
47,9606.ENSP00000353099,9606.ENSP00000264246,44.0,4.0
48,9606.ENSP00000378786,9606.ENSP00000264246,45.0,4.0
49,9606.ENSP00000324890,9606.ENSP00000267082,6.0,36.0
50,9606.ENSP00000361359,9606.ENSP00000291232,29.0,0.0
51,9606.ENSP00000482657,9606.ENSP00000291232,17.0,0.0
52,9606.ENSP00000359663,9606.ENSP00000291232,27.0,0.0
53,9606.ENSP00000343505,9606.ENSP00000291232,7.0,0.0
54,9606.ENSP00000412237,9606.ENSP00000296545,42.0,11.0
55,9606.ENSP00000324890,9606.ENSP00000296545,6.0,11.0
56,9606.ENSP00000359663,9606.ENSP00000296545,27.0,11.0
57,9606.ENSP00000385675,9606.ENSP00000296545,43.0,11.0
58,9606.ENSP00000361359,9606.ENSP00000296545,29.0,11.0
59,9606.ENSP00000359663,9606.ENSP00000319476,27.0,15.0
60,9606.ENSP00000361359,9606.ENSP00000324890,29.0,6.0
61,9606.ENSP00000353099,9606.ENSP00000324890,44.0,6.0
62,9606.ENSP00000385675,9606.ENSP00000324890,43.0,6.0
63,9606.ENSP00000359663,9606.ENSP00000324890,27.0,6.0
64,9606.ENSP00000412237,9606.ENSP00000324890,42.0,6.0
65,9606.ENSP00000378786,9606.ENSP00000324890,45.0,6.0
66,9606.ENSP00000353099,9606.ENSP00000332049,44.0,5.0
67,9606.ENSP00000361359,9606.ENSP00000332049,29.0,5.0
68,9606.ENSP00000385675,9606.ENSP00000332049,43.0,5.0
69,9606.ENSP00000359663,9606.ENSP00000332049,27.0,5.0
70,9606.ENSP00000378786,9606.ENSP00000332049,45.0,5.0
71,9606.ENSP00000375086,9606.ENSP00000332504,19.0,38.0
72,9606.ENSP00000379140,9606.ENSP00000332504,37.0,38.0
73,9606.ENSP00000354416,9606.ENSP00000332504,23.0,38.0
74,9606.ENSP00000365048,9606.ENSP00000343505,8.0,7.0
75,9606.ENSP00000379140,9606.ENSP00000350256,37.0,16.0
76,9606.ENSP00000354416,9606.ENSP00000350256,23.0,16.0
77,9606.ENSP00000390020,9606.ENSP00000353099,3.0,44.0
78,9606.ENSP00000408146,9606.ENSP00000353099,31.0,44.0
79,9606.ENSP00000364076,9606.ENSP00000353099,33.0,44.0
80,9606.ENSP00000364080,9606.ENSP00000353099,34.0,44.0
81,9606.ENSP00000364114,9606.ENSP00000353099,1.0,44.0
82,9606.ENSP00000365048,9606.ENSP00000359663,8.0,27.0
83,9606.ENSP00000412237,9606.ENSP00000359663,42.0,27.0
84,9606.ENSP00000385675,9606.ENSP00000359663,43.0,27.0
85,9606.ENSP00000385675,9606.ENSP00000361359,43.0,29.0
86,9606.ENSP00000482657,9606.ENSP00000361359,17.0,29.0
87,9606.ENSP00000412237,9606.ENSP00000361359,42.0,29.0
88,9606.ENSP00000365048,9606.ENSP00000361359,8.0,29.0
89,9606.ENSP00000364114,9606.ENSP00000364076,1.0,33.0
90,9606.ENSP00000408146,9606.ENSP00000364076,31.0,33.0
91,9606.ENSP00000398890,9606.ENSP00000364076,21.0,33.0
92,9606.ENSP00000390020,9606.ENSP00000364076,3.0,33.0
93,9606.ENSP00000378786,9606.ENSP00000364076,45.0,33.0
94,9606.ENSP00000393566,9606.ENSP00000364076,28.0,33.0
95,9606.ENSP00000390020,9606.ENSP00000364080,3.0,34.0
96,9606.ENSP00000378786,9606.ENSP00000364080,45.0,34.0
97,9606.ENSP00000393566,9606.ENSP00000364080,28.0,34.0
98,9606.ENSP00000408146,9606.ENSP00000364080,31.0,34.0
99,9606.ENSP00000364114,9606.ENSP00000364080,1.0,34.0
100,9606.ENSP00000398890,9606.ENSP00000364080,21.0,34.0
101,9606.ENSP00000390020,9606.ENSP00000364114,3.0,1.0
102,9606.ENSP00000393566,9606.ENSP00000364114,28.0,1.0
103,9606.ENSP00000408146,9606.ENSP00000364114,31.0,1.0
104,9606.ENSP00000398890,9606.ENSP00000364114,21.0,1.0
105,9606.ENSP00000385675,9606.ENSP00000365048,43.0,8.0
106,9606.ENSP00000482657,9606.ENSP00000365048,17.0,8.0
107,9606.ENSP00000379140,9606.ENSP00000375086,37.0,19.0
108,9606.ENSP00000386884,9606.ENSP00000375086,18.0,19.0
109,9606.ENSP00000390020,9606.ENSP00000378786,3.0,45.0
110,9606.ENSP00000393566,9606.ENSP00000378786,28.0,45.0
111,9606.ENSP00000385675,9606.ENSP00000379140,43.0,37.0
112,9606.ENSP00000386884,9606.ENSP00000380227,18.0,13.0
113,9606.ENSP00000398890,9606.ENSP00000390020,21.0,3.0
114,9606.ENSP00000393566,9606.ENSP00000390020,28.0,3.0
115,9606.ENSP00000408146,9606.ENSP00000390020,31.0,3.0
116,9606.ENSP00000408146,9606.ENSP00000398890,31.0,21.0
