,protein1,protein2,id1,id2
0,9606.ENSP00000408695,9606.ENSP00000078429,6.0,49.0
1,9606.ENSP00000367762,9606.ENSP00000078429,8.0,49.0
2,9606.ENSP00000260402,9606.ENSP00000078429,1.0,49.0
3,9606.ENSP00000443631,9606.ENSP00000078429,7.0,49.0
4,9606.ENSP00000358548,9606.ENSP00000078429,36.0,49.0
5,9606.ENSP00000262494,9606.ENSP00000078429,64.0,49.0
6,9606.ENSP00000358867,9606.ENSP00000078429,63.0,49.0
7,9606.ENSP00000354896,9606.ENSP00000078429,11.0,49.0
8,9606.ENSP00000343027,9606.ENSP00000078429,51.0,49.0
9,9606.ENSP00000312999,9606.ENSP00000078429,52.0,49.0
10,9606.ENSP00000306138,9606.ENSP00000078429,0.0,49.0
11,9606.ENSP00000478892,9606.ENSP00000078429,65.0,49.0
12,9606.ENSP00000286548,9606.ENSP00000078429,60.0,49.0
13,9606.ENSP00000400717,9606.ENSP00000078429,48.0,49.0
14,9606.ENSP00000407586,9606.ENSP00000078429,44.0,49.0
15,9606.ENSP00000418447,9606.ENSP00000215832,56.0,42.0
16,9606.ENSP00000312999,9606.ENSP00000215832,52.0,42.0
17,9606.ENSP00000324804,9606.ENSP00000215832,57.0,42.0
18,9606.ENSP00000302665,9606.ENSP00000215832,9.0,42.0
19,9606.ENSP00000428924,9606.ENSP00000215832,69.0,42.0
20,9606.ENSP00000343027,9606.ENSP00000215832,51.0,42.0
21,9606.ENSP00000262494,9606.ENSP00000215832,64.0,42.0
22,9606.ENSP00000358867,9606.ENSP00000215832,63.0,42.0
23,9606.ENSP00000290277,9606.ENSP00000215832,55.0,42.0
24,9606.ENSP00000221138,9606.ENSP00000215832,54.0,42.0
25,9606.ENSP00000478892,9606.ENSP00000215832,65.0,42.0
26,9606.ENSP00000311344,9606.ENSP00000215832,58.0,42.0
27,9606.ENSP00000477999,9606.ENSP00000215832,30.0,42.0
28,9606.ENSP00000263431,9606.ENSP00000215832,16.0,42.0
29,9606.ENSP00000408695,9606.ENSP00000215832,6.0,42.0
30,9606.ENSP00000305355,9606.ENSP00000215832,5.0,42.0
31,9606.ENSP00000268035,9606.ENSP00000215832,13.0,42.0
32,9606.ENSP00000312286,9606.ENSP00000215832,43.0,42.0
33,9606.ENSP00000364249,9606.ENSP00000215885,27.0,14.0
34,9606.ENSP00000393847,9606.ENSP00000215885,21.0,14.0
35,9606.ENSP00000312286,9606.ENSP00000215885,43.0,14.0
36,9606.ENSP00000364246,9606.ENSP00000215885,67.0,14.0
37,9606.ENSP00000364243,9606.ENSP00000215885,35.0,14.0
38,9606.ENSP00000364257,9606.ENSP00000215885,20.0,14.0
39,9606.ENSP00000243501,9606.ENSP00000215885,68.0,14.0
40,9606.ENSP00000383364,9606.ENSP00000215885,23.0,14.0
41,9606.ENSP00000302486,9606.ENSP00000221138,29.0,54.0
42,9606.ENSP00000256078,9606.ENSP00000221138,50.0,54.0
43,9606.ENSP00000263025,9606.ENSP00000221138,37.0,54.0
44,9606.ENSP00000340125,9606.ENSP00000221138,62.0,54.0
45,9606.ENSP00000288602,9606.ENSP00000221138,24.0,54.0
46,9606.ENSP00000251849,9606.ENSP00000221138,4.0,54.0
47,9606.ENSP00000290277,9606.ENSP00000221138,55.0,54.0
48,9606.ENSP00000407586,9606.ENSP00000221138,44.0,54.0
49,9606.ENSP00000358548,9606.ENSP00000221138,36.0,54.0
50,9606.ENSP00000428924,9606.ENSP00000221138,69.0,54.0
51,9606.ENSP00000262948,9606.ENSP00000221138,22.0,54.0
52,9606.ENSP00000383364,9606.ENSP00000243501,23.0,68.0
53,9606.ENSP00000364257,9606.ENSP00000243501,20.0,68.0
54,9606.ENSP00000364243,9606.ENSP00000243501,35.0,68.0
55,9606.ENSP00000364246,9606.ENSP00000243501,67.0,68.0
56,9606.ENSP00000312286,9606.ENSP00000243501,43.0,68.0
57,9606.ENSP00000364249,9606.ENSP00000243501,27.0,68.0
58,9606.ENSP00000362123,9606.ENSP00000247992,28.0,66.0
59,9606.ENSP00000363092,9606.ENSP00000251849,40.0,4.0
60,9606.ENSP00000305355,9606.ENSP00000251849,5.0,4.0
61,9606.ENSP00000268035,9606.ENSP00000251849,13.0,4.0
62,9606.ENSP00000263431,9606.ENSP00000251849,16.0,4.0
63,9606.ENSP00000408695,9606.ENSP00000251849,6.0,4.0
64,9606.ENSP00000290277,9606.ENSP00000251849,55.0,4.0
65,9606.ENSP00000311344,9606.ENSP00000251849,58.0,4.0
66,9606.ENSP00000302665,9606.ENSP00000251849,9.0,4.0
67,9606.ENSP00000324804,9606.ENSP00000251849,57.0,4.0
68,9606.ENSP00000264399,9606.ENSP00000251849,41.0,4.0
69,9606.ENSP00000428924,9606.ENSP00000251849,69.0,4.0
70,9606.ENSP00000263431,9606.ENSP00000256078,16.0,50.0
71,9606.ENSP00000408695,9606.ENSP00000256078,6.0,50.0
72,9606.ENSP00000268035,9606.ENSP00000256078,13.0,50.0
73,9606.ENSP00000305355,9606.ENSP00000256078,5.0,50.0
74,9606.ENSP00000312999,9606.ENSP00000256078,52.0,50.0
75,9606.ENSP00000324804,9606.ENSP00000256078,57.0,50.0
76,9606.ENSP00000418447,9606.ENSP00000256078,56.0,50.0
77,9606.ENSP00000358867,9606.ENSP00000256078,63.0,50.0
78,9606.ENSP00000264399,9606.ENSP00000256078,41.0,50.0
79,9606.ENSP00000343027,9606.ENSP00000256078,51.0,50.0
80,9606.ENSP00000286548,9606.ENSP00000256078,60.0,50.0
81,9606.ENSP00000477999,9606.ENSP00000256078,30.0,50.0
82,9606.ENSP00000311344,9606.ENSP00000256078,58.0,50.0
83,9606.ENSP00000338185,9606.ENSP00000260402,3.0,1.0
84,9606.ENSP00000408695,9606.ENSP00000260402,6.0,1.0
85,9606.ENSP00000443631,9606.ENSP00000260402,7.0,1.0
86,9606.ENSP00000370744,9606.ENSP00000260402,46.0,1.0
87,9606.ENSP00000363092,9606.ENSP00000260402,40.0,1.0
88,9606.ENSP00000305355,9606.ENSP00000260402,5.0,1.0
89,9606.ENSP00000363435,9606.ENSP00000260402,26.0,1.0
90,9606.ENSP00000306253,9606.ENSP00000260402,45.0,1.0
91,9606.ENSP00000312999,9606.ENSP00000260402,52.0,1.0
92,9606.ENSP00000358867,9606.ENSP00000260402,63.0,1.0
