,protein1,protein2,id1,id2
0,9606.ENSP00000261047,9606.ENSP00000230361,122.0,40.0
1,9606.ENSP00000251102,9606.ENSP00000230361,345.0,40.0
2,9606.ENSP00000377784,9606.ENSP00000230361,42.0,40.0
3,9606.ENSP00000359594,9606.ENSP00000234701,10.0,243.0
4,9606.ENSP00000359596,9606.ENSP00000234701,133.0,243.0
5,9606.ENSP00000369268,9606.ENSP00000251102,328.0,345.0
6,9606.ENSP00000377784,9606.ENSP00000251102,42.0,345.0
7,9606.ENSP00000261047,9606.ENSP00000251102,122.0,345.0
8,9606.ENSP00000379496,9606.ENSP00000254854,326.0,115.0
9,9606.ENSP00000377140,9606.ENSP00000254854,327.0,115.0
10,9606.ENSP00000381412,9606.ENSP00000260600,46.0,323.0
11,9606.ENSP00000379098,9606.ENSP00000260600,47.0,323.0
12,9606.ENSP00000379496,9606.ENSP00000260600,326.0,323.0
13,9606.ENSP00000309591,9606.ENSP00000260600,336.0,323.0
14,9606.ENSP00000366488,9606.ENSP00000260600,338.0,323.0
15,9606.ENSP00000339740,9606.ENSP00000260600,48.0,323.0
16,9606.ENSP00000359719,9606.ENSP00000260600,337.0,323.0
17,9606.ENSP00000377784,9606.ENSP00000261047,42.0,122.0
18,9606.ENSP00000363092,9606.ENSP00000264399,360.0,362.0
19,9606.ENSP00000334051,9606.ENSP00000284287,145.0,168.0
20,9606.ENSP00000379098,9606.ENSP00000304643,47.0,214.0
21,9606.ENSP00000339740,9606.ENSP00000304643,48.0,214.0
22,9606.ENSP00000315299,9606.ENSP00000304643,52.0,214.0
23,9606.ENSP00000369689,9606.ENSP00000304643,324.0,214.0
24,9606.ENSP00000334051,9606.ENSP00000305207,145.0,126.0
25,9606.ENSP00000334051,9606.ENSP00000307726,145.0,65.0
26,9606.ENSP00000317578,9606.ENSP00000308082,5.0,366.0
27,9606.ENSP00000366488,9606.ENSP00000309591,338.0,336.0
28,9606.ENSP00000334051,9606.ENSP00000310632,145.0,329.0
29,9606.ENSP00000334051,9606.ENSP00000311605,145.0,141.0
30,9606.ENSP00000369689,9606.ENSP00000315299,324.0,52.0
31,9606.ENSP00000359719,9606.ENSP00000315299,337.0,52.0
32,9606.ENSP00000339740,9606.ENSP00000315299,48.0,52.0
33,9606.ENSP00000334051,9606.ENSP00000318997,145.0,2.0
34,9606.ENSP00000379098,9606.ENSP00000319060,47.0,49.0
35,9606.ENSP00000381412,9606.ENSP00000319060,46.0,49.0
36,9606.ENSP00000334051,9606.ENSP00000319071,145.0,101.0
37,9606.ENSP00000334051,9606.ENSP00000321426,145.0,245.0
38,9606.ENSP00000334051,9606.ENSP00000321447,145.0,306.0
39,9606.ENSP00000334051,9606.ENSP00000331545,145.0,111.0
40,9606.ENSP00000334051,9606.ENSP00000333724,145.0,178.0
41,9606.ENSP00000335025,9606.ENSP00000334051,136.0,145.0
42,9606.ENSP00000451950,9606.ENSP00000334051,114.0,145.0
43,9606.ENSP00000384563,9606.ENSP00000334051,135.0,145.0
44,9606.ENSP00000459028,9606.ENSP00000334051,125.0,145.0
45,9606.ENSP00000352626,9606.ENSP00000334051,270.0,145.0
46,9606.ENSP00000380153,9606.ENSP00000334051,232.0,145.0
47,9606.ENSP00000367219,9606.ENSP00000334051,255.0,145.0
48,9606.ENSP00000448789,9606.ENSP00000334051,93.0,145.0
49,9606.ENSP00000334441,9606.ENSP00000334051,51.0,145.0
50,9606.ENSP00000366340,9606.ENSP00000334051,53.0,145.0
51,9606.ENSP00000355443,9606.ENSP00000334051,294.0,145.0
52,9606.ENSP00000485212,9606.ENSP00000334051,148.0,145.0
53,9606.ENSP00000349719,9606.ENSP00000334051,24.0,145.0
54,9606.ENSP00000485191,9606.ENSP00000334051,142.0,145.0
55,9606.ENSP00000359596,9606.ENSP00000359594,133.0,10.0
