,protein1,protein2,id1,id2
0,9606.ENSP00000369274,9606.ENSP00000164139,30.0,22.0
1,9606.ENSP00000216392,9606.ENSP00000164139,25.0,22.0
2,9606.ENSP00000455607,9606.ENSP00000164139,77.0,22.0
3,9606.ENSP00000261195,9606.ENSP00000164139,80.0,22.0
4,9606.ENSP00000317904,9606.ENSP00000164139,79.0,22.0
5,9606.ENSP00000313504,9606.ENSP00000164139,29.0,22.0
6,9606.ENSP00000216962,9606.ENSP00000164139,21.0,22.0
7,9606.ENSP00000340691,9606.ENSP00000215832,6.0,107.0
8,9606.ENSP00000378040,9606.ENSP00000215832,75.0,107.0
9,9606.ENSP00000263826,9606.ENSP00000215832,20.0,107.0
10,9606.ENSP00000346300,9606.ENSP00000215832,55.0,107.0
11,9606.ENSP00000368880,9606.ENSP00000215832,44.0,107.0
12,9606.ENSP00000290277,9606.ENSP00000215832,120.0,107.0
13,9606.ENSP00000265563,9606.ENSP00000215832,59.0,107.0
14,9606.ENSP00000378974,9606.ENSP00000215832,109.0,107.0
15,9606.ENSP00000385749,9606.ENSP00000215832,60.0,107.0
16,9606.ENSP00000367830,9606.ENSP00000215832,95.0,107.0
17,9606.ENSP00000365016,9606.ENSP00000215832,49.0,107.0
18,9606.ENSP00000359719,9606.ENSP00000215832,46.0,107.0
19,9606.ENSP00000451828,9606.ENSP00000215832,16.0,107.0
20,9606.ENSP00000304895,9606.ENSP00000215832,131.0,107.0
21,9606.ENSP00000225577,9606.ENSP00000215832,93.0,107.0
22,9606.ENSP00000344220,9606.ENSP00000215832,13.0,107.0
23,9606.ENSP00000376475,9606.ENSP00000215832,58.0,107.0
24,9606.ENSP00000309591,9606.ENSP00000215832,45.0,107.0
25,9606.ENSP00000265717,9606.ENSP00000215832,66.0,107.0
26,9606.ENSP00000366488,9606.ENSP00000215832,48.0,107.0
27,9606.ENSP00000375892,9606.ENSP00000215832,18.0,107.0
28,9606.ENSP00000308413,9606.ENSP00000215832,94.0,107.0
29,9606.ENSP00000298552,9606.ENSP00000215832,96.0,107.0
30,9606.ENSP00000387784,9606.ENSP00000216373,104.0,63.0
31,9606.ENSP00000264554,9606.ENSP00000216373,128.0,63.0
32,9606.ENSP00000358548,9606.ENSP00000216373,19.0,63.0
33,9606.ENSP00000364995,9606.ENSP00000216373,34.0,63.0
34,9606.ENSP00000329668,9606.ENSP00000216373,17.0,63.0
35,9606.ENSP00000369274,9606.ENSP00000216392,30.0,25.0
36,9606.ENSP00000317904,9606.ENSP00000216392,79.0,25.0
37,9606.ENSP00000261195,9606.ENSP00000216392,80.0,25.0
38,9606.ENSP00000313504,9606.ENSP00000216392,29.0,25.0
39,9606.ENSP00000362643,9606.ENSP00000216392,31.0,25.0
40,9606.ENSP00000319814,9606.ENSP00000216780,111.0,110.0
41,9606.ENSP00000253801,9606.ENSP00000216780,129.0,110.0
42,9606.ENSP00000408025,9606.ENSP00000216780,8.0,110.0
43,9606.ENSP00000362643,9606.ENSP00000216962,31.0,21.0
44,9606.ENSP00000445440,9606.ENSP00000216962,74.0,21.0
45,9606.ENSP00000313504,9606.ENSP00000216962,29.0,21.0
46,9606.ENSP00000261195,9606.ENSP00000216962,80.0,21.0
47,9606.ENSP00000455607,9606.ENSP00000216962,77.0,21.0
48,9606.ENSP00000317904,9606.ENSP00000216962,79.0,21.0
49,9606.ENSP00000369274,9606.ENSP00000216962,30.0,21.0
50,9606.ENSP00000308413,9606.ENSP00000219476,94.0,67.0
51,9606.ENSP00000254101,9606.ENSP00000219476,37.0,67.0
52,9606.ENSP00000323867,9606.ENSP00000219476,57.0,67.0
53,9606.ENSP00000407586,9606.ENSP00000219476,108.0,67.0
54,9606.ENSP00000369757,9606.ENSP00000219476,105.0,67.0
55,9606.ENSP00000263967,9606.ENSP00000219476,125.0,67.0
56,9606.ENSP00000360290,9606.ENSP00000219476,40.0,67.0
57,9606.ENSP00000397133,9606.ENSP00000219476,88.0,67.0
58,9606.ENSP00000287878,9606.ENSP00000219476,7.0,67.0
59,9606.ENSP00000368880,9606.ENSP00000219476,44.0,67.0
60,9606.ENSP00000340691,9606.ENSP00000219476,6.0,67.0
61,9606.ENSP00000430684,9606.ENSP00000219476,14.0,67.0
62,9606.ENSP00000225577,9606.ENSP00000219476,93.0,67.0
63,9606.ENSP00000304895,9606.ENSP00000219476,131.0,67.0
64,9606.ENSP00000344220,9606.ENSP00000219476,13.0,67.0
65,9606.ENSP00000401303,9606.ENSP00000222254,65.0,135.0
66,9606.ENSP00000263826,9606.ENSP00000222254,20.0,135.0
67,9606.ENSP00000358548,9606.ENSP00000222254,19.0,135.0
68,9606.ENSP00000256078,9606.ENSP00000222254,33.0,135.0
69,9606.ENSP00000346300,9606.ENSP00000222254,55.0,135.0
70,9606.ENSP00000361202,9606.ENSP00000222254,133.0,135.0
71,9606.ENSP00000405338,9606.ENSP00000222254,81.0,135.0
72,9606.ENSP00000451828,9606.ENSP00000222254,16.0,135.0
73,9606.ENSP00000387784,9606.ENSP00000222254,104.0,135.0
74,9606.ENSP00000329418,9606.ENSP00000222254,35.0,135.0
75,9606.ENSP00000344220,9606.ENSP00000222254,13.0,135.0
76,9606.ENSP00000367830,9606.ENSP00000222254,95.0,135.0
77,9606.ENSP00000392812,9606.ENSP00000222254,27.0,135.0
78,9606.ENSP00000365016,9606.ENSP00000222254,49.0,135.0
79,9606.ENSP00000300574,9606.ENSP00000222254,53.0,135.0
80,9606.ENSP00000376345,9606.ENSP00000222254,97.0,135.0
81,9606.ENSP00000303830,9606.ENSP00000222254,103.0,135.0
82,9606.ENSP00000407586,9606.ENSP00000222254,108.0,135.0
83,9606.ENSP00000354558,9606.ENSP00000222254,70.0,135.0
84,9606.ENSP00000264122,9606.ENSP00000222254,113.0,135.0
85,9606.ENSP00000375892,9606.ENSP00000222254,18.0,135.0
86,9606.ENSP00000251849,9606.ENSP00000222254,64.0,135.0
87,9606.ENSP00000364512,9606.ENSP00000223366,47.0,0.0
88,9606.ENSP00000368880,9606.ENSP00000223366,44.0,0.0
89,9606.ENSP00000365016,9606.ENSP00000223366,49.0,0.0
90,9606.ENSP00000339933,9606.ENSP00000223366,102.0,0.0
91,9606.ENSP00000292432,9606.ENSP00000223366,83.0,0.0
92,9606.ENSP00000380432,9606.ENSP00000223366,76.0,0.0
93,9606.ENSP00000402103,9606.ENSP00000223366,10.0,0.0
94,9606.ENSP00000290573,9606.ENSP00000223366,9.0,0.0
95,9606.ENSP00000303830,9606.ENSP00000225577,103.0,93.0
96,9606.ENSP00000298552,9606.ENSP00000225577,96.0,93.0
97,9606.ENSP00000300574,9606.ENSP00000225577,53.0,93.0
98,9606.ENSP00000308413,9606.ENSP00000225577,94.0,93.0
99,9606.ENSP00000366488,9606.ENSP00000225577,48.0,93.0
100,9606.ENSP00000375892,9606.ENSP00000225577,18.0,93.0
101,9606.ENSP00000309591,9606.ENSP00000225577,45.0,93.0
102,9606.ENSP00000324806,9606.ENSP00000225577,112.0,93.0
103,9606.ENSP00000263025,9606.ENSP00000225577,101.0,93.0
104,9606.ENSP00000376345,9606.ENSP00000225577,97.0,93.0
