,protein1,protein2,id1,id2
0,9606.ENSP00000268097,9606.ENSP00000218516,13.0,2.0
1,9606.ENSP00000261416,9606.ENSP00000218516,9.0,2.0
2,9606.ENSP00000376532,9606.ENSP00000218516,12.0,2.0
3,9606.ENSP00000384794,9606.ENSP00000218516,0.0,2.0
4,9606.ENSP00000376532,9606.ENSP00000261416,12.0,9.0
5,9606.ENSP00000379680,9606.ENSP00000261416,10.0,9.0
6,9606.ENSP00000361110,9606.ENSP00000261416,5.0,9.0
7,9606.ENSP00000379353,9606.ENSP00000261416,11.0,9.0
8,9606.ENSP00000384794,9606.ENSP00000261416,0.0,9.0
9,9606.ENSP00000381699,9606.ENSP00000261416,1.0,9.0
10,9606.ENSP00000381699,9606.ENSP00000268097,1.0,13.0
11,9606.ENSP00000384794,9606.ENSP00000268097,0.0,13.0
12,9606.ENSP00000379353,9606.ENSP00000268097,11.0,13.0
13,9606.ENSP00000361110,9606.ENSP00000268097,5.0,13.0
14,9606.ENSP00000376532,9606.ENSP00000268097,12.0,13.0
15,9606.ENSP00000377257,9606.ENSP00000312021,4.0,8.0
16,9606.ENSP00000428540,9606.ENSP00000312021,6.0,8.0
17,9606.ENSP00000387498,9606.ENSP00000312021,7.0,8.0
18,9606.ENSP00000379680,9606.ENSP00000361110,10.0,5.0
19,9606.ENSP00000381699,9606.ENSP00000361110,1.0,5.0
20,9606.ENSP00000379680,9606.ENSP00000376532,10.0,12.0
21,9606.ENSP00000381699,9606.ENSP00000376532,1.0,12.0
22,9606.ENSP00000428540,9606.ENSP00000377257,6.0,4.0
23,9606.ENSP00000379353,9606.ENSP00000377257,11.0,4.0
24,9606.ENSP00000381699,9606.ENSP00000377257,1.0,4.0
25,9606.ENSP00000387498,9606.ENSP00000377257,7.0,4.0
26,9606.ENSP00000428540,9606.ENSP00000379353,6.0,11.0
27,9606.ENSP00000381699,9606.ENSP00000379680,1.0,10.0
28,9606.ENSP00000387498,9606.ENSP00000381699,7.0,1.0
29,9606.ENSP00000428540,9606.ENSP00000381699,6.0,1.0
30,9606.ENSP00000428540,9606.ENSP00000387498,6.0,7.0
