,protein1,protein2,id1,id2
0,9606.ENSP00000229030,9606.ENSP00000005340,94.0,67.0
1,9606.ENSP00000287934,9606.ENSP00000005340,4.0,67.0
2,9606.ENSP00000293549,9606.ENSP00000005340,82.0,67.0
3,9606.ENSP00000286548,9606.ENSP00000005340,38.0,67.0
4,9606.ENSP00000290167,9606.ENSP00000005340,75.0,67.0
5,9606.ENSP00000325526,9606.ENSP00000005340,18.0,67.0
6,9606.ENSP00000437489,9606.ENSP00000005340,71.0,67.0
7,9606.ENSP00000345785,9606.ENSP00000005340,12.0,67.0
8,9606.ENSP00000408695,9606.ENSP00000005340,57.0,67.0
9,9606.ENSP00000340677,9606.ENSP00000005340,88.0,67.0
10,9606.ENSP00000263431,9606.ENSP00000005340,63.0,67.0
11,9606.ENSP00000380379,9606.ENSP00000005340,32.0,67.0
12,9606.ENSP00000305355,9606.ENSP00000005340,54.0,67.0
13,9606.ENSP00000426653,9606.ENSP00000005340,87.0,67.0
14,9606.ENSP00000357596,9606.ENSP00000078445,60.0,31.0
15,9606.ENSP00000324806,9606.ENSP00000078445,84.0,31.0
16,9606.ENSP00000262367,9606.ENSP00000078445,9.0,31.0
17,9606.ENSP00000387699,9606.ENSP00000078445,16.0,31.0
18,9606.ENSP00000481956,9606.ENSP00000078445,3.0,31.0
19,9606.ENSP00000342136,9606.ENSP00000078445,10.0,31.0
20,9606.ENSP00000329140,9606.ENSP00000078445,95.0,31.0
21,9606.ENSP00000263253,9606.ENSP00000078445,83.0,31.0
22,9606.ENSP00000312999,9606.ENSP00000215832,26.0,79.0
23,9606.ENSP00000343027,9606.ENSP00000215832,25.0,79.0
24,9606.ENSP00000262494,9606.ENSP00000215832,44.0,79.0
25,9606.ENSP00000358867,9606.ENSP00000215832,42.0,79.0
26,9606.ENSP00000263253,9606.ENSP00000215832,83.0,79.0
27,9606.ENSP00000359719,9606.ENSP00000215832,39.0,79.0
28,9606.ENSP00000263431,9606.ENSP00000215832,63.0,79.0
29,9606.ENSP00000295600,9606.ENSP00000215832,98.0,79.0
30,9606.ENSP00000408695,9606.ENSP00000215832,57.0,79.0
31,9606.ENSP00000309591,9606.ENSP00000215832,37.0,79.0
32,9606.ENSP00000305355,9606.ENSP00000215832,54.0,79.0
33,9606.ENSP00000368683,9606.ENSP00000215832,19.0,79.0
34,9606.ENSP00000366488,9606.ENSP00000215832,40.0,79.0
35,9606.ENSP00000426653,9606.ENSP00000222462,87.0,43.0
36,9606.ENSP00000325526,9606.ENSP00000222462,18.0,43.0
37,9606.ENSP00000341032,9606.ENSP00000222462,86.0,43.0
38,9606.ENSP00000434034,9606.ENSP00000222462,5.0,43.0
39,9606.ENSP00000285018,9606.ENSP00000222462,85.0,43.0
40,9606.ENSP00000344456,9606.ENSP00000222462,92.0,43.0
41,9606.ENSP00000358698,9606.ENSP00000222462,17.0,43.0
42,9606.ENSP00000290167,9606.ENSP00000222462,75.0,43.0
