,protein1,protein2,id1,id2
0,9606.ENSP00000356694,9606.ENSP00000216341,37.0,38.0
1,9606.ENSP00000226730,9606.ENSP00000216341,21.0,38.0
2,9606.ENSP00000332049,9606.ENSP00000216341,5.0,38.0
3,9606.ENSP00000324890,9606.ENSP00000216341,6.0,38.0
4,9606.ENSP00000398698,9606.ENSP00000216341,7.0,38.0
5,9606.ENSP00000229135,9606.ENSP00000216341,9.0,38.0
6,9606.ENSP00000347979,9606.ENSP00000226730,36.0,21.0
7,9606.ENSP00000398698,9606.ENSP00000226730,7.0,21.0
8,9606.ENSP00000332049,9606.ENSP00000226730,5.0,21.0
9,9606.ENSP00000356694,9606.ENSP00000226730,37.0,21.0
10,9606.ENSP00000324890,9606.ENSP00000226730,6.0,21.0
11,9606.ENSP00000263341,9606.ENSP00000226730,14.0,21.0
12,9606.ENSP00000229135,9606.ENSP00000226730,9.0,21.0
13,9606.ENSP00000264246,9606.ENSP00000226730,4.0,21.0
14,9606.ENSP00000263339,9606.ENSP00000226730,33.0,21.0
15,9606.ENSP00000398568,9606.ENSP00000226730,35.0,21.0
16,9606.ENSP00000403495,9606.ENSP00000226730,1.0,21.0
17,9606.ENSP00000324890,9606.ENSP00000229135,6.0,9.0
18,9606.ENSP00000332049,9606.ENSP00000229135,5.0,9.0
19,9606.ENSP00000398698,9606.ENSP00000229135,7.0,9.0
20,9606.ENSP00000403495,9606.ENSP00000229135,1.0,9.0
21,9606.ENSP00000398568,9606.ENSP00000229135,35.0,9.0
22,9606.ENSP00000263339,9606.ENSP00000229135,33.0,9.0
23,9606.ENSP00000264246,9606.ENSP00000229135,4.0,9.0
24,9606.ENSP00000263341,9606.ENSP00000229135,14.0,9.0
25,9606.ENSP00000378786,9606.ENSP00000229829,40.0,2.0
26,9606.ENSP00000353099,9606.ENSP00000229829,39.0,2.0
27,9606.ENSP00000393566,9606.ENSP00000229829,22.0,2.0
28,9606.ENSP00000399168,9606.ENSP00000229829,12.0,2.0
29,9606.ENSP00000259951,9606.ENSP00000229829,18.0,2.0
30,9606.ENSP00000365402,9606.ENSP00000229829,11.0,2.0
31,9606.ENSP00000379873,9606.ENSP00000229829,20.0,2.0
32,9606.ENSP00000365817,9606.ENSP00000229829,19.0,2.0
33,9606.ENSP00000364080,9606.ENSP00000229829,31.0,2.0
34,9606.ENSP00000364114,9606.ENSP00000229829,0.0,2.0
35,9606.ENSP00000408146,9606.ENSP00000229829,24.0,2.0
36,9606.ENSP00000390020,9606.ENSP00000229829,3.0,2.0
37,9606.ENSP00000412927,9606.ENSP00000229829,27.0,2.0
38,9606.ENSP00000398698,9606.ENSP00000231228,7.0,23.0
39,9606.ENSP00000263341,9606.ENSP00000231228,14.0,23.0
40,9606.ENSP00000399168,9606.ENSP00000259951,12.0,18.0
41,9606.ENSP00000378786,9606.ENSP00000259951,40.0,18.0
42,9606.ENSP00000393566,9606.ENSP00000259951,22.0,18.0
43,9606.ENSP00000353099,9606.ENSP00000259951,39.0,18.0
44,9606.ENSP00000398890,9606.ENSP00000259951,15.0,18.0
45,9606.ENSP00000364114,9606.ENSP00000259951,0.0,18.0
46,9606.ENSP00000364080,9606.ENSP00000259951,31.0,18.0
47,9606.ENSP00000412927,9606.ENSP00000259951,27.0,18.0
48,9606.ENSP00000390020,9606.ENSP00000259951,3.0,18.0
