,protein1,protein2,id1,id2
0,9606.ENSP00000257555,9606.ENSP00000223366,12.0,2.0
1,9606.ENSP00000339933,9606.ENSP00000223366,24.0,2.0
2,9606.ENSP00000380432,9606.ENSP00000223366,18.0,2.0
3,9606.ENSP00000242462,9606.ENSP00000232424,1.0,4.0
4,9606.ENSP00000400341,9606.ENSP00000242462,19.0,1.0
5,9606.ENSP00000370421,9606.ENSP00000242462,21.0,1.0
6,9606.ENSP00000295886,9606.ENSP00000242462,11.0,1.0
7,9606.ENSP00000328364,9606.ENSP00000242462,5.0,1.0
8,9606.ENSP00000323568,9606.ENSP00000242462,7.0,1.0
9,9606.ENSP00000404100,9606.ENSP00000242462,6.0,1.0
10,9606.ENSP00000380432,9606.ENSP00000242462,18.0,1.0
11,9606.ENSP00000295108,9606.ENSP00000242462,17.0,1.0
12,9606.ENSP00000379701,9606.ENSP00000257555,10.0,12.0
13,9606.ENSP00000339933,9606.ENSP00000257555,24.0,12.0
14,9606.ENSP00000302630,9606.ENSP00000257555,16.0,12.0
15,9606.ENSP00000400341,9606.ENSP00000295108,19.0,17.0
16,9606.ENSP00000370421,9606.ENSP00000295108,21.0,17.0
17,9606.ENSP00000323568,9606.ENSP00000295108,7.0,17.0
18,9606.ENSP00000328364,9606.ENSP00000295108,5.0,17.0
19,9606.ENSP00000295886,9606.ENSP00000295108,11.0,17.0
20,9606.ENSP00000404100,9606.ENSP00000295108,6.0,17.0
21,9606.ENSP00000380432,9606.ENSP00000295108,18.0,17.0
22,9606.ENSP00000366347,9606.ENSP00000295108,15.0,17.0
23,9606.ENSP00000400341,9606.ENSP00000295886,19.0,11.0
24,9606.ENSP00000370421,9606.ENSP00000295886,21.0,11.0
25,9606.ENSP00000323568,9606.ENSP00000295886,7.0,11.0
26,9606.ENSP00000302630,9606.ENSP00000295886,16.0,11.0
27,9606.ENSP00000380432,9606.ENSP00000295886,18.0,11.0
28,9606.ENSP00000400341,9606.ENSP00000302630,19.0,16.0
29,9606.ENSP00000312987,9606.ENSP00000302630,14.0,16.0
30,9606.ENSP00000356331,9606.ENSP00000302630,23.0,16.0
31,9606.ENSP00000312987,9606.ENSP00000304004,14.0,13.0
32,9606.ENSP00000480291,9606.ENSP00000312987,9.0,14.0
33,9606.ENSP00000400341,9606.ENSP00000312987,19.0,14.0
34,9606.ENSP00000380432,9606.ENSP00000323568,18.0,7.0
35,9606.ENSP00000370421,9606.ENSP00000323568,21.0,7.0
36,9606.ENSP00000370421,9606.ENSP00000356331,21.0,23.0
37,9606.ENSP00000404100,9606.ENSP00000366347,6.0,15.0
38,9606.ENSP00000400341,9606.ENSP00000366347,19.0,15.0
39,9606.ENSP00000404100,9606.ENSP00000370421,6.0,21.0
40,9606.ENSP00000404100,9606.ENSP00000400341,6.0,19.0
