,protein1,protein2,id1,id2
0,9606.ENSP00000302665,9606.ENSP00000215832,8.0,41.0
1,9606.ENSP00000340989,9606.ENSP00000215832,1.0,41.0
2,9606.ENSP00000445306,9606.ENSP00000215832,25.0,41.0
3,9606.ENSP00000365016,9606.ENSP00000215832,26.0,41.0
4,9606.ENSP00000263431,9606.ENSP00000215832,19.0,41.0
5,9606.ENSP00000304895,9606.ENSP00000215832,33.0,41.0
6,9606.ENSP00000344220,9606.ENSP00000215832,24.0,41.0
7,9606.ENSP00000408695,9606.ENSP00000215832,4.0,41.0
8,9606.ENSP00000305355,9606.ENSP00000215832,3.0,41.0
9,9606.ENSP00000292079,9606.ENSP00000218008,7.0,35.0
10,9606.ENSP00000357060,9606.ENSP00000218008,15.0,35.0
11,9606.ENSP00000445306,9606.ENSP00000218008,25.0,35.0
12,9606.ENSP00000354490,9606.ENSP00000218008,28.0,35.0
13,9606.ENSP00000444688,9606.ENSP00000218008,27.0,35.0
14,9606.ENSP00000356790,9606.ENSP00000218008,16.0,35.0
15,9606.ENSP00000250111,9606.ENSP00000218008,12.0,35.0
16,9606.ENSP00000286371,9606.ENSP00000218008,14.0,35.0
17,9606.ENSP00000256078,9606.ENSP00000222254,6.0,40.0
18,9606.ENSP00000361202,9606.ENSP00000222254,38.0,40.0
19,9606.ENSP00000344220,9606.ENSP00000222254,24.0,40.0
20,9606.ENSP00000392812,9606.ENSP00000222254,0.0,40.0
21,9606.ENSP00000365016,9606.ENSP00000222254,26.0,40.0
22,9606.ENSP00000303830,9606.ENSP00000222254,36.0,40.0
23,9606.ENSP00000357060,9606.ENSP00000250111,15.0,12.0
24,9606.ENSP00000292079,9606.ENSP00000250111,7.0,12.0
25,9606.ENSP00000286371,9606.ENSP00000250111,14.0,12.0
26,9606.ENSP00000444688,9606.ENSP00000250111,27.0,12.0
27,9606.ENSP00000356790,9606.ENSP00000250111,16.0,12.0
28,9606.ENSP00000304895,9606.ENSP00000256078,33.0,6.0
29,9606.ENSP00000344220,9606.ENSP00000256078,24.0,6.0
30,9606.ENSP00000263431,9606.ENSP00000256078,19.0,6.0
31,9606.ENSP00000366563,9606.ENSP00000256078,31.0,6.0
32,9606.ENSP00000408695,9606.ENSP00000256078,4.0,6.0
33,9606.ENSP00000305355,9606.ENSP00000256078,3.0,6.0
34,9606.ENSP00000392812,9606.ENSP00000256078,0.0,6.0
35,9606.ENSP00000340989,9606.ENSP00000256078,1.0,6.0
36,9606.ENSP00000262741,9606.ENSP00000256078,20.0,6.0
37,9606.ENSP00000365016,9606.ENSP00000256078,26.0,6.0
38,9606.ENSP00000428056,9606.ENSP00000256078,39.0,6.0
39,9606.ENSP00000392812,9606.ENSP00000262741,0.0,20.0
40,9606.ENSP00000428056,9606.ENSP00000262741,39.0,20.0
41,9606.ENSP00000365016,9606.ENSP00000262741,26.0,20.0
42,9606.ENSP00000303830,9606.ENSP00000262741,36.0,20.0
43,9606.ENSP00000361202,9606.ENSP00000262741,38.0,20.0
44,9606.ENSP00000344220,9606.ENSP00000262741,24.0,20.0
45,9606.ENSP00000340989,9606.ENSP00000263025,1.0,32.0
46,9606.ENSP00000445306,9606.ENSP00000263025,25.0,32.0
47,9606.ENSP00000365016,9606.ENSP00000263025,26.0,32.0
48,9606.ENSP00000408695,9606.ENSP00000263025,4.0,32.0
49,9606.ENSP00000263431,9606.ENSP00000263025,19.0,32.0
50,9606.ENSP00000380432,9606.ENSP00000263025,18.0,32.0
51,9606.ENSP00000305355,9606.ENSP00000263025,3.0,32.0
52,9606.ENSP00000408695,9606.ENSP00000263431,4.0,19.0
53,9606.ENSP00000305355,9606.ENSP00000263431,3.0,19.0
54,9606.ENSP00000289153,9606.ENSP00000263967,30.0,29.0
55,9606.ENSP00000302665,9606.ENSP00000263967,8.0,29.0
56,9606.ENSP00000352121,9606.ENSP00000263967,37.0,29.0
57,9606.ENSP00000366563,9606.ENSP00000263967,31.0,29.0
58,9606.ENSP00000356832,9606.ENSP00000263967,34.0,29.0
59,9606.ENSP00000361202,9606.ENSP00000263967,38.0,29.0
60,9606.ENSP00000303830,9606.ENSP00000263967,36.0,29.0
61,9606.ENSP00000392812,9606.ENSP00000263967,0.0,29.0
62,9606.ENSP00000292079,9606.ENSP00000286371,7.0,14.0
63,9606.ENSP00000354490,9606.ENSP00000286371,28.0,14.0
64,9606.ENSP00000357060,9606.ENSP00000286371,15.0,14.0
65,9606.ENSP00000356790,9606.ENSP00000286371,16.0,14.0
66,9606.ENSP00000344220,9606.ENSP00000289153,24.0,30.0
67,9606.ENSP00000361202,9606.ENSP00000289153,38.0,30.0
68,9606.ENSP00000366563,9606.ENSP00000289153,31.0,30.0
69,9606.ENSP00000303830,9606.ENSP00000289153,36.0,30.0
