,protein1,protein2,id1,id2
0,9606.ENSP00000366549,9606.ENSP00000261416,7.0,10.0
1,9606.ENSP00000379353,9606.ENSP00000261416,11.0,10.0
2,9606.ENSP00000390784,9606.ENSP00000261416,12.0,10.0
3,9606.ENSP00000341562,9606.ENSP00000261416,3.0,10.0
4,9606.ENSP00000341562,9606.ENSP00000268097,3.0,14.0
5,9606.ENSP00000390784,9606.ENSP00000268097,12.0,14.0
6,9606.ENSP00000379353,9606.ENSP00000268097,11.0,14.0
7,9606.ENSP00000366549,9606.ENSP00000268097,7.0,14.0
8,9606.ENSP00000428540,9606.ENSP00000306920,9.0,4.0
9,9606.ENSP00000366549,9606.ENSP00000306920,7.0,4.0
10,9606.ENSP00000341562,9606.ENSP00000306920,3.0,4.0
11,9606.ENSP00000390784,9606.ENSP00000306920,12.0,4.0
12,9606.ENSP00000377257,9606.ENSP00000306920,8.0,4.0
13,9606.ENSP00000362235,9606.ENSP00000321343,2.0,13.0
14,9606.ENSP00000376587,9606.ENSP00000321343,6.0,13.0
15,9606.ENSP00000329214,9606.ENSP00000321343,1.0,13.0
16,9606.ENSP00000336733,9606.ENSP00000321343,0.0,13.0
17,9606.ENSP00000377257,9606.ENSP00000321343,8.0,13.0
18,9606.ENSP00000379353,9606.ENSP00000321343,11.0,13.0
19,9606.ENSP00000428540,9606.ENSP00000321343,9.0,13.0
20,9606.ENSP00000341562,9606.ENSP00000321343,3.0,13.0
21,9606.ENSP00000377257,9606.ENSP00000329214,8.0,1.0
22,9606.ENSP00000428540,9606.ENSP00000329214,9.0,1.0
23,9606.ENSP00000428540,9606.ENSP00000336733,9.0,0.0
24,9606.ENSP00000377257,9606.ENSP00000336733,8.0,0.0
25,9606.ENSP00000377257,9606.ENSP00000341562,8.0,3.0
26,9606.ENSP00000376587,9606.ENSP00000341562,6.0,3.0
27,9606.ENSP00000428540,9606.ENSP00000362235,9.0,2.0
28,9606.ENSP00000377257,9606.ENSP00000362235,8.0,2.0
29,9606.ENSP00000379353,9606.ENSP00000376587,11.0,6.0
30,9606.ENSP00000428540,9606.ENSP00000377257,9.0,8.0
31,9606.ENSP00000379353,9606.ENSP00000377257,11.0,8.0
32,9606.ENSP00000417583,9606.ENSP00000377257,5.0,8.0
33,9606.ENSP00000428540,9606.ENSP00000379353,9.0,11.0
34,9606.ENSP00000428540,9606.ENSP00000390784,9.0,12.0
35,9606.ENSP00000428540,9606.ENSP00000417583,9.0,5.0
