,protein1,protein2,id1,id2
0,9606.ENSP00000349960,9606.ENSP00000003084,36.0,16.0
1,9606.ENSP00000366488,9606.ENSP00000003084,41.0,16.0
2,9606.ENSP00000243253,9606.ENSP00000003084,51.0,16.0
3,9606.ENSP00000309591,9606.ENSP00000003084,39.0,16.0
4,9606.ENSP00000281537,9606.ENSP00000003084,37.0,16.0
5,9606.ENSP00000359719,9606.ENSP00000003084,40.0,16.0
6,9606.ENSP00000262461,9606.ENSP00000003084,4.0,16.0
7,9606.ENSP00000260600,9606.ENSP00000155840,32.0,22.0
8,9606.ENSP00000262461,9606.ENSP00000155840,4.0,22.0
9,9606.ENSP00000359719,9606.ENSP00000155840,40.0,22.0
10,9606.ENSP00000309591,9606.ENSP00000155840,39.0,22.0
11,9606.ENSP00000294016,9606.ENSP00000155840,2.0,22.0
12,9606.ENSP00000366488,9606.ENSP00000155840,41.0,22.0
13,9606.ENSP00000286091,9606.ENSP00000216442,1.0,43.0
14,9606.ENSP00000429690,9606.ENSP00000234396,34.0,50.0
15,9606.ENSP00000329471,9606.ENSP00000243253,31.0,51.0
16,9606.ENSP00000286091,9606.ENSP00000243253,1.0,51.0
17,9606.ENSP00000298428,9606.ENSP00000243253,44.0,51.0
18,9606.ENSP00000305355,9606.ENSP00000244007,3.0,46.0
19,9606.ENSP00000482457,9606.ENSP00000244007,47.0,46.0
20,9606.ENSP00000408695,9606.ENSP00000244007,6.0,46.0
21,9606.ENSP00000263431,9606.ENSP00000244007,15.0,46.0
22,9606.ENSP00000304891,9606.ENSP00000253413,29.0,48.0
23,9606.ENSP00000329471,9606.ENSP00000258739,31.0,11.0
24,9606.ENSP00000440005,9606.ENSP00000258739,23.0,11.0
25,9606.ENSP00000386918,9606.ENSP00000258739,8.0,11.0
26,9606.ENSP00000309591,9606.ENSP00000260600,39.0,32.0
27,9606.ENSP00000294016,9606.ENSP00000260600,2.0,32.0
28,9606.ENSP00000366488,9606.ENSP00000260600,41.0,32.0
29,9606.ENSP00000262461,9606.ENSP00000260600,4.0,32.0
30,9606.ENSP00000359719,9606.ENSP00000260600,40.0,32.0
31,9606.ENSP00000359719,9606.ENSP00000262461,40.0,4.0
32,9606.ENSP00000309591,9606.ENSP00000262461,39.0,4.0
33,9606.ENSP00000294016,9606.ENSP00000262461,2.0,4.0
34,9606.ENSP00000366488,9606.ENSP00000262461,41.0,4.0
35,9606.ENSP00000358777,9606.ENSP00000263431,14.0,15.0
36,9606.ENSP00000408695,9606.ENSP00000263431,6.0,15.0
37,9606.ENSP00000482457,9606.ENSP00000263431,47.0,15.0
38,9606.ENSP00000305355,9606.ENSP00000263431,3.0,15.0
39,9606.ENSP00000308122,9606.ENSP00000264649,19.0,9.0
40,9606.ENSP00000265686,9606.ENSP00000264649,38.0,9.0
41,9606.ENSP00000332247,9606.ENSP00000264649,20.0,9.0
42,9606.ENSP00000281087,9606.ENSP00000264649,13.0,9.0
43,9606.ENSP00000379203,9606.ENSP00000265686,52.0,38.0
44,9606.ENSP00000429690,9606.ENSP00000265686,34.0,38.0
45,9606.ENSP00000308122,9606.ENSP00000265686,19.0,38.0
46,9606.ENSP00000363162,9606.ENSP00000265686,0.0,38.0
47,9606.ENSP00000358777,9606.ENSP00000265686,14.0,38.0
