,protein1,protein2,id1,id2
0,9606.ENSP00000356505,9606.ENSP00000211287,18.0,20.0
1,9606.ENSP00000333685,9606.ENSP00000211287,16.0,20.0
2,9606.ENSP00000215659,9606.ENSP00000211287,42.0,20.0
3,9606.ENSP00000483056,9606.ENSP00000211287,5.0,20.0
4,9606.ENSP00000216160,9606.ENSP00000211287,62.0,20.0
5,9606.ENSP00000229795,9606.ENSP00000211287,41.0,20.0
6,9606.ENSP00000306245,9606.ENSP00000211287,65.0,20.0
7,9606.ENSP00000215832,9606.ENSP00000211287,39.0,20.0
8,9606.ENSP00000360266,9606.ENSP00000211287,0.0,20.0
9,9606.ENSP00000263025,9606.ENSP00000211287,30.0,20.0
10,9606.ENSP00000354394,9606.ENSP00000211287,4.0,20.0
11,9606.ENSP00000358335,9606.ENSP00000211287,23.0,20.0
12,9606.ENSP00000483056,9606.ENSP00000215659,5.0,42.0
13,9606.ENSP00000356426,9606.ENSP00000215659,50.0,42.0
14,9606.ENSP00000216160,9606.ENSP00000215659,62.0,42.0
15,9606.ENSP00000356505,9606.ENSP00000215659,18.0,42.0
16,9606.ENSP00000333685,9606.ENSP00000215659,16.0,42.0
17,9606.ENSP00000263025,9606.ENSP00000215659,30.0,42.0
18,9606.ENSP00000360266,9606.ENSP00000215659,0.0,42.0
19,9606.ENSP00000354394,9606.ENSP00000215659,4.0,42.0
20,9606.ENSP00000358335,9606.ENSP00000215659,23.0,42.0
21,9606.ENSP00000229795,9606.ENSP00000215659,41.0,42.0
22,9606.ENSP00000306245,9606.ENSP00000215659,65.0,42.0
23,9606.ENSP00000215832,9606.ENSP00000215659,39.0,42.0
24,9606.ENSP00000221930,9606.ENSP00000215832,47.0,39.0
25,9606.ENSP00000391592,9606.ENSP00000215832,13.0,39.0
26,9606.ENSP00000289473,9606.ENSP00000215832,60.0,39.0
27,9606.ENSP00000216797,9606.ENSP00000215832,36.0,39.0
28,9606.ENSP00000384273,9606.ENSP00000215832,43.0,39.0
29,9606.ENSP00000226574,9606.ENSP00000215832,32.0,39.0
30,9606.ENSP00000358335,9606.ENSP00000215832,23.0,39.0
31,9606.ENSP00000371067,9606.ENSP00000215832,26.0,39.0
32,9606.ENSP00000380334,9606.ENSP00000215832,17.0,39.0
33,9606.ENSP00000343204,9606.ENSP00000215832,25.0,39.0
34,9606.ENSP00000356505,9606.ENSP00000215832,18.0,39.0
35,9606.ENSP00000333685,9606.ENSP00000215832,16.0,39.0
36,9606.ENSP00000305355,9606.ENSP00000215832,3.0,39.0
37,9606.ENSP00000384273,9606.ENSP00000216160,43.0,62.0
38,9606.ENSP00000226574,9606.ENSP00000216160,32.0,62.0
39,9606.ENSP00000216797,9606.ENSP00000216160,36.0,62.0
40,9606.ENSP00000221930,9606.ENSP00000216160,47.0,62.0
41,9606.ENSP00000263339,9606.ENSP00000216160,24.0,62.0
42,9606.ENSP00000363089,9606.ENSP00000216160,61.0,62.0
43,9606.ENSP00000390651,9606.ENSP00000216160,14.0,62.0
44,9606.ENSP00000355896,9606.ENSP00000216160,46.0,62.0
45,9606.ENSP00000356426,9606.ENSP00000216797,50.0,36.0
46,9606.ENSP00000263341,9606.ENSP00000216797,51.0,36.0
47,9606.ENSP00000305355,9606.ENSP00000216797,3.0,36.0
48,9606.ENSP00000363089,9606.ENSP00000216797,61.0,36.0
49,9606.ENSP00000356438,9606.ENSP00000216797,19.0,36.0
50,9606.ENSP00000390651,9606.ENSP00000216797,14.0,36.0
51,9606.ENSP00000412237,9606.ENSP00000216797,34.0,36.0
52,9606.ENSP00000231228,9606.ENSP00000216797,15.0,36.0
53,9606.ENSP00000358335,9606.ENSP00000216797,23.0,36.0
54,9606.ENSP00000354394,9606.ENSP00000216797,4.0,36.0
55,9606.ENSP00000260010,9606.ENSP00000216797,64.0,36.0
56,9606.ENSP00000379350,9606.ENSP00000221930,27.0,47.0
57,9606.ENSP00000356426,9606.ENSP00000221930,50.0,47.0
58,9606.ENSP00000229135,9606.ENSP00000221930,48.0,47.0
59,9606.ENSP00000238682,9606.ENSP00000221930,53.0,47.0
60,9606.ENSP00000263341,9606.ENSP00000221930,51.0,47.0
61,9606.ENSP00000398698,9606.ENSP00000221930,6.0,47.0
62,9606.ENSP00000355896,9606.ENSP00000221930,46.0,47.0
63,9606.ENSP00000263025,9606.ENSP00000221930,30.0,47.0
64,9606.ENSP00000360266,9606.ENSP00000221930,0.0,47.0
65,9606.ENSP00000231449,9606.ENSP00000221930,63.0,47.0
66,9606.ENSP00000358335,9606.ENSP00000221930,23.0,47.0
67,9606.ENSP00000384273,9606.ENSP00000221930,43.0,47.0
68,9606.ENSP00000306245,9606.ENSP00000221930,65.0,47.0
69,9606.ENSP00000260010,9606.ENSP00000226574,64.0,32.0
70,9606.ENSP00000441691,9606.ENSP00000226574,7.0,32.0
71,9606.ENSP00000229795,9606.ENSP00000226574,41.0,32.0
72,9606.ENSP00000263025,9606.ENSP00000226574,30.0,32.0
73,9606.ENSP00000433623,9606.ENSP00000226574,45.0,32.0
74,9606.ENSP00000231228,9606.ENSP00000226574,15.0,32.0
75,9606.ENSP00000358335,9606.ENSP00000226574,23.0,32.0
76,9606.ENSP00000358997,9606.ENSP00000226574,52.0,32.0
77,9606.ENSP00000371067,9606.ENSP00000226574,26.0,32.0
78,9606.ENSP00000380948,9606.ENSP00000226574,28.0,32.0
79,9606.ENSP00000263339,9606.ENSP00000226574,24.0,32.0
80,9606.ENSP00000356426,9606.ENSP00000226574,50.0,32.0
81,9606.ENSP00000363089,9606.ENSP00000226574,61.0,32.0
82,9606.ENSP00000260010,9606.ENSP00000229135,64.0,48.0
83,9606.ENSP00000441691,9606.ENSP00000229135,7.0,48.0
84,9606.ENSP00000412237,9606.ENSP00000229135,34.0,48.0
85,9606.ENSP00000398698,9606.ENSP00000229135,6.0,48.0
86,9606.ENSP00000391592,9606.ENSP00000229135,13.0,48.0
87,9606.ENSP00000360266,9606.ENSP00000229135,0.0,48.0
88,9606.ENSP00000231449,9606.ENSP00000229135,63.0,48.0
89,9606.ENSP00000263339,9606.ENSP00000229135,24.0,48.0
90,9606.ENSP00000401399,9606.ENSP00000229135,9.0,48.0
