,protein1,protein2,id1,id2
0,9606.ENSP00000394560,9606.ENSP00000005257,117.0,83.0
1,9606.ENSP00000400175,9606.ENSP00000005257,251.0,83.0
2,9606.ENSP00000418915,9606.ENSP00000005257,284.0,83.0
3,9606.ENSP00000256078,9606.ENSP00000005257,67.0,83.0
4,9606.ENSP00000407586,9606.ENSP00000005257,150.0,83.0
5,9606.ENSP00000378974,9606.ENSP00000005257,279.0,83.0
6,9606.ENSP00000304283,9606.ENSP00000005257,263.0,83.0
7,9606.ENSP00000272519,9606.ENSP00000005257,82.0,83.0
8,9606.ENSP00000249071,9606.ENSP00000005257,257.0,83.0
9,9606.ENSP00000227507,9606.ENSP00000005257,220.0,83.0
10,9606.ENSP00000348461,9606.ENSP00000005257,275.0,83.0
11,9606.ENSP00000352157,9606.ENSP00000005257,118.0,83.0
12,9606.ENSP00000358548,9606.ENSP00000005257,42.0,83.0
13,9606.ENSP00000348461,9606.ENSP00000005340,275.0,260.0
14,9606.ENSP00000302625,9606.ENSP00000005340,49.0,260.0
15,9606.ENSP00000249071,9606.ENSP00000005340,257.0,260.0
16,9606.ENSP00000229030,9606.ENSP00000005340,171.0,260.0
17,9606.ENSP00000360266,9606.ENSP00000005340,0.0,260.0
18,9606.ENSP00000287934,9606.ENSP00000005340,14.0,260.0
19,9606.ENSP00000332973,9606.ENSP00000005340,144.0,260.0
20,9606.ENSP00000293549,9606.ENSP00000005340,151.0,260.0
21,9606.ENSP00000378974,9606.ENSP00000005340,279.0,260.0
22,9606.ENSP00000304283,9606.ENSP00000005340,263.0,260.0
23,9606.ENSP00000442954,9606.ENSP00000005340,185.0,260.0
24,9606.ENSP00000290167,9606.ENSP00000005340,143.0,260.0
25,9606.ENSP00000325526,9606.ENSP00000005340,36.0,260.0
26,9606.ENSP00000437489,9606.ENSP00000005340,126.0,260.0
27,9606.ENSP00000345785,9606.ENSP00000005340,21.0,260.0
28,9606.ENSP00000408695,9606.ENSP00000005340,247.0,260.0
29,9606.ENSP00000340677,9606.ENSP00000005340,158.0,260.0
30,9606.ENSP00000256474,9606.ENSP00000005340,229.0,260.0
31,9606.ENSP00000263431,9606.ENSP00000005340,254.0,260.0
32,9606.ENSP00000380379,9606.ENSP00000005340,219.0,260.0
33,9606.ENSP00000305355,9606.ENSP00000005340,246.0,260.0
