,protein1,protein2,id1,id2
0,9606.ENSP00000371221,9606.ENSP00000247665,9.0,10.0
1,9606.ENSP00000354238,9606.ENSP00000256997,2.0,13.0
2,9606.ENSP00000365926,9606.ENSP00000256997,4.0,13.0
3,9606.ENSP00000292180,9606.ENSP00000256997,6.0,13.0
4,9606.ENSP00000406261,9606.ENSP00000256997,1.0,13.0
5,9606.ENSP00000468767,9606.ENSP00000256997,14.0,13.0
6,9606.ENSP00000354238,9606.ENSP00000292180,2.0,6.0
7,9606.ENSP00000468767,9606.ENSP00000292180,14.0,6.0
8,9606.ENSP00000406261,9606.ENSP00000292180,1.0,6.0
9,9606.ENSP00000406261,9606.ENSP00000354238,1.0,2.0
10,9606.ENSP00000365926,9606.ENSP00000354238,4.0,2.0
11,9606.ENSP00000468767,9606.ENSP00000354238,14.0,2.0
12,9606.ENSP00000406261,9606.ENSP00000365926,1.0,4.0
13,9606.ENSP00000468767,9606.ENSP00000365926,14.0,4.0
14,9606.ENSP00000468767,9606.ENSP00000406261,14.0,1.0
