,protein1,protein2,id1,id2
0,9606.ENSP00000302665,9606.ENSP00000215832,8.0,27.0
1,9606.ENSP00000263826,9606.ENSP00000215832,23.0,27.0
2,9606.ENSP00000361021,9606.ENSP00000215832,39.0,27.0
3,9606.ENSP00000290277,9606.ENSP00000215832,36.0,27.0
4,9606.ENSP00000263431,9606.ENSP00000215832,11.0,27.0
5,9606.ENSP00000451828,9606.ENSP00000215832,19.0,27.0
6,9606.ENSP00000267163,9606.ENSP00000215832,18.0,27.0
7,9606.ENSP00000408695,9606.ENSP00000215832,6.0,27.0
8,9606.ENSP00000305355,9606.ENSP00000215832,3.0,27.0
9,9606.ENSP00000268035,9606.ENSP00000215832,10.0,27.0
10,9606.ENSP00000375892,9606.ENSP00000215832,21.0,27.0
11,9606.ENSP00000387784,9606.ENSP00000216373,26.0,0.0
12,9606.ENSP00000264554,9606.ENSP00000216373,58.0,0.0
13,9606.ENSP00000358548,9606.ENSP00000216373,22.0,0.0
14,9606.ENSP00000364995,9606.ENSP00000216373,33.0,0.0
15,9606.ENSP00000329668,9606.ENSP00000216373,20.0,0.0
16,9606.ENSP00000408695,9606.ENSP00000216373,6.0,0.0
17,9606.ENSP00000244007,9606.ENSP00000216373,57.0,0.0
18,9606.ENSP00000401303,9606.ENSP00000222254,5.0,63.0
19,9606.ENSP00000263826,9606.ENSP00000222254,23.0,63.0
20,9606.ENSP00000358548,9606.ENSP00000222254,22.0,63.0
21,9606.ENSP00000256078,9606.ENSP00000222254,31.0,63.0
22,9606.ENSP00000451828,9606.ENSP00000222254,19.0,63.0
23,9606.ENSP00000387784,9606.ENSP00000222254,26.0,63.0
24,9606.ENSP00000261799,9606.ENSP00000222254,12.0,63.0
25,9606.ENSP00000257290,9606.ENSP00000222254,45.0,63.0
26,9606.ENSP00000392812,9606.ENSP00000222254,28.0,63.0
27,9606.ENSP00000244007,9606.ENSP00000222254,57.0,63.0
28,9606.ENSP00000376345,9606.ENSP00000222254,24.0,63.0
29,9606.ENSP00000407586,9606.ENSP00000222254,29.0,63.0
30,9606.ENSP00000354558,9606.ENSP00000222254,9.0,63.0
31,9606.ENSP00000268035,9606.ENSP00000222254,10.0,63.0
32,9606.ENSP00000375892,9606.ENSP00000222254,21.0,63.0
33,9606.ENSP00000251849,9606.ENSP00000222254,4.0,63.0
34,9606.ENSP00000265171,9606.ENSP00000227507,35.0,38.0
35,9606.ENSP00000263025,9606.ENSP00000227507,25.0,38.0
36,9606.ENSP00000407586,9606.ENSP00000227507,29.0,38.0
37,9606.ENSP00000258149,9606.ENSP00000227507,17.0,38.0
38,9606.ENSP00000269305,9606.ENSP00000227507,49.0,38.0
39,9606.ENSP00000275493,9606.ENSP00000227507,30.0,38.0
40,9606.ENSP00000361021,9606.ENSP00000227507,39.0,38.0
41,9606.ENSP00000256078,9606.ENSP00000227507,31.0,38.0
42,9606.ENSP00000451828,9606.ENSP00000227507,19.0,38.0
