,protein1,protein2,id1,id2
0,9606.ENSP00000352900,9606.ENSP00000215832,14.0,27.0
1,9606.ENSP00000261769,9606.ENSP00000215832,26.0,27.0
2,9606.ENSP00000287820,9606.ENSP00000215832,16.0,27.0
3,9606.ENSP00000431418,9606.ENSP00000215832,23.0,27.0
4,9606.ENSP00000363817,9606.ENSP00000215832,13.0,27.0
5,9606.ENSP00000419692,9606.ENSP00000215832,15.0,27.0
6,9606.ENSP00000261769,9606.ENSP00000227507,26.0,8.0
7,9606.ENSP00000263025,9606.ENSP00000227507,21.0,8.0
8,9606.ENSP00000358404,9606.ENSP00000227507,28.0,8.0
9,9606.ENSP00000407586,9606.ENSP00000227507,1.0,8.0
10,9606.ENSP00000269305,9606.ENSP00000227507,17.0,8.0
11,9606.ENSP00000256078,9606.ENSP00000227507,5.0,8.0
12,9606.ENSP00000431418,9606.ENSP00000240851,23.0,3.0
13,9606.ENSP00000357516,9606.ENSP00000240851,25.0,3.0
14,9606.ENSP00000356448,9606.ENSP00000240851,20.0,3.0
15,9606.ENSP00000479618,9606.ENSP00000256078,24.0,5.0
16,9606.ENSP00000347942,9606.ENSP00000256078,18.0,5.0
17,9606.ENSP00000269305,9606.ENSP00000256078,17.0,5.0
18,9606.ENSP00000344456,9606.ENSP00000256078,6.0,5.0
19,9606.ENSP00000261769,9606.ENSP00000256078,26.0,5.0
20,9606.ENSP00000265165,9606.ENSP00000261769,7.0,26.0
21,9606.ENSP00000269305,9606.ENSP00000261769,17.0,26.0
22,9606.ENSP00000407586,9606.ENSP00000261769,1.0,26.0
23,9606.ENSP00000347942,9606.ENSP00000261769,18.0,26.0
24,9606.ENSP00000479618,9606.ENSP00000261769,24.0,26.0
25,9606.ENSP00000347942,9606.ENSP00000263025,18.0,21.0
26,9606.ENSP00000352900,9606.ENSP00000263025,14.0,21.0
27,9606.ENSP00000344456,9606.ENSP00000263025,6.0,21.0
28,9606.ENSP00000419692,9606.ENSP00000263025,15.0,21.0
29,9606.ENSP00000363817,9606.ENSP00000263025,13.0,21.0
30,9606.ENSP00000431418,9606.ENSP00000263025,23.0,21.0
31,9606.ENSP00000463027,9606.ENSP00000263102,4.0,2.0
32,9606.ENSP00000287820,9606.ENSP00000263334,16.0,0.0
33,9606.ENSP00000419692,9606.ENSP00000263334,15.0,0.0
34,9606.ENSP00000363817,9606.ENSP00000263334,13.0,0.0
35,9606.ENSP00000347942,9606.ENSP00000263334,18.0,0.0
36,9606.ENSP00000352900,9606.ENSP00000263334,14.0,0.0
37,9606.ENSP00000358404,9606.ENSP00000265165,28.0,7.0
38,9606.ENSP00000340347,9606.ENSP00000265165,22.0,7.0
39,9606.ENSP00000282111,9606.ENSP00000265165,10.0,7.0
40,9606.ENSP00000287820,9606.ENSP00000269305,16.0,17.0
41,9606.ENSP00000479618,9606.ENSP00000269305,24.0,17.0
42,9606.ENSP00000358548,9606.ENSP00000269305,19.0,17.0
43,9606.ENSP00000407586,9606.ENSP00000269305,1.0,17.0
44,9606.ENSP00000344456,9606.ENSP00000269305,6.0,17.0
45,9606.ENSP00000479618,9606.ENSP00000282111,24.0,10.0
46,9606.ENSP00000340347,9606.ENSP00000282111,22.0,10.0
47,9606.ENSP00000463027,9606.ENSP00000287820,4.0,16.0
48,9606.ENSP00000358404,9606.ENSP00000287820,28.0,16.0
49,9606.ENSP00000352900,9606.ENSP00000287820,14.0,16.0
50,9606.ENSP00000302486,9606.ENSP00000287820,12.0,16.0
51,9606.ENSP00000363817,9606.ENSP00000287820,13.0,16.0
52,9606.ENSP00000431418,9606.ENSP00000288602,23.0,11.0
53,9606.ENSP00000344456,9606.ENSP00000302486,6.0,12.0
54,9606.ENSP00000479618,9606.ENSP00000302486,24.0,12.0
55,9606.ENSP00000407586,9606.ENSP00000344456,1.0,6.0
56,9606.ENSP00000358548,9606.ENSP00000344456,19.0,6.0
57,9606.ENSP00000419692,9606.ENSP00000344456,15.0,6.0
58,9606.ENSP00000358548,9606.ENSP00000347942,19.0,18.0
59,9606.ENSP00000363817,9606.ENSP00000352900,13.0,14.0
60,9606.ENSP00000419692,9606.ENSP00000352900,15.0,14.0
61,9606.ENSP00000431418,9606.ENSP00000356448,23.0,20.0
62,9606.ENSP00000357516,9606.ENSP00000356448,25.0,20.0
63,9606.ENSP00000431418,9606.ENSP00000357516,23.0,25.0
64,9606.ENSP00000419692,9606.ENSP00000363817,15.0,13.0
65,9606.ENSP00000479618,9606.ENSP00000407586,24.0,1.0
66,9606.ENSP00000479618,9606.ENSP00000419692,24.0,15.0
