,protein1,protein2,id1,id2
0,9606.ENSP00000312134,9606.ENSP00000225371,21.0,6.0
1,9606.ENSP00000231454,9606.ENSP00000225371,24.0,6.0
2,9606.ENSP00000357097,9606.ENSP00000225371,10.0,6.0
3,9606.ENSP00000302324,9606.ENSP00000225371,22.0,6.0
4,9606.ENSP00000378786,9606.ENSP00000229829,27.0,1.0
5,9606.ENSP00000353099,9606.ENSP00000229829,26.0,1.0
6,9606.ENSP00000393566,9606.ENSP00000229829,14.0,1.0
7,9606.ENSP00000364080,9606.ENSP00000229829,20.0,1.0
8,9606.ENSP00000364114,9606.ENSP00000229829,0.0,1.0
9,9606.ENSP00000408146,9606.ENSP00000229829,16.0,1.0
10,9606.ENSP00000390020,9606.ENSP00000229829,2.0,1.0
11,9606.ENSP00000231454,9606.ENSP00000231449,24.0,23.0
12,9606.ENSP00000302234,9606.ENSP00000231449,5.0,23.0
13,9606.ENSP00000304915,9606.ENSP00000231449,17.0,23.0
14,9606.ENSP00000412237,9606.ENSP00000231449,25.0,23.0
15,9606.ENSP00000359663,9606.ENSP00000231449,13.0,23.0
16,9606.ENSP00000296870,9606.ENSP00000231449,3.0,23.0
17,9606.ENSP00000274520,9606.ENSP00000231449,12.0,23.0
18,9606.ENSP00000398698,9606.ENSP00000231454,4.0,24.0
19,9606.ENSP00000296870,9606.ENSP00000231454,3.0,24.0
20,9606.ENSP00000302234,9606.ENSP00000231454,5.0,24.0
21,9606.ENSP00000304915,9606.ENSP00000231454,17.0,24.0
22,9606.ENSP00000302324,9606.ENSP00000231454,22.0,24.0
23,9606.ENSP00000412237,9606.ENSP00000231454,25.0,24.0
24,9606.ENSP00000274520,9606.ENSP00000231454,12.0,24.0
25,9606.ENSP00000302234,9606.ENSP00000274520,5.0,12.0
26,9606.ENSP00000296870,9606.ENSP00000274520,3.0,12.0
27,9606.ENSP00000304915,9606.ENSP00000274520,17.0,12.0
28,9606.ENSP00000412237,9606.ENSP00000274520,25.0,12.0
29,9606.ENSP00000398698,9606.ENSP00000274520,4.0,12.0
30,9606.ENSP00000289902,9606.ENSP00000278888,7.0,8.0
31,9606.ENSP00000398698,9606.ENSP00000296870,4.0,3.0
32,9606.ENSP00000412237,9606.ENSP00000296870,25.0,3.0
33,9606.ENSP00000304915,9606.ENSP00000296870,17.0,3.0
34,9606.ENSP00000302234,9606.ENSP00000296870,5.0,3.0
35,9606.ENSP00000304915,9606.ENSP00000302234,17.0,5.0
36,9606.ENSP00000302324,9606.ENSP00000302234,22.0,5.0
37,9606.ENSP00000412237,9606.ENSP00000302234,25.0,5.0
38,9606.ENSP00000398698,9606.ENSP00000302234,4.0,5.0
39,9606.ENSP00000312134,9606.ENSP00000302324,21.0,22.0
40,9606.ENSP00000412237,9606.ENSP00000304915,25.0,17.0
41,9606.ENSP00000390020,9606.ENSP00000353099,2.0,26.0
42,9606.ENSP00000408146,9606.ENSP00000353099,16.0,26.0
43,9606.ENSP00000364076,9606.ENSP00000353099,19.0,26.0
44,9606.ENSP00000364080,9606.ENSP00000353099,20.0,26.0
45,9606.ENSP00000364114,9606.ENSP00000353099,0.0,26.0
46,9606.ENSP00000412237,9606.ENSP00000359663,25.0,13.0
47,9606.ENSP00000398698,9606.ENSP00000359663,4.0,13.0
48,9606.ENSP00000398698,9606.ENSP00000361359,4.0,15.0
49,9606.ENSP00000412237,9606.ENSP00000361359,25.0,15.0
50,9606.ENSP00000364114,9606.ENSP00000364076,0.0,19.0
51,9606.ENSP00000408146,9606.ENSP00000364076,16.0,19.0
52,9606.ENSP00000398890,9606.ENSP00000364076,9.0,19.0
53,9606.ENSP00000390020,9606.ENSP00000364076,2.0,19.0
54,9606.ENSP00000378786,9606.ENSP00000364076,27.0,19.0
55,9606.ENSP00000393566,9606.ENSP00000364076,14.0,19.0
56,9606.ENSP00000390020,9606.ENSP00000364080,2.0,20.0
57,9606.ENSP00000378786,9606.ENSP00000364080,27.0,20.0
58,9606.ENSP00000393566,9606.ENSP00000364080,14.0,20.0
59,9606.ENSP00000408146,9606.ENSP00000364080,16.0,20.0
60,9606.ENSP00000364114,9606.ENSP00000364080,0.0,20.0
61,9606.ENSP00000398890,9606.ENSP00000364080,9.0,20.0
62,9606.ENSP00000390020,9606.ENSP00000364114,2.0,0.0
63,9606.ENSP00000393566,9606.ENSP00000364114,14.0,0.0
64,9606.ENSP00000408146,9606.ENSP00000364114,16.0,0.0
65,9606.ENSP00000398890,9606.ENSP00000364114,9.0,0.0
66,9606.ENSP00000390020,9606.ENSP00000378786,2.0,27.0
67,9606.ENSP00000393566,9606.ENSP00000378786,14.0,27.0
68,9606.ENSP00000398890,9606.ENSP00000390020,9.0,2.0
69,9606.ENSP00000393566,9606.ENSP00000390020,14.0,2.0
70,9606.ENSP00000408146,9606.ENSP00000390020,16.0,2.0
71,9606.ENSP00000408146,9606.ENSP00000398890,16.0,9.0
