,protein1,protein2,id1,id2
0,9606.ENSP00000356694,9606.ENSP00000216341,45.0,28.0
1,9606.ENSP00000226730,9606.ENSP00000216341,36.0,28.0
2,9606.ENSP00000332049,9606.ENSP00000216341,3.0,28.0
3,9606.ENSP00000324890,9606.ENSP00000216341,4.0,28.0
4,9606.ENSP00000412237,9606.ENSP00000216341,31.0,28.0
5,9606.ENSP00000303939,9606.ENSP00000216341,32.0,28.0
6,9606.ENSP00000441235,9606.ENSP00000220616,8.0,17.0
7,9606.ENSP00000318820,9606.ENSP00000220616,30.0,17.0
8,9606.ENSP00000347979,9606.ENSP00000226730,44.0,36.0
9,9606.ENSP00000231454,9606.ENSP00000226730,47.0,36.0
10,9606.ENSP00000303939,9606.ENSP00000226730,32.0,36.0
11,9606.ENSP00000412237,9606.ENSP00000226730,31.0,36.0
12,9606.ENSP00000332049,9606.ENSP00000226730,3.0,36.0
13,9606.ENSP00000356694,9606.ENSP00000226730,45.0,36.0
14,9606.ENSP00000324890,9606.ENSP00000226730,4.0,36.0
15,9606.ENSP00000359663,9606.ENSP00000226730,37.0,36.0
16,9606.ENSP00000276927,9606.ENSP00000226730,26.0,36.0
17,9606.ENSP00000264246,9606.ENSP00000226730,2.0,36.0
18,9606.ENSP00000369554,9606.ENSP00000226730,7.0,36.0
19,9606.ENSP00000231449,9606.ENSP00000226730,46.0,36.0
20,9606.ENSP00000398568,9606.ENSP00000226730,23.0,36.0
21,9606.ENSP00000361359,9606.ENSP00000226730,39.0,36.0
22,9606.ENSP00000378786,9606.ENSP00000229829,49.0,0.0
23,9606.ENSP00000353099,9606.ENSP00000229829,48.0,0.0
24,9606.ENSP00000393566,9606.ENSP00000229829,38.0,0.0
25,9606.ENSP00000399168,9606.ENSP00000229829,12.0,0.0
26,9606.ENSP00000259951,9606.ENSP00000229829,34.0,0.0
27,9606.ENSP00000365402,9606.ENSP00000229829,11.0,0.0
28,9606.ENSP00000379873,9606.ENSP00000229829,15.0,0.0
29,9606.ENSP00000365817,9606.ENSP00000229829,35.0,0.0
30,9606.ENSP00000364080,9606.ENSP00000229829,43.0,0.0
31,9606.ENSP00000364114,9606.ENSP00000229829,33.0,0.0
32,9606.ENSP00000408146,9606.ENSP00000229829,40.0,0.0
33,9606.ENSP00000390020,9606.ENSP00000229829,1.0,0.0
34,9606.ENSP00000412927,9606.ENSP00000229829,16.0,0.0
35,9606.ENSP00000231454,9606.ENSP00000231449,47.0,46.0
36,9606.ENSP00000303939,9606.ENSP00000231449,32.0,46.0
37,9606.ENSP00000332049,9606.ENSP00000231449,3.0,46.0
38,9606.ENSP00000324890,9606.ENSP00000231449,4.0,46.0
39,9606.ENSP00000412237,9606.ENSP00000231449,31.0,46.0
40,9606.ENSP00000276927,9606.ENSP00000231449,26.0,46.0
41,9606.ENSP00000264246,9606.ENSP00000231449,2.0,46.0
42,9606.ENSP00000359663,9606.ENSP00000231449,37.0,46.0
43,9606.ENSP00000303939,9606.ENSP00000231454,32.0,47.0
44,9606.ENSP00000324890,9606.ENSP00000231454,4.0,47.0
45,9606.ENSP00000412237,9606.ENSP00000231454,31.0,47.0
46,9606.ENSP00000399168,9606.ENSP00000259951,12.0,34.0
47,9606.ENSP00000378786,9606.ENSP00000259951,49.0,34.0
48,9606.ENSP00000393566,9606.ENSP00000259951,38.0,34.0
49,9606.ENSP00000353099,9606.ENSP00000259951,48.0,34.0
50,9606.ENSP00000398890,9606.ENSP00000259951,13.0,34.0
51,9606.ENSP00000364114,9606.ENSP00000259951,33.0,34.0
52,9606.ENSP00000364080,9606.ENSP00000259951,43.0,34.0
53,9606.ENSP00000412927,9606.ENSP00000259951,16.0,34.0
54,9606.ENSP00000390020,9606.ENSP00000259951,1.0,34.0
55,9606.ENSP00000408146,9606.ENSP00000259951,40.0,34.0
56,9606.ENSP00000359663,9606.ENSP00000264246,37.0,2.0
57,9606.ENSP00000276927,9606.ENSP00000264246,26.0,2.0
58,9606.ENSP00000361359,9606.ENSP00000264246,39.0,2.0
59,9606.ENSP00000353099,9606.ENSP00000264246,48.0,2.0
60,9606.ENSP00000379873,9606.ENSP00000264246,15.0,2.0
61,9606.ENSP00000378786,9606.ENSP00000264246,49.0,2.0
62,9606.ENSP00000412237,9606.ENSP00000276927,31.0,26.0
63,9606.ENSP00000369553,9606.ENSP00000276927,24.0,26.0
64,9606.ENSP00000332049,9606.ENSP00000276927,3.0,26.0
65,9606.ENSP00000398568,9606.ENSP00000303939,23.0,32.0
66,9606.ENSP00000359663,9606.ENSP00000303939,37.0,32.0
67,9606.ENSP00000356694,9606.ENSP00000303939,45.0,32.0
68,9606.ENSP00000324890,9606.ENSP00000303939,4.0,32.0
69,9606.ENSP00000412237,9606.ENSP00000303939,31.0,32.0
70,9606.ENSP00000347979,9606.ENSP00000303939,44.0,32.0
71,9606.ENSP00000441235,9606.ENSP00000318820,8.0,30.0
72,9606.ENSP00000398568,9606.ENSP00000324890,23.0,4.0
73,9606.ENSP00000361359,9606.ENSP00000324890,39.0,4.0
74,9606.ENSP00000353099,9606.ENSP00000324890,48.0,4.0
75,9606.ENSP00000359663,9606.ENSP00000324890,37.0,4.0
76,9606.ENSP00000412237,9606.ENSP00000324890,31.0,4.0
77,9606.ENSP00000379873,9606.ENSP00000324890,15.0,4.0
78,9606.ENSP00000378786,9606.ENSP00000324890,49.0,4.0
79,9606.ENSP00000347979,9606.ENSP00000324890,44.0,4.0
80,9606.ENSP00000353099,9606.ENSP00000332049,48.0,3.0
81,9606.ENSP00000361359,9606.ENSP00000332049,39.0,3.0
82,9606.ENSP00000359663,9606.ENSP00000332049,37.0,3.0
83,9606.ENSP00000378786,9606.ENSP00000332049,49.0,3.0
84,9606.ENSP00000379873,9606.ENSP00000332049,15.0,3.0
85,9606.ENSP00000361359,9606.ENSP00000347979,39.0,44.0
86,9606.ENSP00000365402,9606.ENSP00000353099,11.0,48.0
87,9606.ENSP00000379873,9606.ENSP00000353099,15.0,48.0
88,9606.ENSP00000399168,9606.ENSP00000353099,12.0,48.0
89,9606.ENSP00000390020,9606.ENSP00000353099,1.0,48.0
90,9606.ENSP00000365817,9606.ENSP00000353099,35.0,48.0
91,9606.ENSP00000408146,9606.ENSP00000353099,40.0,48.0
92,9606.ENSP00000364076,9606.ENSP00000353099,42.0,48.0
93,9606.ENSP00000364080,9606.ENSP00000353099,43.0,48.0
94,9606.ENSP00000364114,9606.ENSP00000353099,33.0,48.0
95,9606.ENSP00000398568,9606.ENSP00000356694,23.0,45.0
96,9606.ENSP00000412237,9606.ENSP00000359663,31.0,37.0
97,9606.ENSP00000412237,9606.ENSP00000361359,31.0,39.0
98,9606.ENSP00000364114,9606.ENSP00000364076,33.0,42.0
99,9606.ENSP00000408146,9606.ENSP00000364076,40.0,42.0
100,9606.ENSP00000412927,9606.ENSP00000364076,16.0,42.0
101,9606.ENSP00000398890,9606.ENSP00000364076,13.0,42.0
102,9606.ENSP00000365817,9606.ENSP00000364076,35.0,42.0
103,9606.ENSP00000390020,9606.ENSP00000364076,1.0,42.0
104,9606.ENSP00000399168,9606.ENSP00000364076,12.0,42.0
105,9606.ENSP00000378786,9606.ENSP00000364076,49.0,42.0
106,9606.ENSP00000393566,9606.ENSP00000364076,38.0,42.0
107,9606.ENSP00000365402,9606.ENSP00000364076,11.0,42.0
108,9606.ENSP00000379873,9606.ENSP00000364076,15.0,42.0
109,9606.ENSP00000390020,9606.ENSP00000364080,1.0,43.0
110,9606.ENSP00000365817,9606.ENSP00000364080,35.0,43.0
111,9606.ENSP00000365402,9606.ENSP00000364080,11.0,43.0
112,9606.ENSP00000379873,9606.ENSP00000364080,15.0,43.0
113,9606.ENSP00000399168,9606.ENSP00000364080,12.0,43.0
114,9606.ENSP00000378786,9606.ENSP00000364080,49.0,43.0
115,9606.ENSP00000393566,9606.ENSP00000364080,38.0,43.0
116,9606.ENSP00000408146,9606.ENSP00000364080,40.0,43.0
117,9606.ENSP00000364114,9606.ENSP00000364080,33.0,43.0
118,9606.ENSP00000398890,9606.ENSP00000364080,13.0,43.0
119,9606.ENSP00000390020,9606.ENSP00000364114,1.0,33.0
120,9606.ENSP00000365817,9606.ENSP00000364114,35.0,33.0
121,9606.ENSP00000365402,9606.ENSP00000364114,11.0,33.0
122,9606.ENSP00000379873,9606.ENSP00000364114,15.0,33.0
123,9606.ENSP00000399168,9606.ENSP00000364114,12.0,33.0
124,9606.ENSP00000393566,9606.ENSP00000364114,38.0,33.0
125,9606.ENSP00000408146,9606.ENSP00000364114,40.0,33.0
126,9606.ENSP00000398890,9606.ENSP00000364114,13.0,33.0
127,9606.ENSP00000408146,9606.ENSP00000365402,40.0,11.0
128,9606.ENSP00000412927,9606.ENSP00000365402,16.0,11.0
129,9606.ENSP00000398890,9606.ENSP00000365402,13.0,11.0
130,9606.ENSP00000390020,9606.ENSP00000365402,1.0,11.0
131,9606.ENSP00000378786,9606.ENSP00000365402,49.0,11.0
132,9606.ENSP00000393566,9606.ENSP00000365402,38.0,11.0
133,9606.ENSP00000390020,9606.ENSP00000365817,1.0,35.0
134,9606.ENSP00000379873,9606.ENSP00000365817,15.0,35.0
135,9606.ENSP00000378786,9606.ENSP00000365817,49.0,35.0
136,9606.ENSP00000393566,9606.ENSP00000365817,38.0,35.0
137,9606.ENSP00000408146,9606.ENSP00000365817,40.0,35.0
138,9606.ENSP00000412927,9606.ENSP00000365817,16.0,35.0
139,9606.ENSP00000398890,9606.ENSP00000365817,13.0,35.0
140,9606.ENSP00000412897,9606.ENSP00000369553,6.0,24.0
141,9606.ENSP00000369558,9606.ENSP00000369554,21.0,7.0
142,9606.ENSP00000484479,9606.ENSP00000369554,5.0,7.0
143,9606.ENSP00000412897,9606.ENSP00000369554,6.0,7.0
144,9606.ENSP00000369574,9606.ENSP00000369558,20.0,21.0
145,9606.ENSP00000412897,9606.ENSP00000369558,6.0,21.0
