,protein1,protein2,id1,id2
0,9606.ENSP00000404570,9606.ENSP00000216181,11.0,61.0
1,9606.ENSP00000384330,9606.ENSP00000216181,62.0,61.0
2,9606.ENSP00000226207,9606.ENSP00000216181,17.0,61.0
3,9606.ENSP00000458162,9606.ENSP00000216181,32.0,61.0
4,9606.ENSP00000348461,9606.ENSP00000216181,33.0,61.0
5,9606.ENSP00000245503,9606.ENSP00000216181,56.0,61.0
6,9606.ENSP00000255381,9606.ENSP00000216181,58.0,61.0
7,9606.ENSP00000386041,9606.ENSP00000216181,60.0,61.0
8,9606.ENSP00000470298,9606.ENSP00000216181,14.0,61.0
9,9606.ENSP00000379616,9606.ENSP00000216181,63.0,61.0
10,9606.ENSP00000347507,9606.ENSP00000216181,59.0,61.0
11,9606.ENSP00000464317,9606.ENSP00000216181,55.0,61.0
12,9606.ENSP00000370839,9606.ENSP00000218867,38.0,35.0
13,9606.ENSP00000442600,9606.ENSP00000218867,39.0,35.0
14,9606.ENSP00000245503,9606.ENSP00000226207,56.0,17.0
15,9606.ENSP00000255381,9606.ENSP00000226207,58.0,17.0
16,9606.ENSP00000404570,9606.ENSP00000226207,11.0,17.0
17,9606.ENSP00000384330,9606.ENSP00000226207,62.0,17.0
18,9606.ENSP00000458162,9606.ENSP00000226207,32.0,17.0
19,9606.ENSP00000470298,9606.ENSP00000226207,14.0,17.0
20,9606.ENSP00000386041,9606.ENSP00000226207,60.0,17.0
21,9606.ENSP00000379616,9606.ENSP00000226207,63.0,17.0
22,9606.ENSP00000347507,9606.ENSP00000226207,59.0,17.0
23,9606.ENSP00000353590,9606.ENSP00000226207,65.0,17.0
24,9606.ENSP00000464317,9606.ENSP00000226207,55.0,17.0
25,9606.ENSP00000361423,9606.ENSP00000227507,25.0,46.0
26,9606.ENSP00000330237,9606.ENSP00000227507,0.0,46.0
27,9606.ENSP00000349960,9606.ENSP00000227507,42.0,46.0
28,9606.ENSP00000311032,9606.ENSP00000227507,27.0,46.0
29,9606.ENSP00000378786,9606.ENSP00000229829,67.0,2.0
30,9606.ENSP00000353099,9606.ENSP00000229829,66.0,2.0
31,9606.ENSP00000393566,9606.ENSP00000229829,47.0,2.0
32,9606.ENSP00000399168,9606.ENSP00000229829,13.0,2.0
33,9606.ENSP00000259951,9606.ENSP00000229829,43.0,2.0
34,9606.ENSP00000365402,9606.ENSP00000229829,12.0,2.0
35,9606.ENSP00000379873,9606.ENSP00000229829,18.0,2.0
36,9606.ENSP00000365817,9606.ENSP00000229829,44.0,2.0
37,9606.ENSP00000364080,9606.ENSP00000229829,53.0,2.0
38,9606.ENSP00000364114,9606.ENSP00000229829,36.0,2.0
39,9606.ENSP00000408146,9606.ENSP00000229829,49.0,2.0
40,9606.ENSP00000390020,9606.ENSP00000229829,3.0,2.0
41,9606.ENSP00000412927,9606.ENSP00000229829,23.0,2.0
42,9606.ENSP00000347507,9606.ENSP00000245503,59.0,56.0
43,9606.ENSP00000379616,9606.ENSP00000245503,63.0,56.0
44,9606.ENSP00000464317,9606.ENSP00000245503,55.0,56.0
45,9606.ENSP00000353590,9606.ENSP00000245503,65.0,56.0
46,9606.ENSP00000384330,9606.ENSP00000245503,62.0,56.0
47,9606.ENSP00000404570,9606.ENSP00000245503,11.0,56.0
48,9606.ENSP00000255381,9606.ENSP00000245503,58.0,56.0
49,9606.ENSP00000386041,9606.ENSP00000245503,60.0,56.0
50,9606.ENSP00000470298,9606.ENSP00000245503,14.0,56.0
51,9606.ENSP00000304283,9606.ENSP00000249071,24.0,21.0
52,9606.ENSP00000427562,9606.ENSP00000249071,26.0,21.0
53,9606.ENSP00000346671,9606.ENSP00000249071,64.0,21.0
54,9606.ENSP00000361423,9606.ENSP00000249071,25.0,21.0
55,9606.ENSP00000380948,9606.ENSP00000249071,31.0,21.0
56,9606.ENSP00000349960,9606.ENSP00000249071,42.0,21.0
57,9606.ENSP00000470298,9606.ENSP00000255381,14.0,58.0
58,9606.ENSP00000386041,9606.ENSP00000255381,60.0,58.0
59,9606.ENSP00000404570,9606.ENSP00000255381,11.0,58.0
60,9606.ENSP00000384330,9606.ENSP00000255381,62.0,58.0
61,9606.ENSP00000353590,9606.ENSP00000255381,65.0,58.0
62,9606.ENSP00000464317,9606.ENSP00000255381,55.0,58.0
63,9606.ENSP00000379616,9606.ENSP00000255381,63.0,58.0
64,9606.ENSP00000347507,9606.ENSP00000255381,59.0,58.0
65,9606.ENSP00000399168,9606.ENSP00000259951,13.0,43.0
66,9606.ENSP00000378786,9606.ENSP00000259951,67.0,43.0
67,9606.ENSP00000393566,9606.ENSP00000259951,47.0,43.0
68,9606.ENSP00000353099,9606.ENSP00000259951,66.0,43.0
69,9606.ENSP00000398890,9606.ENSP00000259951,15.0,43.0
70,9606.ENSP00000364114,9606.ENSP00000259951,36.0,43.0
71,9606.ENSP00000364080,9606.ENSP00000259951,53.0,43.0
72,9606.ENSP00000412927,9606.ENSP00000259951,23.0,43.0
73,9606.ENSP00000390020,9606.ENSP00000259951,3.0,43.0
74,9606.ENSP00000408146,9606.ENSP00000259951,49.0,43.0
75,9606.ENSP00000359663,9606.ENSP00000264246,45.0,4.0
76,9606.ENSP00000361359,9606.ENSP00000264246,48.0,4.0
77,9606.ENSP00000353099,9606.ENSP00000264246,66.0,4.0
78,9606.ENSP00000379873,9606.ENSP00000264246,18.0,4.0
79,9606.ENSP00000378786,9606.ENSP00000264246,67.0,4.0
80,9606.ENSP00000380948,9606.ENSP00000264246,31.0,4.0
81,9606.ENSP00000361359,9606.ENSP00000264832,48.0,9.0
82,9606.ENSP00000349960,9606.ENSP00000264832,42.0,9.0
83,9606.ENSP00000359663,9606.ENSP00000264832,45.0,9.0
84,9606.ENSP00000356030,9606.ENSP00000264832,40.0,9.0
85,9606.ENSP00000348461,9606.ENSP00000304283,33.0,24.0
86,9606.ENSP00000361423,9606.ENSP00000304283,25.0,24.0
87,9606.ENSP00000346671,9606.ENSP00000304283,64.0,24.0
88,9606.ENSP00000427562,9606.ENSP00000304283,26.0,24.0
89,9606.ENSP00000349960,9606.ENSP00000307786,42.0,57.0
90,9606.ENSP00000351273,9606.ENSP00000307786,1.0,57.0
91,9606.ENSP00000458162,9606.ENSP00000311032,32.0,27.0
92,9606.ENSP00000318822,9606.ENSP00000311032,22.0,27.0
93,9606.ENSP00000433664,9606.ENSP00000311032,28.0,27.0
94,9606.ENSP00000383274,9606.ENSP00000311032,7.0,27.0
95,9606.ENSP00000416255,9606.ENSP00000311032,30.0,27.0
96,9606.ENSP00000398568,9606.ENSP00000324890,29.0,6.0
97,9606.ENSP00000361359,9606.ENSP00000324890,48.0,6.0
98,9606.ENSP00000346671,9606.ENSP00000324890,64.0,6.0
99,9606.ENSP00000353099,9606.ENSP00000324890,66.0,6.0
100,9606.ENSP00000359663,9606.ENSP00000324890,45.0,6.0
101,9606.ENSP00000379873,9606.ENSP00000324890,18.0,6.0
102,9606.ENSP00000380948,9606.ENSP00000324890,31.0,6.0
103,9606.ENSP00000378786,9606.ENSP00000324890,67.0,6.0
104,9606.ENSP00000361423,9606.ENSP00000330237,25.0,0.0
105,9606.ENSP00000383274,9606.ENSP00000330237,7.0,0.0
106,9606.ENSP00000416255,9606.ENSP00000330237,30.0,0.0
107,9606.ENSP00000349960,9606.ENSP00000330237,42.0,0.0
108,9606.ENSP00000433664,9606.ENSP00000330237,28.0,0.0
109,9606.ENSP00000353099,9606.ENSP00000332049,66.0,5.0
110,9606.ENSP00000349252,9606.ENSP00000332049,8.0,5.0
111,9606.ENSP00000361359,9606.ENSP00000332049,48.0,5.0
112,9606.ENSP00000359663,9606.ENSP00000332049,45.0,5.0
113,9606.ENSP00000378786,9606.ENSP00000332049,67.0,5.0
114,9606.ENSP00000379873,9606.ENSP00000332049,18.0,5.0
115,9606.ENSP00000348461,9606.ENSP00000339191,33.0,54.0
116,9606.ENSP00000442600,9606.ENSP00000339191,39.0,54.0
117,9606.ENSP00000354923,9606.ENSP00000339191,19.0,54.0
118,9606.ENSP00000349960,9606.ENSP00000339191,42.0,54.0
119,9606.ENSP00000348461,9606.ENSP00000346671,33.0,64.0
120,9606.ENSP00000361423,9606.ENSP00000346671,25.0,64.0
121,9606.ENSP00000378786,9606.ENSP00000346671,67.0,64.0
122,9606.ENSP00000379873,9606.ENSP00000346671,18.0,64.0
123,9606.ENSP00000353099,9606.ENSP00000346671,66.0,64.0
124,9606.ENSP00000470298,9606.ENSP00000347507,14.0,59.0
125,9606.ENSP00000386041,9606.ENSP00000347507,60.0,59.0
126,9606.ENSP00000384330,9606.ENSP00000347507,62.0,59.0
127,9606.ENSP00000404570,9606.ENSP00000347507,11.0,59.0
128,9606.ENSP00000353590,9606.ENSP00000347507,65.0,59.0
129,9606.ENSP00000464317,9606.ENSP00000347507,55.0,59.0
130,9606.ENSP00000379616,9606.ENSP00000347507,63.0,59.0
131,9606.ENSP00000400365,9606.ENSP00000348461,41.0,33.0
132,9606.ENSP00000379616,9606.ENSP00000348461,63.0,33.0
133,9606.ENSP00000354923,9606.ENSP00000348461,19.0,33.0
134,9606.ENSP00000353590,9606.ENSP00000348461,65.0,33.0
135,9606.ENSP00000349960,9606.ENSP00000348461,42.0,33.0
136,9606.ENSP00000458162,9606.ENSP00000348461,32.0,33.0
137,9606.ENSP00000470298,9606.ENSP00000348461,14.0,33.0
138,9606.ENSP00000361423,9606.ENSP00000348461,25.0,33.0
139,9606.ENSP00000427562,9606.ENSP00000348461,26.0,33.0
140,9606.ENSP00000442600,9606.ENSP00000348461,39.0,33.0
141,9606.ENSP00000379616,9606.ENSP00000349960,63.0,42.0
142,9606.ENSP00000354923,9606.ENSP00000349960,19.0,42.0
143,9606.ENSP00000353590,9606.ENSP00000349960,65.0,42.0
144,9606.ENSP00000351273,9606.ENSP00000349960,1.0,42.0
145,9606.ENSP00000470298,9606.ENSP00000349960,14.0,42.0
146,9606.ENSP00000416255,9606.ENSP00000351273,30.0,1.0
147,9606.ENSP00000383274,9606.ENSP00000351273,7.0,1.0
148,9606.ENSP00000433664,9606.ENSP00000351273,28.0,1.0
149,9606.ENSP00000365402,9606.ENSP00000353099,12.0,66.0
150,9606.ENSP00000379873,9606.ENSP00000353099,18.0,66.0
151,9606.ENSP00000399168,9606.ENSP00000353099,13.0,66.0
152,9606.ENSP00000390020,9606.ENSP00000353099,3.0,66.0
153,9606.ENSP00000365817,9606.ENSP00000353099,44.0,66.0
154,9606.ENSP00000408146,9606.ENSP00000353099,49.0,66.0
155,9606.ENSP00000364076,9606.ENSP00000353099,52.0,66.0
156,9606.ENSP00000364080,9606.ENSP00000353099,53.0,66.0
157,9606.ENSP00000364114,9606.ENSP00000353099,36.0,66.0
158,9606.ENSP00000404570,9606.ENSP00000353590,11.0,65.0
159,9606.ENSP00000384330,9606.ENSP00000353590,62.0,65.0
160,9606.ENSP00000458162,9606.ENSP00000353590,32.0,65.0
161,9606.ENSP00000470298,9606.ENSP00000353590,14.0,65.0
162,9606.ENSP00000386041,9606.ENSP00000353590,60.0,65.0
163,9606.ENSP00000379616,9606.ENSP00000353590,63.0,65.0
164,9606.ENSP00000464317,9606.ENSP00000353590,55.0,65.0
165,9606.ENSP00000464317,9606.ENSP00000354923,55.0,19.0
166,9606.ENSP00000386041,9606.ENSP00000354923,60.0,19.0
167,9606.ENSP00000384330,9606.ENSP00000354923,62.0,19.0
168,9606.ENSP00000427562,9606.ENSP00000361423,26.0,25.0
169,9606.ENSP00000364114,9606.ENSP00000364076,36.0,52.0
170,9606.ENSP00000408146,9606.ENSP00000364076,49.0,52.0
171,9606.ENSP00000412927,9606.ENSP00000364076,23.0,52.0
172,9606.ENSP00000398890,9606.ENSP00000364076,15.0,52.0
173,9606.ENSP00000365817,9606.ENSP00000364076,44.0,52.0
174,9606.ENSP00000390020,9606.ENSP00000364076,3.0,52.0
175,9606.ENSP00000399168,9606.ENSP00000364076,13.0,52.0
176,9606.ENSP00000378786,9606.ENSP00000364076,67.0,52.0
177,9606.ENSP00000393566,9606.ENSP00000364076,47.0,52.0
178,9606.ENSP00000365402,9606.ENSP00000364076,12.0,52.0
179,9606.ENSP00000379873,9606.ENSP00000364076,18.0,52.0
180,9606.ENSP00000390020,9606.ENSP00000364080,3.0,53.0
181,9606.ENSP00000365817,9606.ENSP00000364080,44.0,53.0
182,9606.ENSP00000365402,9606.ENSP00000364080,12.0,53.0
183,9606.ENSP00000379873,9606.ENSP00000364080,18.0,53.0
184,9606.ENSP00000399168,9606.ENSP00000364080,13.0,53.0
185,9606.ENSP00000378786,9606.ENSP00000364080,67.0,53.0
186,9606.ENSP00000393566,9606.ENSP00000364080,47.0,53.0
187,9606.ENSP00000408146,9606.ENSP00000364080,49.0,53.0
188,9606.ENSP00000364114,9606.ENSP00000364080,36.0,53.0
189,9606.ENSP00000398890,9606.ENSP00000364080,15.0,53.0
190,9606.ENSP00000390020,9606.ENSP00000364114,3.0,36.0
191,9606.ENSP00000365817,9606.ENSP00000364114,44.0,36.0
192,9606.ENSP00000365402,9606.ENSP00000364114,12.0,36.0
193,9606.ENSP00000379873,9606.ENSP00000364114,18.0,36.0
194,9606.ENSP00000399168,9606.ENSP00000364114,13.0,36.0
195,9606.ENSP00000393566,9606.ENSP00000364114,47.0,36.0
196,9606.ENSP00000408146,9606.ENSP00000364114,49.0,36.0
197,9606.ENSP00000398890,9606.ENSP00000364114,15.0,36.0
198,9606.ENSP00000408146,9606.ENSP00000365402,49.0,12.0
199,9606.ENSP00000412927,9606.ENSP00000365402,23.0,12.0
