,protein1,protein2,id1,id2
0,9606.ENSP00000306920,9606.ENSP00000002165,1.0,9.0
1,9606.ENSP00000261416,9606.ENSP00000002165,14.0,9.0
2,9606.ENSP00000363603,9606.ENSP00000002165,8.0,9.0
3,9606.ENSP00000268097,9606.ENSP00000002165,15.0,9.0
4,9606.ENSP00000462333,9606.ENSP00000226578,0.0,2.0
5,9606.ENSP00000457788,9606.ENSP00000226578,11.0,2.0
6,9606.ENSP00000395473,9606.ENSP00000226578,3.0,2.0
7,9606.ENSP00000268097,9606.ENSP00000226578,15.0,2.0
8,9606.ENSP00000363603,9606.ENSP00000261416,8.0,14.0
9,9606.ENSP00000363603,9606.ENSP00000268097,8.0,15.0
10,9606.ENSP00000457788,9606.ENSP00000285599,11.0,12.0
11,9606.ENSP00000395473,9606.ENSP00000285599,3.0,12.0
12,9606.ENSP00000320318,9606.ENSP00000306920,5.0,1.0
13,9606.ENSP00000363603,9606.ENSP00000306920,8.0,1.0
14,9606.ENSP00000395473,9606.ENSP00000306920,3.0,1.0
