,protein1,protein2,id1,id2
0,9606.ENSP00000215095,9606.ENSP00000054666,36.0,11.0
1,9606.ENSP00000314214,9606.ENSP00000054666,14.0,11.0
2,9606.ENSP00000294179,9606.ENSP00000054666,28.0,11.0
3,9606.ENSP00000466298,9606.ENSP00000054666,15.0,11.0
4,9606.ENSP00000372210,9606.ENSP00000054666,23.0,11.0
5,9606.ENSP00000259400,9606.ENSP00000054666,37.0,11.0
6,9606.ENSP00000379602,9606.ENSP00000054666,10.0,11.0
7,9606.ENSP00000314157,9606.ENSP00000054666,17.0,11.0
8,9606.ENSP00000305810,9606.ENSP00000054666,24.0,11.0
9,9606.ENSP00000223369,9606.ENSP00000054666,21.0,11.0
10,9606.ENSP00000263864,9606.ENSP00000054666,20.0,11.0
11,9606.ENSP00000463393,9606.ENSP00000054666,18.0,11.0
12,9606.ENSP00000222547,9606.ENSP00000054666,32.0,11.0
13,9606.ENSP00000356540,9606.ENSP00000054666,8.0,11.0
14,9606.ENSP00000225567,9606.ENSP00000054666,3.0,11.0
15,9606.ENSP00000225724,9606.ENSP00000054666,25.0,11.0
16,9606.ENSP00000376178,9606.ENSP00000054666,1.0,11.0
17,9606.ENSP00000305255,9606.ENSP00000054666,35.0,11.0
18,9606.ENSP00000320679,9606.ENSP00000054666,30.0,11.0
19,9606.ENSP00000463393,9606.ENSP00000215095,18.0,36.0
20,9606.ENSP00000225567,9606.ENSP00000215095,3.0,36.0
21,9606.ENSP00000222547,9606.ENSP00000215095,32.0,36.0
22,9606.ENSP00000225724,9606.ENSP00000215095,25.0,36.0
23,9606.ENSP00000262640,9606.ENSP00000215095,16.0,36.0
24,9606.ENSP00000305255,9606.ENSP00000215095,35.0,36.0
25,9606.ENSP00000314157,9606.ENSP00000215095,17.0,36.0
26,9606.ENSP00000222812,9606.ENSP00000215095,7.0,36.0
27,9606.ENSP00000258301,9606.ENSP00000215095,6.0,36.0
28,9606.ENSP00000305810,9606.ENSP00000215095,24.0,36.0
29,9606.ENSP00000223369,9606.ENSP00000215095,21.0,36.0
30,9606.ENSP00000263864,9606.ENSP00000215095,20.0,36.0
31,9606.ENSP00000360183,9606.ENSP00000215095,9.0,36.0
32,9606.ENSP00000466298,9606.ENSP00000215095,15.0,36.0
33,9606.ENSP00000376792,9606.ENSP00000215095,33.0,36.0
34,9606.ENSP00000215730,9606.ENSP00000215095,4.0,36.0
35,9606.ENSP00000294179,9606.ENSP00000215095,28.0,36.0
36,9606.ENSP00000379602,9606.ENSP00000215730,10.0,4.0
37,9606.ENSP00000314157,9606.ENSP00000215730,17.0,4.0
38,9606.ENSP00000305810,9606.ENSP00000215730,24.0,4.0
39,9606.ENSP00000303437,9606.ENSP00000215730,34.0,4.0
40,9606.ENSP00000236192,9606.ENSP00000215730,19.0,4.0
41,9606.ENSP00000463393,9606.ENSP00000215730,18.0,4.0
42,9606.ENSP00000338562,9606.ENSP00000215730,13.0,4.0
43,9606.ENSP00000356540,9606.ENSP00000215730,8.0,4.0
44,9606.ENSP00000222547,9606.ENSP00000215730,32.0,4.0
45,9606.ENSP00000225567,9606.ENSP00000215730,3.0,4.0
46,9606.ENSP00000450731,9606.ENSP00000215730,31.0,4.0
47,9606.ENSP00000466298,9606.ENSP00000215730,15.0,4.0
48,9606.ENSP00000225724,9606.ENSP00000215730,25.0,4.0
49,9606.ENSP00000376792,9606.ENSP00000215730,33.0,4.0
50,9606.ENSP00000376178,9606.ENSP00000215730,1.0,4.0
51,9606.ENSP00000305255,9606.ENSP00000215730,35.0,4.0
52,9606.ENSP00000320679,9606.ENSP00000215730,30.0,4.0
53,9606.ENSP00000254976,9606.ENSP00000215730,26.0,4.0
54,9606.ENSP00000263864,9606.ENSP00000222547,20.0,32.0
55,9606.ENSP00000249647,9606.ENSP00000222547,22.0,32.0
56,9606.ENSP00000236192,9606.ENSP00000222547,19.0,32.0
57,9606.ENSP00000222812,9606.ENSP00000222547,7.0,32.0
58,9606.ENSP00000317714,9606.ENSP00000222547,29.0,32.0
59,9606.ENSP00000258301,9606.ENSP00000222547,6.0,32.0
60,9606.ENSP00000305810,9606.ENSP00000222547,24.0,32.0
61,9606.ENSP00000314214,9606.ENSP00000222547,14.0,32.0
62,9606.ENSP00000379602,9606.ENSP00000222547,10.0,32.0
63,9606.ENSP00000254976,9606.ENSP00000222547,26.0,32.0
64,9606.ENSP00000320679,9606.ENSP00000222547,30.0,32.0
65,9606.ENSP00000305255,9606.ENSP00000222547,35.0,32.0
66,9606.ENSP00000372210,9606.ENSP00000222547,23.0,32.0
67,9606.ENSP00000262640,9606.ENSP00000222547,16.0,32.0
68,9606.ENSP00000259400,9606.ENSP00000222547,37.0,32.0
69,9606.ENSP00000376792,9606.ENSP00000222547,33.0,32.0
70,9606.ENSP00000466298,9606.ENSP00000222547,15.0,32.0
71,9606.ENSP00000360183,9606.ENSP00000222547,9.0,32.0
72,9606.ENSP00000263897,9606.ENSP00000222547,27.0,32.0
73,9606.ENSP00000363054,9606.ENSP00000222547,0.0,32.0
74,9606.ENSP00000450731,9606.ENSP00000222547,31.0,32.0
75,9606.ENSP00000338562,9606.ENSP00000222547,13.0,32.0
76,9606.ENSP00000356540,9606.ENSP00000222547,8.0,32.0
77,9606.ENSP00000356918,9606.ENSP00000222547,5.0,32.0
78,9606.ENSP00000305255,9606.ENSP00000222812,35.0,7.0
79,9606.ENSP00000225724,9606.ENSP00000222812,25.0,7.0
80,9606.ENSP00000225567,9606.ENSP00000222812,3.0,7.0
81,9606.ENSP00000450731,9606.ENSP00000222812,31.0,7.0
82,9606.ENSP00000363054,9606.ENSP00000222812,0.0,7.0
83,9606.ENSP00000223369,9606.ENSP00000222812,21.0,7.0
84,9606.ENSP00000305810,9606.ENSP00000222812,24.0,7.0
85,9606.ENSP00000317714,9606.ENSP00000222812,29.0,7.0
86,9606.ENSP00000314157,9606.ENSP00000222812,17.0,7.0
87,9606.ENSP00000259400,9606.ENSP00000222812,37.0,7.0
88,9606.ENSP00000376792,9606.ENSP00000222812,33.0,7.0
89,9606.ENSP00000466298,9606.ENSP00000222812,15.0,7.0
90,9606.ENSP00000263897,9606.ENSP00000222812,27.0,7.0
91,9606.ENSP00000360183,9606.ENSP00000222812,9.0,7.0
92,9606.ENSP00000356918,9606.ENSP00000222812,5.0,7.0
93,9606.ENSP00000249647,9606.ENSP00000223369,22.0,21.0
94,9606.ENSP00000303437,9606.ENSP00000223369,34.0,21.0
95,9606.ENSP00000263897,9606.ENSP00000223369,27.0,21.0
96,9606.ENSP00000360183,9606.ENSP00000223369,9.0,21.0
97,9606.ENSP00000466298,9606.ENSP00000223369,15.0,21.0
98,9606.ENSP00000305647,9606.ENSP00000223369,2.0,21.0
99,9606.ENSP00000338562,9606.ENSP00000223369,13.0,21.0
100,9606.ENSP00000379602,9606.ENSP00000223369,10.0,21.0
101,9606.ENSP00000314157,9606.ENSP00000223369,17.0,21.0
102,9606.ENSP00000236192,9606.ENSP00000223369,19.0,21.0
103,9606.ENSP00000263864,9606.ENSP00000223369,20.0,21.0
104,9606.ENSP00000356540,9606.ENSP00000223369,8.0,21.0
105,9606.ENSP00000376178,9606.ENSP00000223369,1.0,21.0
106,9606.ENSP00000320679,9606.ENSP00000223369,30.0,21.0
107,9606.ENSP00000262640,9606.ENSP00000223369,16.0,21.0
108,9606.ENSP00000314157,9606.ENSP00000225567,17.0,3.0
109,9606.ENSP00000314214,9606.ENSP00000225567,14.0,3.0
110,9606.ENSP00000379602,9606.ENSP00000225567,10.0,3.0
111,9606.ENSP00000305810,9606.ENSP00000225567,24.0,3.0
112,9606.ENSP00000317714,9606.ENSP00000225567,29.0,3.0
113,9606.ENSP00000263864,9606.ENSP00000225567,20.0,3.0
114,9606.ENSP00000249647,9606.ENSP00000225567,22.0,3.0
115,9606.ENSP00000236192,9606.ENSP00000225567,19.0,3.0
116,9606.ENSP00000450731,9606.ENSP00000225567,31.0,3.0
117,9606.ENSP00000356540,9606.ENSP00000225567,8.0,3.0
118,9606.ENSP00000338562,9606.ENSP00000225567,13.0,3.0
119,9606.ENSP00000356918,9606.ENSP00000225567,5.0,3.0
120,9606.ENSP00000466298,9606.ENSP00000225567,15.0,3.0
121,9606.ENSP00000360183,9606.ENSP00000225567,9.0,3.0
122,9606.ENSP00000263897,9606.ENSP00000225567,27.0,3.0
123,9606.ENSP00000259400,9606.ENSP00000225567,37.0,3.0
124,9606.ENSP00000262640,9606.ENSP00000225567,16.0,3.0
125,9606.ENSP00000376792,9606.ENSP00000225567,33.0,3.0
126,9606.ENSP00000254976,9606.ENSP00000225567,26.0,3.0
127,9606.ENSP00000320679,9606.ENSP00000225567,30.0,3.0
