,protein1,protein2,id1,id2
0,9606.ENSP00000296046,9606.ENSP00000216336,14.0,6.0
1,9606.ENSP00000355627,9606.ENSP00000216336,8.0,6.0
2,9606.ENSP00000304467,9606.ENSP00000231368,7.0,0.0
3,9606.ENSP00000290866,9606.ENSP00000250378,10.0,4.0
4,9606.ENSP00000272190,9606.ENSP00000250378,2.0,4.0
5,9606.ENSP00000389326,9606.ENSP00000250378,1.0,4.0
6,9606.ENSP00000419422,9606.ENSP00000250378,9.0,4.0
7,9606.ENSP00000296046,9606.ENSP00000250378,14.0,4.0
8,9606.ENSP00000355627,9606.ENSP00000252660,8.0,15.0
9,9606.ENSP00000418525,9606.ENSP00000272190,16.0,2.0
10,9606.ENSP00000360973,9606.ENSP00000272190,11.0,2.0
11,9606.ENSP00000419422,9606.ENSP00000272190,9.0,2.0
12,9606.ENSP00000360973,9606.ENSP00000290866,11.0,10.0
13,9606.ENSP00000419422,9606.ENSP00000290866,9.0,10.0
14,9606.ENSP00000418525,9606.ENSP00000290866,16.0,10.0
15,9606.ENSP00000355627,9606.ENSP00000296046,8.0,14.0
16,9606.ENSP00000389326,9606.ENSP00000300060,1.0,3.0
17,9606.ENSP00000355627,9606.ENSP00000300060,8.0,3.0
18,9606.ENSP00000418525,9606.ENSP00000300060,16.0,3.0
19,9606.ENSP00000418525,9606.ENSP00000355627,16.0,8.0
20,9606.ENSP00000389326,9606.ENSP00000360973,1.0,11.0
21,9606.ENSP00000419422,9606.ENSP00000360973,9.0,11.0
22,9606.ENSP00000419422,9606.ENSP00000389326,9.0,1.0
23,9606.ENSP00000418525,9606.ENSP00000389326,16.0,1.0
