,protein1,protein2,id1,id2
0,9606.ENSP00000386636,9606.ENSP00000215829,97.0,108.0
1,9606.ENSP00000466090,9606.ENSP00000216336,30.0,15.0
2,9606.ENSP00000396688,9606.ENSP00000223642,33.0,29.0
3,9606.ENSP00000415941,9606.ENSP00000223642,32.0,29.0
4,9606.ENSP00000245907,9606.ENSP00000223642,49.0,29.0
5,9606.ENSP00000466090,9606.ENSP00000223642,30.0,29.0
6,9606.ENSP00000324890,9606.ENSP00000229135,3.0,109.0
7,9606.ENSP00000332049,9606.ENSP00000229135,1.0,109.0
8,9606.ENSP00000412237,9606.ENSP00000229135,96.0,109.0
9,9606.ENSP00000398698,9606.ENSP00000229135,65.0,109.0
10,9606.ENSP00000361359,9606.ENSP00000229135,120.0,109.0
11,9606.ENSP00000264246,9606.ENSP00000229135,0.0,109.0
12,9606.ENSP00000359663,9606.ENSP00000229135,119.0,109.0
13,9606.ENSP00000378786,9606.ENSP00000229829,60.0,62.0
14,9606.ENSP00000353099,9606.ENSP00000229829,58.0,62.0
15,9606.ENSP00000393566,9606.ENSP00000229829,35.0,62.0
16,9606.ENSP00000364080,9606.ENSP00000229829,40.0,62.0
17,9606.ENSP00000364114,9606.ENSP00000229829,27.0,62.0
18,9606.ENSP00000408146,9606.ENSP00000229829,37.0,62.0
19,9606.ENSP00000390020,9606.ENSP00000229829,63.0,62.0
20,9606.ENSP00000479284,9606.ENSP00000244537,2.0,95.0
21,9606.ENSP00000332790,9606.ENSP00000244537,11.0,95.0
22,9606.ENSP00000274764,9606.ENSP00000244537,131.0,95.0
23,9606.ENSP00000328484,9606.ENSP00000244537,130.0,95.0
24,9606.ENSP00000423563,9606.ENSP00000244537,4.0,95.0
25,9606.ENSP00000477870,9606.ENSP00000244537,82.0,95.0
26,9606.ENSP00000482674,9606.ENSP00000244537,42.0,95.0
27,9606.ENSP00000367022,9606.ENSP00000244537,128.0,95.0
28,9606.ENSP00000308405,9606.ENSP00000244537,70.0,95.0
29,9606.ENSP00000289316,9606.ENSP00000244537,45.0,95.0
30,9606.ENSP00000477907,9606.ENSP00000244537,115.0,95.0
31,9606.ENSP00000351589,9606.ENSP00000244537,132.0,95.0
32,9606.ENSP00000438553,9606.ENSP00000244537,107.0,95.0
33,9606.ENSP00000476136,9606.ENSP00000244537,79.0,95.0
34,9606.ENSP00000341094,9606.ENSP00000244537,7.0,95.0
35,9606.ENSP00000321744,9606.ENSP00000244537,118.0,95.0
36,9606.ENSP00000303373,9606.ENSP00000244537,127.0,95.0
37,9606.ENSP00000479169,9606.ENSP00000244537,112.0,95.0
38,9606.ENSP00000297012,9606.ENSP00000244537,6.0,95.0
39,9606.ENSP00000477527,9606.ENSP00000244537,113.0,95.0
40,9606.ENSP00000484261,9606.ENSP00000244537,102.0,95.0
41,9606.ENSP00000349430,9606.ENSP00000244537,56.0,95.0
42,9606.ENSP00000438615,9606.ENSP00000245907,54.0,49.0
43,9606.ENSP00000396688,9606.ENSP00000245907,33.0,49.0
44,9606.ENSP00000385035,9606.ENSP00000245907,48.0,49.0
45,9606.ENSP00000415941,9606.ENSP00000245907,32.0,49.0
46,9606.ENSP00000360281,9606.ENSP00000245907,26.0,49.0
47,9606.ENSP00000346509,9606.ENSP00000254810,106.0,53.0
48,9606.ENSP00000328484,9606.ENSP00000254810,130.0,53.0
49,9606.ENSP00000479284,9606.ENSP00000254810,2.0,53.0
50,9606.ENSP00000477870,9606.ENSP00000254810,82.0,53.0
51,9606.ENSP00000289316,9606.ENSP00000254810,45.0,53.0
52,9606.ENSP00000351589,9606.ENSP00000254810,132.0,53.0
53,9606.ENSP00000296417,9606.ENSP00000254810,44.0,53.0
54,9606.ENSP00000333277,9606.ENSP00000254810,123.0,53.0
55,9606.ENSP00000358151,9606.ENSP00000254810,84.0,53.0
56,9606.ENSP00000476136,9606.ENSP00000254810,79.0,53.0
57,9606.ENSP00000321744,9606.ENSP00000254810,118.0,53.0
58,9606.ENSP00000303373,9606.ENSP00000254810,127.0,53.0
59,9606.ENSP00000332194,9606.ENSP00000254810,104.0,53.0
60,9606.ENSP00000358155,9606.ENSP00000254810,124.0,53.0
61,9606.ENSP00000484261,9606.ENSP00000254810,102.0,53.0
62,9606.ENSP00000339835,9606.ENSP00000254810,103.0,53.0
63,9606.ENSP00000349430,9606.ENSP00000254810,56.0,53.0
64,9606.ENSP00000356946,9606.ENSP00000264246,23.0,0.0
65,9606.ENSP00000359663,9606.ENSP00000264246,119.0,0.0
66,9606.ENSP00000361359,9606.ENSP00000264246,120.0,0.0
67,9606.ENSP00000351497,9606.ENSP00000264246,25.0,0.0
68,9606.ENSP00000353099,9606.ENSP00000264246,58.0,0.0
69,9606.ENSP00000398698,9606.ENSP00000264246,65.0,0.0
70,9606.ENSP00000271450,9606.ENSP00000264246,19.0,0.0
71,9606.ENSP00000433642,9606.ENSP00000264246,18.0,0.0
72,9606.ENSP00000378786,9606.ENSP00000264246,60.0,0.0
73,9606.ENSP00000398698,9606.ENSP00000271450,65.0,19.0
74,9606.ENSP00000332049,9606.ENSP00000271450,1.0,19.0
75,9606.ENSP00000356946,9606.ENSP00000271450,23.0,19.0
76,9606.ENSP00000351497,9606.ENSP00000271450,25.0,19.0
77,9606.ENSP00000355657,9606.ENSP00000274764,21.0,131.0
78,9606.ENSP00000352252,9606.ENSP00000274764,100.0,131.0
79,9606.ENSP00000378786,9606.ENSP00000274764,60.0,131.0
80,9606.ENSP00000423563,9606.ENSP00000274764,4.0,131.0
81,9606.ENSP00000328484,9606.ENSP00000274764,130.0,131.0
82,9606.ENSP00000346509,9606.ENSP00000274764,106.0,131.0
83,9606.ENSP00000332790,9606.ENSP00000274764,11.0,131.0
84,9606.ENSP00000479284,9606.ENSP00000274764,2.0,131.0
85,9606.ENSP00000438553,9606.ENSP00000274764,107.0,131.0
86,9606.ENSP00000358155,9606.ENSP00000274764,124.0,131.0
87,9606.ENSP00000366618,9606.ENSP00000274764,110.0,131.0
88,9606.ENSP00000484261,9606.ENSP00000274764,102.0,131.0
89,9606.ENSP00000355656,9606.ENSP00000274764,8.0,131.0
90,9606.ENSP00000351589,9606.ENSP00000274764,132.0,131.0
91,9606.ENSP00000362352,9606.ENSP00000274764,68.0,131.0
92,9606.ENSP00000296417,9606.ENSP00000274764,44.0,131.0
93,9606.ENSP00000434024,9606.ENSP00000274764,43.0,131.0
94,9606.ENSP00000333277,9606.ENSP00000274764,123.0,131.0
95,9606.ENSP00000303373,9606.ENSP00000274764,127.0,131.0
96,9606.ENSP00000367022,9606.ENSP00000274764,128.0,131.0
