,protein1,protein2,id1,id2
0,9606.ENSP00000288139,9606.ENSP00000005284,27.0,57.0
1,9606.ENSP00000365441,9606.ENSP00000005284,31.0,57.0
2,9606.ENSP00000355192,9606.ENSP00000005284,34.0,57.0
3,9606.ENSP00000252729,9606.ENSP00000005284,12.0,57.0
4,9606.ENSP00000438949,9606.ENSP00000005284,4.0,57.0
5,9606.ENSP00000372169,9606.ENSP00000005284,46.0,57.0
6,9606.ENSP00000226021,9606.ENSP00000005284,5.0,57.0
7,9606.ENSP00000266376,9606.ENSP00000005284,29.0,57.0
8,9606.ENSP00000377840,9606.ENSP00000005284,1.0,57.0
9,9606.ENSP00000301050,9606.ENSP00000005284,3.0,57.0
10,9606.ENSP00000375647,9606.ENSP00000005284,14.0,57.0
11,9606.ENSP00000320025,9606.ENSP00000005284,2.0,57.0
12,9606.ENSP00000300105,9606.ENSP00000005284,55.0,57.0
13,9606.ENSP00000436836,9606.ENSP00000005284,75.0,57.0
14,9606.ENSP00000270458,9606.ENSP00000005284,10.0,57.0
15,9606.ENSP00000262138,9606.ENSP00000005284,76.0,57.0
16,9606.ENSP00000261023,9606.ENSP00000007722,41.0,17.0
17,9606.ENSP00000327290,9606.ENSP00000007722,23.0,17.0
18,9606.ENSP00000349960,9606.ENSP00000007722,70.0,17.0
19,9606.ENSP00000358310,9606.ENSP00000007722,49.0,17.0
20,9606.ENSP00000367316,9606.ENSP00000007722,53.0,17.0
21,9606.ENSP00000282588,9606.ENSP00000007722,74.0,17.0
22,9606.ENSP00000293379,9606.ENSP00000007722,21.0,17.0
23,9606.ENSP00000380227,9606.ENSP00000007722,15.0,17.0
24,9606.ENSP00000400365,9606.ENSP00000007722,58.0,17.0
25,9606.ENSP00000296585,9606.ENSP00000007722,73.0,17.0
26,9606.ENSP00000264741,9606.ENSP00000007722,7.0,17.0
27,9606.ENSP00000452786,9606.ENSP00000200181,32.0,35.0
28,9606.ENSP00000262407,9606.ENSP00000200181,19.0,35.0
29,9606.ENSP00000296181,9606.ENSP00000200181,38.0,35.0
30,9606.ENSP00000380227,9606.ENSP00000200181,15.0,35.0
31,9606.ENSP00000222573,9606.ENSP00000200181,67.0,35.0
32,9606.ENSP00000293379,9606.ENSP00000200181,21.0,35.0
33,9606.ENSP00000452120,9606.ENSP00000200181,20.0,35.0
34,9606.ENSP00000261023,9606.ENSP00000200181,41.0,35.0
35,9606.ENSP00000358310,9606.ENSP00000200181,49.0,35.0
36,9606.ENSP00000283249,9606.ENSP00000200181,39.0,35.0
37,9606.ENSP00000264741,9606.ENSP00000200181,7.0,35.0
38,9606.ENSP00000400365,9606.ENSP00000200181,58.0,35.0
39,9606.ENSP00000296585,9606.ENSP00000200181,73.0,35.0
40,9606.ENSP00000367316,9606.ENSP00000200181,53.0,35.0
41,9606.ENSP00000282588,9606.ENSP00000200181,74.0,35.0
42,9606.ENSP00000379350,9606.ENSP00000200181,42.0,35.0
43,9606.ENSP00000327290,9606.ENSP00000200181,23.0,35.0
44,9606.ENSP00000349960,9606.ENSP00000200181,70.0,35.0
45,9606.ENSP00000267082,9606.ENSP00000200181,40.0,35.0
46,9606.ENSP00000370839,9606.ENSP00000218867,54.0,51.0
47,9606.ENSP00000442600,9606.ENSP00000218867,56.0,51.0
48,9606.ENSP00000379350,9606.ENSP00000221930,42.0,63.0
49,9606.ENSP00000238682,9606.ENSP00000221930,72.0,63.0
50,9606.ENSP00000398698,9606.ENSP00000221930,6.0,63.0
51,9606.ENSP00000355896,9606.ENSP00000221930,59.0,63.0
52,9606.ENSP00000222573,9606.ENSP00000221930,67.0,63.0
53,9606.ENSP00000452786,9606.ENSP00000221930,32.0,63.0
54,9606.ENSP00000296181,9606.ENSP00000221930,38.0,63.0
55,9606.ENSP00000302665,9606.ENSP00000221930,8.0,63.0
56,9606.ENSP00000238682,9606.ENSP00000222573,72.0,67.0
57,9606.ENSP00000380227,9606.ENSP00000222573,15.0,67.0
58,9606.ENSP00000293379,9606.ENSP00000222573,21.0,67.0
59,9606.ENSP00000452120,9606.ENSP00000222573,20.0,67.0
60,9606.ENSP00000282588,9606.ENSP00000222573,74.0,67.0
61,9606.ENSP00000379350,9606.ENSP00000222573,42.0,67.0
62,9606.ENSP00000267082,9606.ENSP00000222573,40.0,67.0
63,9606.ENSP00000283249,9606.ENSP00000222573,39.0,67.0
64,9606.ENSP00000386896,9606.ENSP00000222573,71.0,67.0
65,9606.ENSP00000264741,9606.ENSP00000222573,7.0,67.0
66,9606.ENSP00000452786,9606.ENSP00000222573,32.0,67.0
67,9606.ENSP00000262407,9606.ENSP00000222573,19.0,67.0
68,9606.ENSP00000296181,9606.ENSP00000222573,38.0,67.0
69,9606.ENSP00000400365,9606.ENSP00000222573,58.0,67.0
70,9606.ENSP00000296585,9606.ENSP00000222573,73.0,67.0
71,9606.ENSP00000419101,9606.ENSP00000226021,26.0,5.0
72,9606.ENSP00000301050,9606.ENSP00000226021,3.0,5.0
73,9606.ENSP00000262138,9606.ENSP00000226021,76.0,5.0
74,9606.ENSP00000375647,9606.ENSP00000226021,14.0,5.0
75,9606.ENSP00000365441,9606.ENSP00000226021,31.0,5.0
76,9606.ENSP00000320025,9606.ENSP00000226021,2.0,5.0
77,9606.ENSP00000436836,9606.ENSP00000226021,75.0,5.0
78,9606.ENSP00000252729,9606.ENSP00000226021,12.0,5.0
79,9606.ENSP00000438949,9606.ENSP00000226021,4.0,5.0
80,9606.ENSP00000355192,9606.ENSP00000226021,34.0,5.0
81,9606.ENSP00000300105,9606.ENSP00000226021,55.0,5.0
82,9606.ENSP00000270458,9606.ENSP00000226021,10.0,5.0
83,9606.ENSP00000266376,9606.ENSP00000226021,29.0,5.0
84,9606.ENSP00000418081,9606.ENSP00000226021,33.0,5.0
85,9606.ENSP00000354923,9606.ENSP00000228841,25.0,62.0
