,protein1,protein2,id1,id2
0,9606.ENSP00000288139,9606.ENSP00000005284,28.0,57.0
1,9606.ENSP00000365441,9606.ENSP00000005284,31.0,57.0
2,9606.ENSP00000355192,9606.ENSP00000005284,34.0,57.0
3,9606.ENSP00000252729,9606.ENSP00000005284,11.0,57.0
4,9606.ENSP00000438949,9606.ENSP00000005284,4.0,57.0
5,9606.ENSP00000372169,9606.ENSP00000005284,43.0,57.0
6,9606.ENSP00000226021,9606.ENSP00000005284,5.0,57.0
7,9606.ENSP00000266376,9606.ENSP00000005284,30.0,57.0
8,9606.ENSP00000377840,9606.ENSP00000005284,1.0,57.0
9,9606.ENSP00000301050,9606.ENSP00000005284,3.0,57.0
10,9606.ENSP00000375647,9606.ENSP00000005284,13.0,57.0
11,9606.ENSP00000320025,9606.ENSP00000005284,2.0,57.0
12,9606.ENSP00000300105,9606.ENSP00000005284,54.0,57.0
13,9606.ENSP00000436836,9606.ENSP00000005284,66.0,57.0
14,9606.ENSP00000270458,9606.ENSP00000005284,7.0,57.0
15,9606.ENSP00000262138,9606.ENSP00000005284,67.0,57.0
16,9606.ENSP00000261023,9606.ENSP00000007722,39.0,15.0
17,9606.ENSP00000327290,9606.ENSP00000007722,22.0,15.0
18,9606.ENSP00000349960,9606.ENSP00000007722,62.0,15.0
19,9606.ENSP00000358310,9606.ENSP00000007722,48.0,15.0
20,9606.ENSP00000367316,9606.ENSP00000007722,52.0,15.0
21,9606.ENSP00000282588,9606.ENSP00000007722,65.0,15.0
22,9606.ENSP00000293379,9606.ENSP00000007722,19.0,15.0
23,9606.ENSP00000380227,9606.ENSP00000007722,14.0,15.0
24,9606.ENSP00000252699,9606.ENSP00000007722,21.0,15.0
25,9606.ENSP00000400365,9606.ENSP00000007722,59.0,15.0
26,9606.ENSP00000296585,9606.ENSP00000007722,64.0,15.0
27,9606.ENSP00000377941,9606.ENSP00000007722,25.0,15.0
28,9606.ENSP00000264741,9606.ENSP00000007722,6.0,15.0
29,9606.ENSP00000304669,9606.ENSP00000070846,45.0,44.0
30,9606.ENSP00000377941,9606.ENSP00000200181,25.0,35.0
31,9606.ENSP00000452786,9606.ENSP00000200181,32.0,35.0
32,9606.ENSP00000262407,9606.ENSP00000200181,16.0,35.0
33,9606.ENSP00000296181,9606.ENSP00000200181,36.0,35.0
34,9606.ENSP00000380227,9606.ENSP00000200181,14.0,35.0
35,9606.ENSP00000222573,9606.ENSP00000200181,61.0,35.0
36,9606.ENSP00000293379,9606.ENSP00000200181,19.0,35.0
37,9606.ENSP00000452120,9606.ENSP00000200181,17.0,35.0
38,9606.ENSP00000261023,9606.ENSP00000200181,39.0,35.0
39,9606.ENSP00000358310,9606.ENSP00000200181,48.0,35.0
40,9606.ENSP00000283249,9606.ENSP00000200181,37.0,35.0
41,9606.ENSP00000264741,9606.ENSP00000200181,6.0,35.0
42,9606.ENSP00000400365,9606.ENSP00000200181,59.0,35.0
43,9606.ENSP00000296585,9606.ENSP00000200181,64.0,35.0
44,9606.ENSP00000252699,9606.ENSP00000200181,21.0,35.0
45,9606.ENSP00000367316,9606.ENSP00000200181,52.0,35.0
46,9606.ENSP00000282588,9606.ENSP00000200181,65.0,35.0
47,9606.ENSP00000379350,9606.ENSP00000200181,40.0,35.0
48,9606.ENSP00000327290,9606.ENSP00000200181,22.0,35.0
49,9606.ENSP00000377508,9606.ENSP00000200181,9.0,35.0
50,9606.ENSP00000349960,9606.ENSP00000200181,62.0,35.0
51,9606.ENSP00000267082,9606.ENSP00000200181,38.0,35.0
52,9606.ENSP00000370839,9606.ENSP00000218867,53.0,50.0
53,9606.ENSP00000442600,9606.ENSP00000218867,56.0,50.0
54,9606.ENSP00000380227,9606.ENSP00000222573,14.0,61.0
55,9606.ENSP00000293379,9606.ENSP00000222573,19.0,61.0
56,9606.ENSP00000452120,9606.ENSP00000222573,17.0,61.0
57,9606.ENSP00000282588,9606.ENSP00000222573,65.0,61.0
58,9606.ENSP00000379350,9606.ENSP00000222573,40.0,61.0
59,9606.ENSP00000267082,9606.ENSP00000222573,38.0,61.0
60,9606.ENSP00000283249,9606.ENSP00000222573,37.0,61.0
61,9606.ENSP00000386896,9606.ENSP00000222573,63.0,61.0
62,9606.ENSP00000264741,9606.ENSP00000222573,6.0,61.0
63,9606.ENSP00000452786,9606.ENSP00000222573,32.0,61.0
64,9606.ENSP00000262407,9606.ENSP00000222573,16.0,61.0
65,9606.ENSP00000296181,9606.ENSP00000222573,36.0,61.0
66,9606.ENSP00000400365,9606.ENSP00000222573,59.0,61.0
67,9606.ENSP00000296585,9606.ENSP00000222573,64.0,61.0
68,9606.ENSP00000419101,9606.ENSP00000226021,27.0,5.0
69,9606.ENSP00000301050,9606.ENSP00000226021,3.0,5.0
70,9606.ENSP00000262138,9606.ENSP00000226021,67.0,5.0
71,9606.ENSP00000375647,9606.ENSP00000226021,13.0,5.0
72,9606.ENSP00000365441,9606.ENSP00000226021,31.0,5.0
73,9606.ENSP00000320025,9606.ENSP00000226021,2.0,5.0
74,9606.ENSP00000436836,9606.ENSP00000226021,66.0,5.0
75,9606.ENSP00000252729,9606.ENSP00000226021,11.0,5.0
76,9606.ENSP00000438949,9606.ENSP00000226021,4.0,5.0
77,9606.ENSP00000355192,9606.ENSP00000226021,34.0,5.0
78,9606.ENSP00000300105,9606.ENSP00000226021,54.0,5.0
79,9606.ENSP00000270458,9606.ENSP00000226021,7.0,5.0
80,9606.ENSP00000266376,9606.ENSP00000226021,30.0,5.0
81,9606.ENSP00000418081,9606.ENSP00000226021,33.0,5.0
82,9606.ENSP00000344456,9606.ENSP00000252699,58.0,21.0
83,9606.ENSP00000304669,9606.ENSP00000252699,45.0,21.0
84,9606.ENSP00000293379,9606.ENSP00000252699,19.0,21.0
85,9606.ENSP00000386896,9606.ENSP00000252699,63.0,21.0
86,9606.ENSP00000452786,9606.ENSP00000252699,32.0,21.0
87,9606.ENSP00000296181,9606.ENSP00000252699,36.0,21.0
88,9606.ENSP00000458162,9606.ENSP00000252699,42.0,21.0
