,protein1,protein2,id1,id2
0,9606.ENSP00000288139,9606.ENSP00000005284,32.0,62.0
1,9606.ENSP00000365441,9606.ENSP00000005284,36.0,62.0
2,9606.ENSP00000355192,9606.ENSP00000005284,39.0,62.0
3,9606.ENSP00000252729,9606.ENSP00000005284,16.0,62.0
4,9606.ENSP00000438949,9606.ENSP00000005284,6.0,62.0
5,9606.ENSP00000372169,9606.ENSP00000005284,51.0,62.0
6,9606.ENSP00000226021,9606.ENSP00000005284,8.0,62.0
7,9606.ENSP00000266376,9606.ENSP00000005284,34.0,62.0
8,9606.ENSP00000377840,9606.ENSP00000005284,1.0,62.0
9,9606.ENSP00000301050,9606.ENSP00000005284,4.0,62.0
10,9606.ENSP00000375647,9606.ENSP00000005284,18.0,62.0
11,9606.ENSP00000320025,9606.ENSP00000005284,2.0,62.0
12,9606.ENSP00000300105,9606.ENSP00000005284,60.0,62.0
13,9606.ENSP00000436836,9606.ENSP00000005284,81.0,62.0
14,9606.ENSP00000270458,9606.ENSP00000005284,15.0,62.0
15,9606.ENSP00000262138,9606.ENSP00000005284,82.0,62.0
16,9606.ENSP00000261023,9606.ENSP00000007722,46.0,23.0
17,9606.ENSP00000327290,9606.ENSP00000007722,29.0,23.0
18,9606.ENSP00000349960,9606.ENSP00000007722,76.0,23.0
19,9606.ENSP00000358310,9606.ENSP00000007722,54.0,23.0
20,9606.ENSP00000367316,9606.ENSP00000007722,58.0,23.0
21,9606.ENSP00000282588,9606.ENSP00000007722,80.0,23.0
22,9606.ENSP00000293379,9606.ENSP00000007722,27.0,23.0
23,9606.ENSP00000380227,9606.ENSP00000007722,21.0,23.0
24,9606.ENSP00000400365,9606.ENSP00000007722,65.0,23.0
25,9606.ENSP00000296585,9606.ENSP00000007722,79.0,23.0
26,9606.ENSP00000264741,9606.ENSP00000007722,12.0,23.0
27,9606.ENSP00000452786,9606.ENSP00000200181,37.0,40.0
28,9606.ENSP00000262407,9606.ENSP00000200181,25.0,40.0
29,9606.ENSP00000296181,9606.ENSP00000200181,43.0,40.0
30,9606.ENSP00000380227,9606.ENSP00000200181,21.0,40.0
31,9606.ENSP00000222573,9606.ENSP00000200181,74.0,40.0
32,9606.ENSP00000293379,9606.ENSP00000200181,27.0,40.0
33,9606.ENSP00000452120,9606.ENSP00000200181,26.0,40.0
34,9606.ENSP00000261023,9606.ENSP00000200181,46.0,40.0
35,9606.ENSP00000358310,9606.ENSP00000200181,54.0,40.0
36,9606.ENSP00000283249,9606.ENSP00000200181,44.0,40.0
37,9606.ENSP00000264741,9606.ENSP00000200181,12.0,40.0
38,9606.ENSP00000400365,9606.ENSP00000200181,65.0,40.0
39,9606.ENSP00000296585,9606.ENSP00000200181,79.0,40.0
40,9606.ENSP00000367316,9606.ENSP00000200181,58.0,40.0
41,9606.ENSP00000282588,9606.ENSP00000200181,80.0,40.0
42,9606.ENSP00000379350,9606.ENSP00000200181,47.0,40.0
43,9606.ENSP00000327290,9606.ENSP00000200181,29.0,40.0
44,9606.ENSP00000349960,9606.ENSP00000200181,76.0,40.0
45,9606.ENSP00000267082,9606.ENSP00000200181,45.0,40.0
46,9606.ENSP00000370839,9606.ENSP00000218867,59.0,56.0
47,9606.ENSP00000442600,9606.ENSP00000218867,61.0,56.0
48,9606.ENSP00000379350,9606.ENSP00000221930,47.0,70.0
49,9606.ENSP00000238682,9606.ENSP00000221930,78.0,70.0
50,9606.ENSP00000398698,9606.ENSP00000221930,11.0,70.0
51,9606.ENSP00000355896,9606.ENSP00000221930,66.0,70.0
52,9606.ENSP00000222573,9606.ENSP00000221930,74.0,70.0
