,protein1,protein2,id1,id2
0,9606.ENSP00000370223,9606.ENSP00000205402,0.0,19.0
1,9606.ENSP00000264932,9606.ENSP00000205402,24.0,19.0
2,9606.ENSP00000217901,9606.ENSP00000205402,28.0,19.0
3,9606.ENSP00000342056,9606.ENSP00000205402,3.0,19.0
4,9606.ENSP00000419325,9606.ENSP00000205402,27.0,19.0
5,9606.ENSP00000355518,9606.ENSP00000205402,8.0,19.0
6,9606.ENSP00000299518,9606.ENSP00000205402,12.0,19.0
7,9606.ENSP00000377446,9606.ENSP00000205402,25.0,19.0
8,9606.ENSP00000216254,9606.ENSP00000205402,29.0,19.0
9,9606.ENSP00000364649,9606.ENSP00000205402,11.0,19.0
10,9606.ENSP00000438144,9606.ENSP00000216254,20.0,29.0
11,9606.ENSP00000377532,9606.ENSP00000216254,23.0,29.0
12,9606.ENSP00000309477,9606.ENSP00000216254,16.0,29.0
13,9606.ENSP00000363216,9606.ENSP00000216254,22.0,29.0
14,9606.ENSP00000222673,9606.ENSP00000216254,10.0,29.0
15,9606.ENSP00000335304,9606.ENSP00000216254,1.0,29.0
16,9606.ENSP00000364699,9606.ENSP00000216254,9.0,29.0
17,9606.ENSP00000280346,9606.ENSP00000216254,21.0,29.0
18,9606.ENSP00000369134,9606.ENSP00000216254,6.0,29.0
19,9606.ENSP00000364649,9606.ENSP00000216254,11.0,29.0
20,9606.ENSP00000377446,9606.ENSP00000216254,25.0,29.0
21,9606.ENSP00000367923,9606.ENSP00000216254,26.0,29.0
22,9606.ENSP00000319814,9606.ENSP00000216780,5.0,2.0
23,9606.ENSP00000295266,9606.ENSP00000216780,7.0,2.0
24,9606.ENSP00000342056,9606.ENSP00000216780,3.0,2.0
25,9606.ENSP00000307241,9606.ENSP00000216780,4.0,2.0
26,9606.ENSP00000438144,9606.ENSP00000216780,20.0,2.0
27,9606.ENSP00000253792,9606.ENSP00000216780,17.0,2.0
28,9606.ENSP00000327070,9606.ENSP00000216780,18.0,2.0
29,9606.ENSP00000280346,9606.ENSP00000216780,21.0,2.0
30,9606.ENSP00000364649,9606.ENSP00000217901,11.0,28.0
31,9606.ENSP00000369134,9606.ENSP00000217901,6.0,28.0
32,9606.ENSP00000356953,9606.ENSP00000217901,13.0,28.0
33,9606.ENSP00000264932,9606.ENSP00000217901,24.0,28.0
34,9606.ENSP00000367923,9606.ENSP00000217901,26.0,28.0
35,9606.ENSP00000335304,9606.ENSP00000217901,1.0,28.0
36,9606.ENSP00000327070,9606.ENSP00000217901,18.0,28.0
37,9606.ENSP00000253792,9606.ENSP00000217901,17.0,28.0
38,9606.ENSP00000438144,9606.ENSP00000217901,20.0,28.0
39,9606.ENSP00000307241,9606.ENSP00000217901,4.0,28.0
40,9606.ENSP00000355518,9606.ENSP00000217901,8.0,28.0
41,9606.ENSP00000419325,9606.ENSP00000217901,27.0,28.0
42,9606.ENSP00000280346,9606.ENSP00000217901,21.0,28.0
43,9606.ENSP00000264932,9606.ENSP00000222673,24.0,10.0
44,9606.ENSP00000367923,9606.ENSP00000222673,26.0,10.0
45,9606.ENSP00000295266,9606.ENSP00000222673,7.0,10.0
46,9606.ENSP00000364649,9606.ENSP00000222673,11.0,10.0
47,9606.ENSP00000342056,9606.ENSP00000222673,3.0,10.0
48,9606.ENSP00000356953,9606.ENSP00000222673,13.0,10.0
49,9606.ENSP00000363216,9606.ENSP00000222673,22.0,10.0
50,9606.ENSP00000419325,9606.ENSP00000222673,27.0,10.0
51,9606.ENSP00000327070,9606.ENSP00000222673,18.0,10.0
52,9606.ENSP00000253792,9606.ENSP00000222673,17.0,10.0
53,9606.ENSP00000307241,9606.ENSP00000222673,4.0,10.0
54,9606.ENSP00000355518,9606.ENSP00000222673,8.0,10.0
55,9606.ENSP00000438144,9606.ENSP00000222673,20.0,10.0
56,9606.ENSP00000355518,9606.ENSP00000253792,8.0,17.0
57,9606.ENSP00000299518,9606.ENSP00000253792,12.0,17.0
58,9606.ENSP00000331897,9606.ENSP00000253792,14.0,17.0
59,9606.ENSP00000377446,9606.ENSP00000253792,25.0,17.0
60,9606.ENSP00000319814,9606.ENSP00000253792,5.0,17.0
61,9606.ENSP00000364649,9606.ENSP00000253792,11.0,17.0
62,9606.ENSP00000390265,9606.ENSP00000253792,15.0,17.0
63,9606.ENSP00000307241,9606.ENSP00000253792,4.0,17.0
64,9606.ENSP00000370223,9606.ENSP00000253792,0.0,17.0
65,9606.ENSP00000309477,9606.ENSP00000253792,16.0,17.0
66,9606.ENSP00000264932,9606.ENSP00000253792,24.0,17.0
67,9606.ENSP00000390265,9606.ENSP00000264932,15.0,24.0
68,9606.ENSP00000369134,9606.ENSP00000264932,6.0,24.0
69,9606.ENSP00000331897,9606.ENSP00000264932,14.0,24.0
70,9606.ENSP00000280346,9606.ENSP00000264932,21.0,24.0
71,9606.ENSP00000327070,9606.ENSP00000264932,18.0,24.0
72,9606.ENSP00000299518,9606.ENSP00000264932,12.0,24.0
73,9606.ENSP00000335304,9606.ENSP00000264932,1.0,24.0
74,9606.ENSP00000342056,9606.ENSP00000264932,3.0,24.0
75,9606.ENSP00000363216,9606.ENSP00000264932,22.0,24.0
76,9606.ENSP00000309477,9606.ENSP00000264932,16.0,24.0
77,9606.ENSP00000307241,9606.ENSP00000264932,4.0,24.0
78,9606.ENSP00000438144,9606.ENSP00000264932,20.0,24.0
79,9606.ENSP00000370223,9606.ENSP00000264932,0.0,24.0
80,9606.ENSP00000364649,9606.ENSP00000280346,11.0,21.0
81,9606.ENSP00000319814,9606.ENSP00000280346,5.0,21.0
82,9606.ENSP00000327070,9606.ENSP00000280346,18.0,21.0
83,9606.ENSP00000299518,9606.ENSP00000280346,12.0,21.0
