,protein1,protein2,id1,id2
0,9606.ENSP00000377192,9606.ENSP00000226253,22.0,15.0
1,9606.ENSP00000405573,9606.ENSP00000226253,26.0,15.0
2,9606.ENSP00000358931,9606.ENSP00000226253,24.0,15.0
3,9606.ENSP00000473348,9606.ENSP00000226253,17.0,15.0
4,9606.ENSP00000371393,9606.ENSP00000226253,2.0,15.0
5,9606.ENSP00000391481,9606.ENSP00000226253,9.0,15.0
6,9606.ENSP00000280605,9606.ENSP00000226253,11.0,15.0
7,9606.ENSP00000416583,9606.ENSP00000226253,21.0,15.0
8,9606.ENSP00000321259,9606.ENSP00000226253,8.0,15.0
9,9606.ENSP00000363988,9606.ENSP00000226253,16.0,15.0
10,9606.ENSP00000358931,9606.ENSP00000252603,24.0,3.0
11,9606.ENSP00000321259,9606.ENSP00000252603,8.0,3.0
12,9606.ENSP00000352401,9606.ENSP00000252603,0.0,3.0
13,9606.ENSP00000405573,9606.ENSP00000252603,26.0,3.0
14,9606.ENSP00000391481,9606.ENSP00000252603,9.0,3.0
15,9606.ENSP00000473348,9606.ENSP00000252603,17.0,3.0
16,9606.ENSP00000283646,9606.ENSP00000252603,1.0,3.0
17,9606.ENSP00000358931,9606.ENSP00000269848,24.0,7.0
18,9606.ENSP00000370517,9606.ENSP00000269848,25.0,7.0
19,9606.ENSP00000408025,9606.ENSP00000269848,10.0,7.0
20,9606.ENSP00000321259,9606.ENSP00000269848,8.0,7.0
21,9606.ENSP00000364486,9606.ENSP00000269848,5.0,7.0
22,9606.ENSP00000280605,9606.ENSP00000269848,11.0,7.0
23,9606.ENSP00000391481,9606.ENSP00000269848,9.0,7.0
24,9606.ENSP00000280605,9606.ENSP00000270776,11.0,12.0
25,9606.ENSP00000405573,9606.ENSP00000270776,26.0,12.0
26,9606.ENSP00000391481,9606.ENSP00000270776,9.0,12.0
27,9606.ENSP00000371393,9606.ENSP00000270776,2.0,12.0
28,9606.ENSP00000360124,9606.ENSP00000270776,23.0,12.0
29,9606.ENSP00000358931,9606.ENSP00000270776,24.0,12.0
30,9606.ENSP00000364486,9606.ENSP00000280605,5.0,11.0
31,9606.ENSP00000345771,9606.ENSP00000280605,6.0,11.0
32,9606.ENSP00000378669,9606.ENSP00000280605,14.0,11.0
33,9606.ENSP00000416583,9606.ENSP00000280605,21.0,11.0
34,9606.ENSP00000370517,9606.ENSP00000280605,25.0,11.0
35,9606.ENSP00000363988,9606.ENSP00000280605,16.0,11.0
36,9606.ENSP00000358931,9606.ENSP00000280605,24.0,11.0
37,9606.ENSP00000424595,9606.ENSP00000280605,19.0,11.0
38,9606.ENSP00000381504,9606.ENSP00000280605,4.0,11.0
39,9606.ENSP00000473348,9606.ENSP00000280605,17.0,11.0
40,9606.ENSP00000306817,9606.ENSP00000280605,13.0,11.0
41,9606.ENSP00000391481,9606.ENSP00000280605,9.0,11.0
42,9606.ENSP00000371393,9606.ENSP00000280605,2.0,11.0
43,9606.ENSP00000408025,9606.ENSP00000280605,10.0,11.0
44,9606.ENSP00000405573,9606.ENSP00000280605,26.0,11.0
45,9606.ENSP00000361512,9606.ENSP00000280605,20.0,11.0
46,9606.ENSP00000377192,9606.ENSP00000280605,22.0,11.0
47,9606.ENSP00000381504,9606.ENSP00000283646,4.0,1.0
48,9606.ENSP00000473348,9606.ENSP00000283646,17.0,1.0
49,9606.ENSP00000371393,9606.ENSP00000283646,2.0,1.0
50,9606.ENSP00000405573,9606.ENSP00000283646,26.0,1.0
51,9606.ENSP00000377192,9606.ENSP00000283646,22.0,1.0
52,9606.ENSP00000416583,9606.ENSP00000306817,21.0,13.0
53,9606.ENSP00000321259,9606.ENSP00000306817,8.0,13.0
54,9606.ENSP00000358931,9606.ENSP00000306817,24.0,13.0
55,9606.ENSP00000473348,9606.ENSP00000306817,17.0,13.0
56,9606.ENSP00000381504,9606.ENSP00000306817,4.0,13.0
57,9606.ENSP00000352401,9606.ENSP00000306817,0.0,13.0
58,9606.ENSP00000370517,9606.ENSP00000321259,25.0,8.0
59,9606.ENSP00000476672,9606.ENSP00000321259,18.0,8.0
60,9606.ENSP00000363988,9606.ENSP00000321259,16.0,8.0
61,9606.ENSP00000416583,9606.ENSP00000321259,21.0,8.0
62,9606.ENSP00000371393,9606.ENSP00000321259,2.0,8.0
63,9606.ENSP00000377192,9606.ENSP00000321259,22.0,8.0
64,9606.ENSP00000360124,9606.ENSP00000321259,23.0,8.0
65,9606.ENSP00000358931,9606.ENSP00000345771,24.0,6.0
66,9606.ENSP00000377192,9606.ENSP00000345771,22.0,6.0
67,9606.ENSP00000408025,9606.ENSP00000345771,10.0,6.0
68,9606.ENSP00000364486,9606.ENSP00000345771,5.0,6.0
69,9606.ENSP00000473348,9606.ENSP00000345771,17.0,6.0
70,9606.ENSP00000473348,9606.ENSP00000352401,17.0,0.0
71,9606.ENSP00000377192,9606.ENSP00000352401,22.0,0.0
72,9606.ENSP00000405573,9606.ENSP00000352401,26.0,0.0
73,9606.ENSP00000476672,9606.ENSP00000352401,18.0,0.0
74,9606.ENSP00000408025,9606.ENSP00000358931,10.0,24.0
75,9606.ENSP00000405573,9606.ENSP00000358931,26.0,24.0
76,9606.ENSP00000371393,9606.ENSP00000358931,2.0,24.0
77,9606.ENSP00000391481,9606.ENSP00000358931,9.0,24.0
78,9606.ENSP00000361512,9606.ENSP00000358931,20.0,24.0
79,9606.ENSP00000377192,9606.ENSP00000358931,22.0,24.0
80,9606.ENSP00000381504,9606.ENSP00000358931,4.0,24.0
81,9606.ENSP00000473348,9606.ENSP00000358931,17.0,24.0
82,9606.ENSP00000363988,9606.ENSP00000358931,16.0,24.0
83,9606.ENSP00000370517,9606.ENSP00000358931,25.0,24.0
