,protein1,protein2,id1,id2
0,9606.ENSP00000221403,9606.ENSP00000207870,14.0,17.0
1,9606.ENSP00000285930,9606.ENSP00000207870,19.0,17.0
2,9606.ENSP00000285930,9606.ENSP00000221403,19.0,14.0
3,9606.ENSP00000319501,9606.ENSP00000251566,8.0,22.0
4,9606.ENSP00000302728,9606.ENSP00000251566,10.0,22.0
5,9606.ENSP00000338703,9606.ENSP00000251566,16.0,22.0
6,9606.ENSP00000319501,9606.ENSP00000265403,8.0,18.0
7,9606.ENSP00000387683,9606.ENSP00000265403,15.0,18.0
8,9606.ENSP00000302728,9606.ENSP00000265403,10.0,18.0
9,9606.ENSP00000303356,9606.ENSP00000285930,12.0,19.0
10,9606.ENSP00000334276,9606.ENSP00000302728,5.0,10.0
11,9606.ENSP00000418532,9606.ENSP00000302728,26.0,10.0
12,9606.ENSP00000303174,9606.ENSP00000302728,4.0,10.0
13,9606.ENSP00000305221,9606.ENSP00000302728,21.0,10.0
14,9606.ENSP00000341045,9606.ENSP00000302728,27.0,10.0
15,9606.ENSP00000304811,9606.ENSP00000302728,20.0,10.0
16,9606.ENSP00000387683,9606.ENSP00000302728,15.0,10.0
17,9606.ENSP00000362525,9606.ENSP00000302728,3.0,10.0
18,9606.ENSP00000362513,9606.ENSP00000302728,6.0,10.0
19,9606.ENSP00000320401,9606.ENSP00000302728,24.0,10.0
20,9606.ENSP00000304845,9606.ENSP00000302728,25.0,10.0
21,9606.ENSP00000362549,9606.ENSP00000302728,1.0,10.0
22,9606.ENSP00000346768,9606.ENSP00000302728,11.0,10.0
23,9606.ENSP00000343838,9606.ENSP00000302728,0.0,10.0
24,9606.ENSP00000362508,9606.ENSP00000302728,23.0,10.0
25,9606.ENSP00000319501,9606.ENSP00000303174,8.0,4.0
26,9606.ENSP00000387683,9606.ENSP00000304811,15.0,20.0
27,9606.ENSP00000319501,9606.ENSP00000304811,8.0,20.0
28,9606.ENSP00000319501,9606.ENSP00000304845,8.0,25.0
29,9606.ENSP00000319501,9606.ENSP00000305221,8.0,21.0
30,9606.ENSP00000362525,9606.ENSP00000319501,3.0,8.0
31,9606.ENSP00000362513,9606.ENSP00000319501,6.0,8.0
32,9606.ENSP00000362549,9606.ENSP00000319501,1.0,8.0
33,9606.ENSP00000346768,9606.ENSP00000319501,11.0,8.0
34,9606.ENSP00000341045,9606.ENSP00000319501,27.0,8.0
35,9606.ENSP00000387683,9606.ENSP00000319501,15.0,8.0
36,9606.ENSP00000362508,9606.ENSP00000319501,23.0,8.0
37,9606.ENSP00000343838,9606.ENSP00000319501,0.0,8.0
38,9606.ENSP00000418532,9606.ENSP00000319501,26.0,8.0
39,9606.ENSP00000320401,9606.ENSP00000319501,24.0,8.0
40,9606.ENSP00000334276,9606.ENSP00000319501,5.0,8.0
41,9606.ENSP00000341045,9606.ENSP00000320401,27.0,24.0
42,9606.ENSP00000346768,9606.ENSP00000343838,11.0,0.0
43,9606.ENSP00000362525,9606.ENSP00000343838,3.0,0.0
44,9606.ENSP00000362525,9606.ENSP00000346768,3.0,11.0
45,9606.ENSP00000476672,9606.ENSP00000352401,13.0,2.0
