,protein1,protein2,id1,id2
0,9606.ENSP00000292432,9606.ENSP00000216259,22.0,2.0
1,9606.ENSP00000350949,9606.ENSP00000216259,31.0,2.0
2,9606.ENSP00000290573,9606.ENSP00000216259,21.0,2.0
3,9606.ENSP00000402103,9606.ENSP00000216259,23.0,2.0
4,9606.ENSP00000268261,9606.ENSP00000216259,1.0,2.0
5,9606.ENSP00000292432,9606.ENSP00000226253,22.0,25.0
6,9606.ENSP00000260599,9606.ENSP00000226253,18.0,25.0
7,9606.ENSP00000290573,9606.ENSP00000226253,21.0,25.0
8,9606.ENSP00000402103,9606.ENSP00000226253,23.0,25.0
9,9606.ENSP00000363988,9606.ENSP00000226253,26.0,25.0
10,9606.ENSP00000345771,9606.ENSP00000229270,4.0,9.0
11,9606.ENSP00000269848,9606.ENSP00000229270,7.0,9.0
12,9606.ENSP00000370517,9606.ENSP00000229270,32.0,9.0
13,9606.ENSP00000408025,9606.ENSP00000229270,19.0,9.0
14,9606.ENSP00000290573,9606.ENSP00000232375,21.0,6.0
15,9606.ENSP00000364486,9606.ENSP00000232375,3.0,6.0
16,9606.ENSP00000345771,9606.ENSP00000232375,4.0,6.0
17,9606.ENSP00000269848,9606.ENSP00000232375,7.0,6.0
18,9606.ENSP00000402103,9606.ENSP00000232375,23.0,6.0
19,9606.ENSP00000292432,9606.ENSP00000232375,22.0,6.0
20,9606.ENSP00000364145,9606.ENSP00000232375,15.0,6.0
21,9606.ENSP00000318318,9606.ENSP00000232375,0.0,6.0
22,9606.ENSP00000356047,9606.ENSP00000232375,13.0,6.0
23,9606.ENSP00000370517,9606.ENSP00000232375,32.0,6.0
24,9606.ENSP00000408025,9606.ENSP00000232375,19.0,6.0
25,9606.ENSP00000371221,9606.ENSP00000247665,8.0,10.0
26,9606.ENSP00000292432,9606.ENSP00000260599,22.0,18.0
27,9606.ENSP00000288078,9606.ENSP00000260599,12.0,18.0
28,9606.ENSP00000402103,9606.ENSP00000260599,23.0,18.0
29,9606.ENSP00000267814,9606.ENSP00000260599,30.0,18.0
30,9606.ENSP00000378669,9606.ENSP00000260599,24.0,18.0
31,9606.ENSP00000290573,9606.ENSP00000260599,21.0,18.0
32,9606.ENSP00000402103,9606.ENSP00000267814,23.0,30.0
33,9606.ENSP00000288078,9606.ENSP00000267814,12.0,30.0
34,9606.ENSP00000352584,9606.ENSP00000267814,16.0,30.0
35,9606.ENSP00000290573,9606.ENSP00000267814,21.0,30.0
36,9606.ENSP00000292432,9606.ENSP00000267814,22.0,30.0
37,9606.ENSP00000292432,9606.ENSP00000268261,22.0,1.0
38,9606.ENSP00000290573,9606.ENSP00000268261,21.0,1.0
39,9606.ENSP00000350949,9606.ENSP00000268261,31.0,1.0
40,9606.ENSP00000402103,9606.ENSP00000268261,23.0,1.0
41,9606.ENSP00000370517,9606.ENSP00000269848,32.0,7.0
42,9606.ENSP00000356047,9606.ENSP00000269848,13.0,7.0
43,9606.ENSP00000443319,9606.ENSP00000269848,11.0,7.0
44,9606.ENSP00000408025,9606.ENSP00000269848,19.0,7.0
45,9606.ENSP00000402103,9606.ENSP00000269848,23.0,7.0
46,9606.ENSP00000290573,9606.ENSP00000269848,21.0,7.0
47,9606.ENSP00000364486,9606.ENSP00000269848,3.0,7.0
48,9606.ENSP00000364145,9606.ENSP00000269848,15.0,7.0
49,9606.ENSP00000318318,9606.ENSP00000269848,0.0,7.0
50,9606.ENSP00000292432,9606.ENSP00000269848,22.0,7.0
51,9606.ENSP00000352584,9606.ENSP00000285930,16.0,29.0
52,9606.ENSP00000292432,9606.ENSP00000285930,22.0,29.0
53,9606.ENSP00000402103,9606.ENSP00000285930,23.0,29.0
54,9606.ENSP00000290573,9606.ENSP00000285930,21.0,29.0
55,9606.ENSP00000292432,9606.ENSP00000288078,22.0,12.0
56,9606.ENSP00000359935,9606.ENSP00000288078,17.0,12.0
57,9606.ENSP00000402103,9606.ENSP00000288078,23.0,12.0
58,9606.ENSP00000398803,9606.ENSP00000288078,28.0,12.0
59,9606.ENSP00000370194,9606.ENSP00000288078,5.0,12.0
60,9606.ENSP00000290573,9606.ENSP00000288078,21.0,12.0
61,9606.ENSP00000352584,9606.ENSP00000290573,16.0,21.0
62,9606.ENSP00000443319,9606.ENSP00000290573,11.0,21.0
63,9606.ENSP00000356047,9606.ENSP00000290573,13.0,21.0
