,protein1,protein2,id1,id2
0,9606.ENSP00000302728,9606.ENSP00000223026,4.0,7.0
1,9606.ENSP00000247933,9606.ENSP00000223026,13.0,7.0
2,9606.ENSP00000264914,9606.ENSP00000223026,20.0,7.0
3,9606.ENSP00000247933,9606.ENSP00000225927,13.0,17.0
4,9606.ENSP00000258145,9606.ENSP00000225927,6.0,17.0
5,9606.ENSP00000314606,9606.ENSP00000225927,15.0,17.0
6,9606.ENSP00000302728,9606.ENSP00000247933,4.0,13.0
7,9606.ENSP00000345849,9606.ENSP00000247933,10.0,13.0
8,9606.ENSP00000266031,9606.ENSP00000247933,8.0,13.0
9,9606.ENSP00000337425,9606.ENSP00000247933,5.0,13.0
10,9606.ENSP00000268695,9606.ENSP00000247933,12.0,13.0
11,9606.ENSP00000401853,9606.ENSP00000247933,9.0,13.0
12,9606.ENSP00000306920,9606.ENSP00000258145,3.0,6.0
13,9606.ENSP00000368965,9606.ENSP00000258145,11.0,6.0
14,9606.ENSP00000261416,9606.ENSP00000258145,16.0,6.0
15,9606.ENSP00000268097,9606.ENSP00000258145,18.0,6.0
16,9606.ENSP00000302728,9606.ENSP00000258145,4.0,6.0
17,9606.ENSP00000345849,9606.ENSP00000264914,10.0,20.0
18,9606.ENSP00000401853,9606.ENSP00000264914,9.0,20.0
19,9606.ENSP00000266031,9606.ENSP00000264914,8.0,20.0
20,9606.ENSP00000337425,9606.ENSP00000264914,5.0,20.0
21,9606.ENSP00000302728,9606.ENSP00000266031,4.0,8.0
22,9606.ENSP00000354213,9606.ENSP00000284110,14.0,0.0
23,9606.ENSP00000401853,9606.ENSP00000302728,9.0,4.0
24,9606.ENSP00000337425,9606.ENSP00000302728,5.0,4.0
25,9606.ENSP00000306920,9606.ENSP00000302728,3.0,4.0
26,9606.ENSP00000345849,9606.ENSP00000302728,10.0,4.0
27,9606.ENSP00000359583,9606.ENSP00000339801,2.0,19.0
28,9606.ENSP00000384262,9606.ENSP00000339801,1.0,19.0
29,9606.ENSP00000384262,9606.ENSP00000359583,1.0,2.0
