,protein1,protein2,id1,id2
0,9606.ENSP00000264162,9606.ENSP00000218516,17.0,15.0
1,9606.ENSP00000285930,9606.ENSP00000218516,22.0,15.0
2,9606.ENSP00000364512,9606.ENSP00000223366,14.0,0.0
3,9606.ENSP00000306920,9606.ENSP00000223366,2.0,0.0
4,9606.ENSP00000371393,9606.ENSP00000223366,5.0,0.0
5,9606.ENSP00000292432,9606.ENSP00000223366,12.0,0.0
6,9606.ENSP00000360124,9606.ENSP00000223366,21.0,0.0
7,9606.ENSP00000264162,9606.ENSP00000223366,17.0,0.0
8,9606.ENSP00000402103,9606.ENSP00000223366,11.0,0.0
9,9606.ENSP00000285930,9606.ENSP00000223366,22.0,0.0
10,9606.ENSP00000290573,9606.ENSP00000223366,10.0,0.0
11,9606.ENSP00000290573,9606.ENSP00000253801,10.0,19.0
12,9606.ENSP00000292432,9606.ENSP00000253801,12.0,19.0
13,9606.ENSP00000264162,9606.ENSP00000253801,17.0,19.0
14,9606.ENSP00000371393,9606.ENSP00000253801,5.0,19.0
15,9606.ENSP00000364512,9606.ENSP00000253801,14.0,19.0
16,9606.ENSP00000402103,9606.ENSP00000253801,11.0,19.0
17,9606.ENSP00000285930,9606.ENSP00000253801,22.0,19.0
18,9606.ENSP00000306920,9606.ENSP00000253801,2.0,19.0
19,9606.ENSP00000292432,9606.ENSP00000264162,12.0,17.0
20,9606.ENSP00000310696,9606.ENSP00000264162,23.0,17.0
21,9606.ENSP00000364512,9606.ENSP00000264162,14.0,17.0
22,9606.ENSP00000301046,9606.ENSP00000264162,6.0,17.0
23,9606.ENSP00000369055,9606.ENSP00000264162,4.0,17.0
24,9606.ENSP00000290573,9606.ENSP00000264162,10.0,17.0
25,9606.ENSP00000402103,9606.ENSP00000264162,11.0,17.0
26,9606.ENSP00000285930,9606.ENSP00000264162,22.0,17.0
27,9606.ENSP00000306920,9606.ENSP00000264162,2.0,17.0
28,9606.ENSP00000370517,9606.ENSP00000269848,25.0,8.0
29,9606.ENSP00000402103,9606.ENSP00000269848,11.0,8.0
30,9606.ENSP00000290573,9606.ENSP00000269848,10.0,8.0
31,9606.ENSP00000292432,9606.ENSP00000269848,12.0,8.0
32,9606.ENSP00000364512,9606.ENSP00000285930,14.0,22.0
33,9606.ENSP00000306920,9606.ENSP00000285930,2.0,22.0
34,9606.ENSP00000292432,9606.ENSP00000285930,12.0,22.0
35,9606.ENSP00000402103,9606.ENSP00000285930,11.0,22.0
36,9606.ENSP00000290573,9606.ENSP00000285930,10.0,22.0
37,9606.ENSP00000306920,9606.ENSP00000290573,2.0,10.0
38,9606.ENSP00000370517,9606.ENSP00000290573,25.0,10.0
39,9606.ENSP00000364512,9606.ENSP00000290573,14.0,10.0
40,9606.ENSP00000345771,9606.ENSP00000290573,7.0,10.0
41,9606.ENSP00000402103,9606.ENSP00000290573,11.0,10.0
42,9606.ENSP00000292432,9606.ENSP00000290573,12.0,10.0
43,9606.ENSP00000360124,9606.ENSP00000290573,21.0,10.0
44,9606.ENSP00000371393,9606.ENSP00000290573,5.0,10.0
45,9606.ENSP00000345771,9606.ENSP00000292432,7.0,12.0
46,9606.ENSP00000306920,9606.ENSP00000292432,2.0,12.0
47,9606.ENSP00000402103,9606.ENSP00000292432,11.0,12.0
48,9606.ENSP00000370517,9606.ENSP00000292432,25.0,12.0
49,9606.ENSP00000447378,9606.ENSP00000292432,9.0,12.0
50,9606.ENSP00000360124,9606.ENSP00000292432,21.0,12.0
51,9606.ENSP00000364512,9606.ENSP00000292432,14.0,12.0
52,9606.ENSP00000371393,9606.ENSP00000292432,5.0,12.0
53,9606.ENSP00000368119,9606.ENSP00000301046,13.0,6.0
54,9606.ENSP00000483375,9606.ENSP00000301046,3.0,6.0
55,9606.ENSP00000310696,9606.ENSP00000301046,23.0,6.0
56,9606.ENSP00000306920,9606.ENSP00000301046,2.0,6.0
57,9606.ENSP00000447378,9606.ENSP00000305692,9.0,24.0
58,9606.ENSP00000306920,9606.ENSP00000305692,2.0,24.0
59,9606.ENSP00000447378,9606.ENSP00000306920,9.0,2.0
60,9606.ENSP00000364512,9606.ENSP00000306920,14.0,2.0
61,9606.ENSP00000310696,9606.ENSP00000306920,23.0,2.0
62,9606.ENSP00000369055,9606.ENSP00000306920,4.0,2.0
63,9606.ENSP00000326227,9606.ENSP00000306920,16.0,2.0
64,9606.ENSP00000402103,9606.ENSP00000306920,11.0,2.0
65,9606.ENSP00000368119,9606.ENSP00000310696,13.0,23.0
66,9606.ENSP00000369055,9606.ENSP00000310696,4.0,23.0
67,9606.ENSP00000483375,9606.ENSP00000310696,3.0,23.0
68,9606.ENSP00000447378,9606.ENSP00000326227,9.0,16.0
69,9606.ENSP00000465930,9606.ENSP00000338703,1.0,20.0
70,9606.ENSP00000402103,9606.ENSP00000345771,11.0,7.0
71,9606.ENSP00000402103,9606.ENSP00000360124,11.0,21.0
72,9606.ENSP00000371393,9606.ENSP00000364512,5.0,14.0
73,9606.ENSP00000402103,9606.ENSP00000364512,11.0,14.0
74,9606.ENSP00000371393,9606.ENSP00000368119,5.0,13.0
75,9606.ENSP00000453129,9606.ENSP00000368119,18.0,13.0
76,9606.ENSP00000369055,9606.ENSP00000368119,4.0,13.0
77,9606.ENSP00000483375,9606.ENSP00000369055,3.0,4.0
78,9606.ENSP00000402103,9606.ENSP00000370517,11.0,25.0
79,9606.ENSP00000402103,9606.ENSP00000371393,11.0,5.0
