,protein1,protein2,id1,id2
0,9606.ENSP00000319501,9606.ENSP00000216075,9.0,8.0
1,9606.ENSP00000319501,9606.ENSP00000251566,9.0,19.0
2,9606.ENSP00000345774,9606.ENSP00000261733,12.0,6.0
3,9606.ENSP00000366927,9606.ENSP00000261733,4.0,6.0
4,9606.ENSP00000319501,9606.ENSP00000265403,9.0,16.0
5,9606.ENSP00000387683,9606.ENSP00000265403,15.0,16.0
6,9606.ENSP00000319501,9606.ENSP00000303174,9.0,3.0
7,9606.ENSP00000387683,9606.ENSP00000304811,15.0,17.0
8,9606.ENSP00000319501,9606.ENSP00000304811,9.0,17.0
9,9606.ENSP00000319501,9606.ENSP00000304845,9.0,21.0
10,9606.ENSP00000319501,9606.ENSP00000305221,9.0,18.0
11,9606.ENSP00000362525,9606.ENSP00000319501,2.0,9.0
12,9606.ENSP00000362513,9606.ENSP00000319501,7.0,9.0
13,9606.ENSP00000362549,9606.ENSP00000319501,1.0,9.0
14,9606.ENSP00000346768,9606.ENSP00000319501,13.0,9.0
15,9606.ENSP00000341045,9606.ENSP00000319501,24.0,9.0
16,9606.ENSP00000387683,9606.ENSP00000319501,15.0,9.0
17,9606.ENSP00000362508,9606.ENSP00000319501,20.0,9.0
18,9606.ENSP00000343838,9606.ENSP00000319501,0.0,9.0
19,9606.ENSP00000418532,9606.ENSP00000319501,23.0,9.0
20,9606.ENSP00000320401,9606.ENSP00000319501,22.0,9.0
21,9606.ENSP00000334276,9606.ENSP00000319501,5.0,9.0
22,9606.ENSP00000341045,9606.ENSP00000320401,24.0,22.0
23,9606.ENSP00000346768,9606.ENSP00000343838,13.0,0.0
24,9606.ENSP00000362525,9606.ENSP00000343838,2.0,0.0
25,9606.ENSP00000366927,9606.ENSP00000345774,4.0,12.0
26,9606.ENSP00000362525,9606.ENSP00000346768,2.0,13.0
