,protein1,protein2,id1,id2
0,9606.ENSP00000347717,9606.ENSP00000003100,5.0,4.0
1,9606.ENSP00000347717,9606.ENSP00000228606,5.0,6.0
2,9606.ENSP00000265896,9606.ENSP00000254521,2.0,8.0
3,9606.ENSP00000417052,9606.ENSP00000254521,3.0,8.0
4,9606.ENSP00000279263,9606.ENSP00000254521,14.0,8.0
5,9606.ENSP00000347717,9606.ENSP00000254521,5.0,8.0
6,9606.ENSP00000347717,9606.ENSP00000261507,5.0,9.0
7,9606.ENSP00000265896,9606.ENSP00000264027,2.0,11.0
8,9606.ENSP00000279263,9606.ENSP00000265896,14.0,2.0
9,9606.ENSP00000347717,9606.ENSP00000265896,5.0,2.0
10,9606.ENSP00000360316,9606.ENSP00000265896,7.0,2.0
11,9606.ENSP00000380837,9606.ENSP00000279263,1.0,14.0
12,9606.ENSP00000480828,9606.ENSP00000279263,10.0,14.0
13,9606.ENSP00000347717,9606.ENSP00000301466,5.0,16.0
14,9606.ENSP00000356591,9606.ENSP00000301466,0.0,16.0
15,9606.ENSP00000360316,9606.ENSP00000301466,7.0,16.0
16,9606.ENSP00000360316,9606.ENSP00000337354,7.0,12.0
17,9606.ENSP00000347717,9606.ENSP00000337354,5.0,12.0
18,9606.ENSP00000417052,9606.ENSP00000347717,3.0,5.0
19,9606.ENSP00000480828,9606.ENSP00000347717,10.0,5.0
20,9606.ENSP00000356591,9606.ENSP00000347717,0.0,5.0
21,9606.ENSP00000360316,9606.ENSP00000356591,7.0,0.0
22,9606.ENSP00000417052,9606.ENSP00000359297,3.0,15.0
23,9606.ENSP00000360316,9606.ENSP00000359297,7.0,15.0
24,9606.ENSP00000480828,9606.ENSP00000360316,10.0,7.0
