,protein1,protein2,id1,id2
0,9606.ENSP00000353770,9606.ENSP00000216367,136.0,72.0
1,9606.ENSP00000300738,9606.ENSP00000216367,134.0,72.0
2,9606.ENSP00000311368,9606.ENSP00000216367,59.0,72.0
3,9606.ENSP00000347046,9606.ENSP00000218006,58.0,128.0
4,9606.ENSP00000369456,9606.ENSP00000218006,130.0,128.0
5,9606.ENSP00000255266,9606.ENSP00000218006,51.0,128.0
6,9606.ENSP00000360502,9606.ENSP00000218006,48.0,128.0
7,9606.ENSP00000266395,9606.ENSP00000218006,89.0,128.0
8,9606.ENSP00000420295,9606.ENSP00000218006,81.0,128.0
9,9606.ENSP00000328412,9606.ENSP00000218006,91.0,128.0
10,9606.ENSP00000291539,9606.ENSP00000218006,74.0,128.0
11,9606.ENSP00000243052,9606.ENSP00000218006,75.0,128.0
12,9606.ENSP00000254854,9606.ENSP00000218006,31.0,128.0
13,9606.ENSP00000438284,9606.ENSP00000218006,143.0,128.0
14,9606.ENSP00000410309,9606.ENSP00000218006,107.0,128.0
15,9606.ENSP00000286063,9606.ENSP00000218006,18.0,128.0
16,9606.ENSP00000379496,9606.ENSP00000218006,68.0,128.0
17,9606.ENSP00000334910,9606.ENSP00000218006,67.0,128.0
18,9606.ENSP00000368455,9606.ENSP00000218006,46.0,128.0
19,9606.ENSP00000347345,9606.ENSP00000219252,117.0,94.0
20,9606.ENSP00000361446,9606.ENSP00000219252,88.0,94.0
21,9606.ENSP00000444136,9606.ENSP00000219252,104.0,94.0
22,9606.ENSP00000228347,9606.ENSP00000219252,120.0,94.0
23,9606.ENSP00000331111,9606.ENSP00000219252,158.0,94.0
24,9606.ENSP00000334564,9606.ENSP00000219252,36.0,94.0
25,9606.ENSP00000380904,9606.ENSP00000219252,135.0,94.0
26,9606.ENSP00000263857,9606.ENSP00000219252,119.0,94.0
27,9606.ENSP00000366828,9606.ENSP00000219252,39.0,94.0
28,9606.ENSP00000293860,9606.ENSP00000219252,103.0,94.0
29,9606.ENSP00000367029,9606.ENSP00000219252,84.0,94.0
30,9606.ENSP00000346577,9606.ENSP00000219302,54.0,37.0
31,9606.ENSP00000346921,9606.ENSP00000219302,23.0,37.0
32,9606.ENSP00000219479,9606.ENSP00000219302,30.0,37.0
33,9606.ENSP00000368455,9606.ENSP00000219302,46.0,37.0
34,9606.ENSP00000356785,9606.ENSP00000219302,155.0,37.0
35,9606.ENSP00000300738,9606.ENSP00000219302,134.0,37.0
36,9606.ENSP00000301825,9606.ENSP00000219302,147.0,37.0
37,9606.ENSP00000339933,9606.ENSP00000219302,122.0,37.0
38,9606.ENSP00000347213,9606.ENSP00000219302,145.0,37.0
39,9606.ENSP00000378743,9606.ENSP00000219302,24.0,37.0
40,9606.ENSP00000355689,9606.ENSP00000219302,127.0,37.0
41,9606.ENSP00000353770,9606.ENSP00000219302,136.0,37.0
42,9606.ENSP00000376886,9606.ENSP00000219302,34.0,37.0
43,9606.ENSP00000251810,9606.ENSP00000219302,106.0,37.0
44,9606.ENSP00000369456,9606.ENSP00000219302,130.0,37.0
45,9606.ENSP00000320171,9606.ENSP00000219302,125.0,37.0
46,9606.ENSP00000416658,9606.ENSP00000219302,14.0,37.0
47,9606.ENSP00000337060,9606.ENSP00000219302,32.0,37.0
48,9606.ENSP00000376886,9606.ENSP00000219479,34.0,30.0
49,9606.ENSP00000320171,9606.ENSP00000219479,125.0,30.0
50,9606.ENSP00000369456,9606.ENSP00000219479,130.0,30.0
51,9606.ENSP00000416658,9606.ENSP00000219479,14.0,30.0
52,9606.ENSP00000337060,9606.ENSP00000219479,32.0,30.0
53,9606.ENSP00000251810,9606.ENSP00000219479,106.0,30.0
54,9606.ENSP00000362271,9606.ENSP00000219479,21.0,30.0
55,9606.ENSP00000353770,9606.ENSP00000219479,136.0,30.0
56,9606.ENSP00000378743,9606.ENSP00000219479,24.0,30.0
57,9606.ENSP00000347213,9606.ENSP00000219479,145.0,30.0
58,9606.ENSP00000355689,9606.ENSP00000219479,127.0,30.0
59,9606.ENSP00000339933,9606.ENSP00000219479,122.0,30.0
60,9606.ENSP00000300738,9606.ENSP00000219479,134.0,30.0
61,9606.ENSP00000301825,9606.ENSP00000219479,147.0,30.0
62,9606.ENSP00000373674,9606.ENSP00000219479,113.0,30.0
63,9606.ENSP00000356785,9606.ENSP00000219479,155.0,30.0
64,9606.ENSP00000368455,9606.ENSP00000219479,46.0,30.0
65,9606.ENSP00000346921,9606.ENSP00000219479,23.0,30.0
66,9606.ENSP00000346577,9606.ENSP00000219479,54.0,30.0
67,9606.ENSP00000228347,9606.ENSP00000221859,120.0,8.0
68,9606.ENSP00000444136,9606.ENSP00000221859,104.0,8.0
69,9606.ENSP00000367029,9606.ENSP00000221859,84.0,8.0
70,9606.ENSP00000331111,9606.ENSP00000221859,158.0,8.0
71,9606.ENSP00000361465,9606.ENSP00000221859,131.0,8.0
72,9606.ENSP00000330898,9606.ENSP00000221859,118.0,8.0
73,9606.ENSP00000293860,9606.ENSP00000221859,103.0,8.0
74,9606.ENSP00000361446,9606.ENSP00000221859,88.0,8.0
75,9606.ENSP00000347345,9606.ENSP00000221859,117.0,8.0
76,9606.ENSP00000331111,9606.ENSP00000228347,158.0,120.0
77,9606.ENSP00000272645,9606.ENSP00000228347,92.0,120.0
78,9606.ENSP00000367029,9606.ENSP00000228347,84.0,120.0
79,9606.ENSP00000480158,9606.ENSP00000228347,90.0,120.0
80,9606.ENSP00000333019,9606.ENSP00000235628,69.0,86.0
81,9606.ENSP00000354532,9606.ENSP00000235628,105.0,86.0
82,9606.ENSP00000245552,9606.ENSP00000235628,156.0,86.0
83,9606.ENSP00000361965,9606.ENSP00000235628,70.0,86.0
84,9606.ENSP00000419851,9606.ENSP00000235628,101.0,86.0
85,9606.ENSP00000484415,9606.ENSP00000235628,137.0,86.0
86,9606.ENSP00000301825,9606.ENSP00000235628,147.0,86.0
87,9606.ENSP00000236959,9606.ENSP00000235628,33.0,86.0
88,9606.ENSP00000379802,9606.ENSP00000235628,28.0,86.0
89,9606.ENSP00000257770,9606.ENSP00000235628,140.0,86.0
90,9606.ENSP00000286648,9606.ENSP00000235628,93.0,86.0
91,9606.ENSP00000264093,9606.ENSP00000235628,35.0,86.0
92,9606.ENSP00000369456,9606.ENSP00000235628,130.0,86.0
93,9606.ENSP00000355689,9606.ENSP00000235628,127.0,86.0
94,9606.ENSP00000298556,9606.ENSP00000235628,109.0,86.0
95,9606.ENSP00000367615,9606.ENSP00000235628,152.0,86.0
96,9606.ENSP00000339479,9606.ENSP00000235628,1.0,86.0
97,9606.ENSP00000256578,9606.ENSP00000235628,29.0,86.0
98,9606.ENSP00000430075,9606.ENSP00000235628,27.0,86.0
99,9606.ENSP00000259727,9606.ENSP00000235628,55.0,86.0
100,9606.ENSP00000307674,9606.ENSP00000235628,26.0,86.0
101,9606.ENSP00000286621,9606.ENSP00000235628,129.0,86.0
102,9606.ENSP00000373674,9606.ENSP00000235628,113.0,86.0
103,9606.ENSP00000335246,9606.ENSP00000235628,146.0,86.0
104,9606.ENSP00000352904,9606.ENSP00000235628,151.0,86.0
105,9606.ENSP00000351520,9606.ENSP00000235628,124.0,86.0
106,9606.ENSP00000485525,9606.ENSP00000235628,13.0,86.0
107,9606.ENSP00000360561,9606.ENSP00000235628,71.0,86.0
108,9606.ENSP00000259727,9606.ENSP00000236959,55.0,33.0
