,protein1,protein2,id1,id2
0,9606.ENSP00000264705,9606.ENSP00000175506,26.0,29.0
1,9606.ENSP00000365437,9606.ENSP00000175506,19.0,29.0
2,9606.ENSP00000472474,9606.ENSP00000175506,11.0,29.0
3,9606.ENSP00000333019,9606.ENSP00000175506,16.0,29.0
4,9606.ENSP00000307900,9606.ENSP00000175506,22.0,29.0
5,9606.ENSP00000350928,9606.ENSP00000175506,18.0,29.0
6,9606.ENSP00000355493,9606.ENSP00000175506,6.0,29.0
7,9606.ENSP00000359539,9606.ENSP00000175506,24.0,29.0
8,9606.ENSP00000263080,9606.ENSP00000175506,31.0,29.0
9,9606.ENSP00000345282,9606.ENSP00000231420,14.0,2.0
10,9606.ENSP00000378408,9606.ENSP00000231420,12.0,2.0
11,9606.ENSP00000245206,9606.ENSP00000231420,20.0,2.0
12,9606.ENSP00000359539,9606.ENSP00000245206,24.0,20.0
13,9606.ENSP00000377696,9606.ENSP00000245206,23.0,20.0
14,9606.ENSP00000263080,9606.ENSP00000245206,31.0,20.0
15,9606.ENSP00000379845,9606.ENSP00000245206,5.0,20.0
16,9606.ENSP00000264705,9606.ENSP00000245206,26.0,20.0
17,9606.ENSP00000365437,9606.ENSP00000245206,19.0,20.0
18,9606.ENSP00000364490,9606.ENSP00000245206,25.0,20.0
19,9606.ENSP00000350928,9606.ENSP00000245206,18.0,20.0
20,9606.ENSP00000355493,9606.ENSP00000245206,6.0,20.0
21,9606.ENSP00000361471,9606.ENSP00000245206,28.0,20.0
22,9606.ENSP00000302620,9606.ENSP00000245206,21.0,20.0
23,9606.ENSP00000307900,9606.ENSP00000245206,22.0,20.0
24,9606.ENSP00000472474,9606.ENSP00000245206,11.0,20.0
25,9606.ENSP00000333019,9606.ENSP00000245206,16.0,20.0
26,9606.ENSP00000317379,9606.ENSP00000253778,9.0,1.0
27,9606.ENSP00000264705,9606.ENSP00000253778,26.0,1.0
28,9606.ENSP00000264220,9606.ENSP00000253778,30.0,1.0
29,9606.ENSP00000310447,9606.ENSP00000253778,4.0,1.0
30,9606.ENSP00000307900,9606.ENSP00000253778,22.0,1.0
31,9606.ENSP00000349860,9606.ENSP00000253778,13.0,1.0
32,9606.ENSP00000350928,9606.ENSP00000263080,18.0,31.0
33,9606.ENSP00000307900,9606.ENSP00000263080,22.0,31.0
34,9606.ENSP00000333019,9606.ENSP00000263080,16.0,31.0
35,9606.ENSP00000472474,9606.ENSP00000263080,11.0,31.0
36,9606.ENSP00000310447,9606.ENSP00000263080,4.0,31.0
37,9606.ENSP00000365437,9606.ENSP00000263080,19.0,31.0
38,9606.ENSP00000364490,9606.ENSP00000263080,25.0,31.0
39,9606.ENSP00000264705,9606.ENSP00000263080,26.0,31.0
40,9606.ENSP00000317379,9606.ENSP00000263080,9.0,31.0
41,9606.ENSP00000327589,9606.ENSP00000263080,0.0,31.0
42,9606.ENSP00000277865,9606.ENSP00000263080,8.0,31.0
43,9606.ENSP00000361471,9606.ENSP00000263080,28.0,31.0
44,9606.ENSP00000359539,9606.ENSP00000263080,24.0,31.0
45,9606.ENSP00000355493,9606.ENSP00000263080,6.0,31.0
46,9606.ENSP00000349860,9606.ENSP00000264220,13.0,30.0
