,protein1,protein2,id1,id2
0,9606.ENSP00000328983,9606.ENSP00000287590,14.0,5.0
1,9606.ENSP00000369055,9606.ENSP00000305595,4.0,2.0
2,9606.ENSP00000310696,9606.ENSP00000305595,9.0,2.0
3,9606.ENSP00000480428,9606.ENSP00000305595,7.0,2.0
4,9606.ENSP00000341206,9606.ENSP00000307911,11.0,0.0
5,9606.ENSP00000369055,9606.ENSP00000310696,4.0,9.0
6,9606.ENSP00000480428,9606.ENSP00000310696,7.0,9.0
7,9606.ENSP00000480428,9606.ENSP00000353910,7.0,13.0
8,9606.ENSP00000420161,9606.ENSP00000369055,10.0,4.0
9,9606.ENSP00000480428,9606.ENSP00000369055,7.0,4.0
10,9606.ENSP00000428540,9606.ENSP00000377257,8.0,6.0
11,9606.ENSP00000480428,9606.ENSP00000420161,7.0,10.0
