,protein1,protein2,id1,id2
0,9606.ENSP00000359976,9606.ENSP00000217426,29.0,3.0
1,9606.ENSP00000257549,9606.ENSP00000217426,5.0,3.0
2,9606.ENSP00000361287,9606.ENSP00000217426,27.0,3.0
3,9606.ENSP00000303147,9606.ENSP00000217426,30.0,3.0
4,9606.ENSP00000264709,9606.ENSP00000217426,7.0,3.0
5,9606.ENSP00000328547,9606.ENSP00000217426,8.0,3.0
6,9606.ENSP00000358814,9606.ENSP00000217426,21.0,3.0
7,9606.ENSP00000445175,9606.ENSP00000217426,24.0,3.0
8,9606.ENSP00000379386,9606.ENSP00000217426,12.0,3.0
9,9606.ENSP00000315931,9606.ENSP00000217426,28.0,3.0
10,9606.ENSP00000359539,9606.ENSP00000245206,18.0,15.0
11,9606.ENSP00000280706,9606.ENSP00000245206,32.0,15.0
12,9606.ENSP00000302393,9606.ENSP00000245206,19.0,15.0
13,9606.ENSP00000445175,9606.ENSP00000245206,24.0,15.0
14,9606.ENSP00000380402,9606.ENSP00000245206,31.0,15.0
15,9606.ENSP00000379386,9606.ENSP00000245206,12.0,15.0
16,9606.ENSP00000359976,9606.ENSP00000245206,29.0,15.0
17,9606.ENSP00000348234,9606.ENSP00000245206,20.0,15.0
18,9606.ENSP00000437783,9606.ENSP00000245206,9.0,15.0
19,9606.ENSP00000250535,9606.ENSP00000245206,16.0,15.0
20,9606.ENSP00000472474,9606.ENSP00000245206,10.0,15.0
21,9606.ENSP00000359976,9606.ENSP00000250535,29.0,16.0
22,9606.ENSP00000359539,9606.ENSP00000250535,18.0,16.0
23,9606.ENSP00000274353,9606.ENSP00000257549,14.0,5.0
24,9606.ENSP00000315931,9606.ENSP00000257549,28.0,5.0
25,9606.ENSP00000358814,9606.ENSP00000257549,21.0,5.0
26,9606.ENSP00000359976,9606.ENSP00000257549,29.0,5.0
27,9606.ENSP00000348234,9606.ENSP00000257549,20.0,5.0
28,9606.ENSP00000355536,9606.ENSP00000257549,25.0,5.0
29,9606.ENSP00000325425,9606.ENSP00000264709,23.0,7.0
30,9606.ENSP00000303147,9606.ENSP00000264709,30.0,7.0
31,9606.ENSP00000357880,9606.ENSP00000264709,0.0,7.0
32,9606.ENSP00000358814,9606.ENSP00000264709,21.0,7.0
33,9606.ENSP00000361287,9606.ENSP00000264709,27.0,7.0
34,9606.ENSP00000367030,9606.ENSP00000264709,6.0,7.0
35,9606.ENSP00000315931,9606.ENSP00000264709,28.0,7.0
36,9606.ENSP00000367030,9606.ENSP00000270172,6.0,33.0
37,9606.ENSP00000352516,9606.ENSP00000270172,4.0,33.0
38,9606.ENSP00000385746,9606.ENSP00000273920,11.0,13.0
39,9606.ENSP00000369519,9606.ENSP00000273920,22.0,13.0
40,9606.ENSP00000472474,9606.ENSP00000274353,10.0,14.0
41,9606.ENSP00000358814,9606.ENSP00000274353,21.0,14.0
42,9606.ENSP00000355536,9606.ENSP00000274353,25.0,14.0
43,9606.ENSP00000348234,9606.ENSP00000274353,20.0,14.0
44,9606.ENSP00000359976,9606.ENSP00000280706,29.0,32.0
45,9606.ENSP00000359539,9606.ENSP00000280706,18.0,32.0
46,9606.ENSP00000380402,9606.ENSP00000280706,31.0,32.0
47,9606.ENSP00000359539,9606.ENSP00000302393,18.0,19.0
48,9606.ENSP00000380402,9606.ENSP00000302393,31.0,19.0
49,9606.ENSP00000359976,9606.ENSP00000302393,29.0,19.0
50,9606.ENSP00000472474,9606.ENSP00000303147,10.0,30.0
51,9606.ENSP00000348234,9606.ENSP00000303147,20.0,30.0
52,9606.ENSP00000357880,9606.ENSP00000303147,0.0,30.0
53,9606.ENSP00000359976,9606.ENSP00000303147,29.0,30.0
54,9606.ENSP00000315931,9606.ENSP00000303147,28.0,30.0
55,9606.ENSP00000328547,9606.ENSP00000303147,8.0,30.0
56,9606.ENSP00000358814,9606.ENSP00000303147,21.0,30.0
57,9606.ENSP00000352516,9606.ENSP00000303147,4.0,30.0
58,9606.ENSP00000328547,9606.ENSP00000315931,8.0,28.0
59,9606.ENSP00000352516,9606.ENSP00000315931,4.0,28.0
60,9606.ENSP00000359976,9606.ENSP00000315931,29.0,28.0
61,9606.ENSP00000355536,9606.ENSP00000315931,25.0,28.0
62,9606.ENSP00000361287,9606.ENSP00000315931,27.0,28.0
63,9606.ENSP00000358814,9606.ENSP00000325425,21.0,23.0
64,9606.ENSP00000328547,9606.ENSP00000325425,8.0,23.0
