,protein1,protein2,id1,id2
0,9606.ENSP00000282903,9606.ENSP00000196061,7.0,8.0
1,9606.ENSP00000223127,9606.ENSP00000196061,41.0,8.0
2,9606.ENSP00000395929,9606.ENSP00000196061,42.0,8.0
3,9606.ENSP00000384629,9606.ENSP00000196061,12.0,8.0
4,9606.ENSP00000377040,9606.ENSP00000205214,18.0,4.0
5,9606.ENSP00000423190,9606.ENSP00000205214,38.0,4.0
6,9606.ENSP00000370023,9606.ENSP00000222214,16.0,31.0
7,9606.ENSP00000335304,9606.ENSP00000222214,2.0,31.0
8,9606.ENSP00000231887,9606.ENSP00000222214,28.0,31.0
9,9606.ENSP00000370023,9606.ENSP00000222673,16.0,15.0
10,9606.ENSP00000363216,9606.ENSP00000222673,29.0,15.0
11,9606.ENSP00000282903,9606.ENSP00000223127,7.0,41.0
12,9606.ENSP00000364678,9606.ENSP00000223127,10.0,41.0
13,9606.ENSP00000345774,9606.ENSP00000231887,21.0,28.0
14,9606.ENSP00000357535,9606.ENSP00000231887,19.0,28.0
15,9606.ENSP00000346827,9606.ENSP00000231887,20.0,28.0
16,9606.ENSP00000366927,9606.ENSP00000231887,3.0,28.0
17,9606.ENSP00000370023,9606.ENSP00000231887,16.0,28.0
18,9606.ENSP00000387123,9606.ENSP00000231887,34.0,28.0
19,9606.ENSP00000261733,9606.ENSP00000231887,5.0,28.0
20,9606.ENSP00000474560,9606.ENSP00000231887,13.0,28.0
21,9606.ENSP00000346997,9606.ENSP00000255613,0.0,32.0
22,9606.ENSP00000386759,9606.ENSP00000255613,39.0,32.0
23,9606.ENSP00000384629,9606.ENSP00000255613,12.0,32.0
24,9606.ENSP00000337976,9606.ENSP00000255613,23.0,32.0
25,9606.ENSP00000271640,9606.ENSP00000255613,37.0,32.0
26,9606.ENSP00000345774,9606.ENSP00000261733,21.0,5.0
27,9606.ENSP00000366927,9606.ENSP00000261733,3.0,5.0
28,9606.ENSP00000263182,9606.ENSP00000261733,17.0,5.0
29,9606.ENSP00000305899,9606.ENSP00000262519,22.0,30.0
30,9606.ENSP00000442924,9606.ENSP00000262519,25.0,30.0
31,9606.ENSP00000274031,9606.ENSP00000262519,33.0,30.0
32,9606.ENSP00000381657,9606.ENSP00000262519,26.0,30.0
33,9606.ENSP00000386759,9606.ENSP00000262519,39.0,30.0
34,9606.ENSP00000366927,9606.ENSP00000263182,3.0,17.0
35,9606.ENSP00000346827,9606.ENSP00000263182,20.0,17.0
36,9606.ENSP00000387123,9606.ENSP00000263182,34.0,17.0
37,9606.ENSP00000345774,9606.ENSP00000263182,21.0,17.0
38,9606.ENSP00000335304,9606.ENSP00000265838,2.0,11.0
39,9606.ENSP00000356015,9606.ENSP00000265838,6.0,11.0
40,9606.ENSP00000474560,9606.ENSP00000265838,13.0,11.0
41,9606.ENSP00000357535,9606.ENSP00000265838,19.0,11.0
42,9606.ENSP00000305899,9606.ENSP00000271640,22.0,37.0
43,9606.ENSP00000337976,9606.ENSP00000271640,23.0,37.0
44,9606.ENSP00000384629,9606.ENSP00000271640,12.0,37.0
45,9606.ENSP00000346997,9606.ENSP00000274031,0.0,33.0
46,9606.ENSP00000442924,9606.ENSP00000274031,25.0,33.0
47,9606.ENSP00000417980,9606.ENSP00000274031,36.0,33.0
48,9606.ENSP00000313983,9606.ENSP00000274031,35.0,33.0
49,9606.ENSP00000381657,9606.ENSP00000274031,26.0,33.0
50,9606.ENSP00000395929,9606.ENSP00000274031,42.0,33.0
51,9606.ENSP00000386759,9606.ENSP00000274031,39.0,33.0
52,9606.ENSP00000384629,9606.ENSP00000274031,12.0,33.0
53,9606.ENSP00000364678,9606.ENSP00000274031,10.0,33.0
54,9606.ENSP00000337976,9606.ENSP00000274031,23.0,33.0
55,9606.ENSP00000381657,9606.ENSP00000305899,26.0,22.0
56,9606.ENSP00000346997,9606.ENSP00000305899,0.0,22.0
57,9606.ENSP00000386759,9606.ENSP00000305899,39.0,22.0
58,9606.ENSP00000384629,9606.ENSP00000305899,12.0,22.0
59,9606.ENSP00000337976,9606.ENSP00000305899,23.0,22.0
60,9606.ENSP00000313983,9606.ENSP00000305899,35.0,22.0
61,9606.ENSP00000376204,9606.ENSP00000305899,24.0,22.0
62,9606.ENSP00000346827,9606.ENSP00000335261,20.0,9.0
63,9606.ENSP00000423190,9606.ENSP00000335304,38.0,2.0
64,9606.ENSP00000356015,9606.ENSP00000335304,6.0,2.0
65,9606.ENSP00000381657,9606.ENSP00000337976,26.0,23.0
66,9606.ENSP00000366927,9606.ENSP00000345774,3.0,21.0
67,9606.ENSP00000357535,9606.ENSP00000356015,19.0,6.0
68,9606.ENSP00000474560,9606.ENSP00000356015,13.0,6.0
69,9606.ENSP00000370023,9606.ENSP00000357535,16.0,19.0
70,9606.ENSP00000381657,9606.ENSP00000364678,26.0,10.0
71,9606.ENSP00000381657,9606.ENSP00000372351,26.0,27.0
72,9606.ENSP00000386759,9606.ENSP00000376204,39.0,24.0
73,9606.ENSP00000442924,9606.ENSP00000381657,25.0,26.0
74,9606.ENSP00000386759,9606.ENSP00000381657,39.0,26.0
75,9606.ENSP00000442924,9606.ENSP00000386759,25.0,39.0
76,9606.ENSP00000423190,9606.ENSP00000387123,38.0,34.0
