,protein1,protein2,id1,id2
0,9606.ENSP00000291670,9606.ENSP00000261208,24.0,8.0
1,9606.ENSP00000267845,9606.ENSP00000261208,28.0,8.0
2,9606.ENSP00000266736,9606.ENSP00000261208,25.0,8.0
3,9606.ENSP00000351682,9606.ENSP00000261208,0.0,8.0
4,9606.ENSP00000345774,9606.ENSP00000261733,17.0,4.0
5,9606.ENSP00000366927,9606.ENSP00000261733,3.0,4.0
6,9606.ENSP00000367309,9606.ENSP00000261733,1.0,4.0
7,9606.ENSP00000351682,9606.ENSP00000261733,0.0,4.0
8,9606.ENSP00000411613,9606.ENSP00000261733,22.0,4.0
9,9606.ENSP00000291670,9606.ENSP00000263080,24.0,26.0
10,9606.ENSP00000351682,9606.ENSP00000267845,0.0,28.0
11,9606.ENSP00000340684,9606.ENSP00000280097,2.0,9.0
12,9606.ENSP00000367309,9606.ENSP00000280097,1.0,9.0
13,9606.ENSP00000373073,9606.ENSP00000291670,20.0,24.0
14,9606.ENSP00000401191,9606.ENSP00000333934,7.0,21.0
15,9606.ENSP00000387123,9606.ENSP00000340684,23.0,2.0
16,9606.ENSP00000411613,9606.ENSP00000340684,22.0,2.0
17,9606.ENSP00000346827,9606.ENSP00000340684,16.0,2.0
18,9606.ENSP00000367309,9606.ENSP00000340684,1.0,2.0
19,9606.ENSP00000366927,9606.ENSP00000340684,3.0,2.0
20,9606.ENSP00000473990,9606.ENSP00000340684,14.0,2.0
21,9606.ENSP00000411821,9606.ENSP00000340684,6.0,2.0
22,9606.ENSP00000345774,9606.ENSP00000340684,17.0,2.0
23,9606.ENSP00000411613,9606.ENSP00000345774,22.0,17.0
24,9606.ENSP00000367309,9606.ENSP00000345774,1.0,17.0
25,9606.ENSP00000351682,9606.ENSP00000345774,0.0,17.0
26,9606.ENSP00000366927,9606.ENSP00000345774,3.0,17.0
27,9606.ENSP00000411613,9606.ENSP00000346827,22.0,16.0
28,9606.ENSP00000367309,9606.ENSP00000346827,1.0,16.0
29,9606.ENSP00000351682,9606.ENSP00000346827,0.0,16.0
30,9606.ENSP00000411821,9606.ENSP00000351682,6.0,0.0
31,9606.ENSP00000473990,9606.ENSP00000351682,14.0,0.0
32,9606.ENSP00000366927,9606.ENSP00000351682,3.0,0.0
33,9606.ENSP00000387123,9606.ENSP00000351682,23.0,0.0
34,9606.ENSP00000367309,9606.ENSP00000366927,1.0,3.0
35,9606.ENSP00000411613,9606.ENSP00000366927,22.0,3.0
36,9606.ENSP00000387123,9606.ENSP00000367309,23.0,1.0
37,9606.ENSP00000411613,9606.ENSP00000367309,22.0,1.0
38,9606.ENSP00000411821,9606.ENSP00000367309,6.0,1.0
39,9606.ENSP00000473990,9606.ENSP00000367309,14.0,1.0
40,9606.ENSP00000411613,9606.ENSP00000387123,22.0,23.0
41,9606.ENSP00000473990,9606.ENSP00000411821,14.0,6.0
