,protein1,protein2,id1,id2
0,9606.ENSP00000354511,9606.ENSP00000209668,9.0,27.0
1,9606.ENSP00000363832,9606.ENSP00000209668,3.0,27.0
2,9606.ENSP00000332256,9606.ENSP00000209668,20.0,27.0
3,9606.ENSP00000411821,9606.ENSP00000209668,8.0,27.0
4,9606.ENSP00000473990,9606.ENSP00000209668,22.0,27.0
5,9606.ENSP00000426083,9606.ENSP00000209668,21.0,27.0
6,9606.ENSP00000340684,9606.ENSP00000209668,1.0,27.0
7,9606.ENSP00000359539,9606.ENSP00000215754,31.0,34.0
8,9606.ENSP00000348234,9606.ENSP00000215754,33.0,34.0
9,9606.ENSP00000245206,9606.ENSP00000215754,28.0,34.0
10,9606.ENSP00000289004,9606.ENSP00000215754,2.0,34.0
11,9606.ENSP00000472474,9606.ENSP00000215754,12.0,34.0
12,9606.ENSP00000359539,9606.ENSP00000245206,31.0,28.0
13,9606.ENSP00000263321,9606.ENSP00000245206,5.0,28.0
14,9606.ENSP00000318820,9606.ENSP00000245206,39.0,28.0
15,9606.ENSP00000289004,9606.ENSP00000245206,2.0,28.0
16,9606.ENSP00000403644,9606.ENSP00000245206,14.0,28.0
17,9606.ENSP00000348234,9606.ENSP00000245206,33.0,28.0
18,9606.ENSP00000472474,9606.ENSP00000245206,12.0,28.0
19,9606.ENSP00000370571,9606.ENSP00000245206,40.0,28.0
20,9606.ENSP00000411821,9606.ENSP00000253799,8.0,4.0
21,9606.ENSP00000367309,9606.ENSP00000253799,0.0,4.0
22,9606.ENSP00000376776,9606.ENSP00000253799,16.0,4.0
23,9606.ENSP00000403644,9606.ENSP00000253799,14.0,4.0
24,9606.ENSP00000340684,9606.ENSP00000253799,1.0,4.0
25,9606.ENSP00000312326,9606.ENSP00000253799,10.0,4.0
26,9606.ENSP00000354511,9606.ENSP00000253799,9.0,4.0
27,9606.ENSP00000473990,9606.ENSP00000253799,22.0,4.0
28,9606.ENSP00000348234,9606.ENSP00000263321,33.0,5.0
29,9606.ENSP00000403644,9606.ENSP00000263321,14.0,5.0
30,9606.ENSP00000359539,9606.ENSP00000263321,31.0,5.0
31,9606.ENSP00000318820,9606.ENSP00000263321,39.0,5.0
32,9606.ENSP00000373570,9606.ENSP00000263321,32.0,5.0
33,9606.ENSP00000370571,9606.ENSP00000263321,40.0,5.0
34,9606.ENSP00000472474,9606.ENSP00000263321,12.0,5.0
35,9606.ENSP00000473990,9606.ENSP00000265512,22.0,23.0
36,9606.ENSP00000340684,9606.ENSP00000265512,1.0,23.0
37,9606.ENSP00000332256,9606.ENSP00000265512,20.0,23.0
38,9606.ENSP00000411821,9606.ENSP00000265512,8.0,23.0
39,9606.ENSP00000354511,9606.ENSP00000265512,9.0,23.0
40,9606.ENSP00000363832,9606.ENSP00000265512,3.0,23.0
41,9606.ENSP00000403644,9606.ENSP00000269582,14.0,36.0
42,9606.ENSP00000370571,9606.ENSP00000269582,40.0,36.0
43,9606.ENSP00000367309,9606.ENSP00000269582,0.0,36.0
44,9606.ENSP00000340684,9606.ENSP00000269582,1.0,36.0
45,9606.ENSP00000348234,9606.ENSP00000283871,33.0,6.0
46,9606.ENSP00000472474,9606.ENSP00000289004,12.0,2.0
47,9606.ENSP00000359539,9606.ENSP00000289004,31.0,2.0
48,9606.ENSP00000367309,9606.ENSP00000296412,0.0,25.0
49,9606.ENSP00000363832,9606.ENSP00000296412,3.0,25.0
50,9606.ENSP00000385080,9606.ENSP00000296412,41.0,25.0
51,9606.ENSP00000332256,9606.ENSP00000296412,20.0,25.0
52,9606.ENSP00000411821,9606.ENSP00000296412,8.0,25.0
53,9606.ENSP00000473990,9606.ENSP00000296412,22.0,25.0
54,9606.ENSP00000340684,9606.ENSP00000296412,1.0,25.0
55,9606.ENSP00000354511,9606.ENSP00000306606,9.0,19.0
56,9606.ENSP00000363832,9606.ENSP00000306606,3.0,19.0
57,9606.ENSP00000367309,9606.ENSP00000306606,0.0,19.0
58,9606.ENSP00000473990,9606.ENSP00000306606,22.0,19.0
59,9606.ENSP00000426083,9606.ENSP00000306606,21.0,19.0
60,9606.ENSP00000340684,9606.ENSP00000306606,1.0,19.0
61,9606.ENSP00000332256,9606.ENSP00000306606,20.0,19.0
62,9606.ENSP00000411821,9606.ENSP00000306606,8.0,19.0
63,9606.ENSP00000473990,9606.ENSP00000312326,22.0,10.0
64,9606.ENSP00000340684,9606.ENSP00000312326,1.0,10.0
65,9606.ENSP00000403644,9606.ENSP00000312326,14.0,10.0
66,9606.ENSP00000411821,9606.ENSP00000312326,8.0,10.0
67,9606.ENSP00000354511,9606.ENSP00000312326,9.0,10.0
68,9606.ENSP00000376776,9606.ENSP00000312326,16.0,10.0
69,9606.ENSP00000367309,9606.ENSP00000312326,0.0,10.0
70,9606.ENSP00000403644,9606.ENSP00000318820,14.0,39.0
71,9606.ENSP00000348234,9606.ENSP00000318820,33.0,39.0
72,9606.ENSP00000359539,9606.ENSP00000318820,31.0,39.0
73,9606.ENSP00000472474,9606.ENSP00000318820,12.0,39.0
74,9606.ENSP00000370571,9606.ENSP00000318820,40.0,39.0
75,9606.ENSP00000378359,9606.ENSP00000332256,17.0,20.0
76,9606.ENSP00000420269,9606.ENSP00000332256,15.0,20.0
77,9606.ENSP00000426083,9606.ENSP00000332256,21.0,20.0
78,9606.ENSP00000363832,9606.ENSP00000332256,3.0,20.0
79,9606.ENSP00000401191,9606.ENSP00000333934,11.0,30.0
80,9606.ENSP00000378359,9606.ENSP00000340684,17.0,1.0
81,9606.ENSP00000426083,9606.ENSP00000340684,21.0,1.0
82,9606.ENSP00000420269,9606.ENSP00000340684,15.0,1.0
83,9606.ENSP00000363832,9606.ENSP00000340684,3.0,1.0
84,9606.ENSP00000472474,9606.ENSP00000340684,12.0,1.0
85,9606.ENSP00000367309,9606.ENSP00000340684,0.0,1.0
86,9606.ENSP00000473990,9606.ENSP00000340684,22.0,1.0
87,9606.ENSP00000411821,9606.ENSP00000340684,8.0,1.0
88,9606.ENSP00000370571,9606.ENSP00000348234,40.0,33.0
89,9606.ENSP00000472474,9606.ENSP00000348234,12.0,33.0
90,9606.ENSP00000385080,9606.ENSP00000348234,41.0,33.0
91,9606.ENSP00000403644,9606.ENSP00000348234,14.0,33.0
92,9606.ENSP00000359539,9606.ENSP00000348234,31.0,33.0
93,9606.ENSP00000378359,9606.ENSP00000354511,17.0,9.0
94,9606.ENSP00000370571,9606.ENSP00000354511,40.0,9.0
95,9606.ENSP00000426083,9606.ENSP00000354511,21.0,9.0
96,9606.ENSP00000473990,9606.ENSP00000354511,22.0,9.0
97,9606.ENSP00000420269,9606.ENSP00000354511,15.0,9.0
98,9606.ENSP00000411821,9606.ENSP00000354511,8.0,9.0
99,9606.ENSP00000472474,9606.ENSP00000359539,12.0,31.0
100,9606.ENSP00000370571,9606.ENSP00000359539,40.0,31.0
101,9606.ENSP00000403644,9606.ENSP00000359539,14.0,31.0
102,9606.ENSP00000378359,9606.ENSP00000363832,17.0,3.0
103,9606.ENSP00000367309,9606.ENSP00000363832,0.0,3.0
104,9606.ENSP00000426083,9606.ENSP00000363832,21.0,3.0
105,9606.ENSP00000420269,9606.ENSP00000363832,15.0,3.0
106,9606.ENSP00000376776,9606.ENSP00000367309,16.0,0.0
107,9606.ENSP00000426083,9606.ENSP00000367309,21.0,0.0
108,9606.ENSP00000472474,9606.ENSP00000367309,12.0,0.0
109,9606.ENSP00000411821,9606.ENSP00000367309,8.0,0.0
110,9606.ENSP00000473990,9606.ENSP00000367309,22.0,0.0
111,9606.ENSP00000472474,9606.ENSP00000370571,12.0,40.0
112,9606.ENSP00000376776,9606.ENSP00000370571,16.0,40.0
113,9606.ENSP00000392762,9606.ENSP00000373570,37.0,32.0
114,9606.ENSP00000473990,9606.ENSP00000378359,22.0,17.0
115,9606.ENSP00000411821,9606.ENSP00000378359,8.0,17.0
116,9606.ENSP00000472474,9606.ENSP00000403644,12.0,14.0
117,9606.ENSP00000473990,9606.ENSP00000411821,22.0,8.0
118,9606.ENSP00000420269,9606.ENSP00000411821,15.0,8.0
119,9606.ENSP00000426083,9606.ENSP00000411821,21.0,8.0
120,9606.ENSP00000473990,9606.ENSP00000420269,22.0,15.0
121,9606.ENSP00000473990,9606.ENSP00000426083,22.0,21.0
