,protein1,protein2,id1,id2
0,9606.ENSP00000359539,9606.ENSP00000215754,11.0,14.0
1,9606.ENSP00000348234,9606.ENSP00000215754,13.0,14.0
2,9606.ENSP00000245206,9606.ENSP00000215754,6.0,14.0
3,9606.ENSP00000289004,9606.ENSP00000215754,5.0,14.0
4,9606.ENSP00000472474,9606.ENSP00000215754,16.0,14.0
5,9606.ENSP00000359539,9606.ENSP00000245206,11.0,6.0
6,9606.ENSP00000448059,9606.ENSP00000245206,10.0,6.0
7,9606.ENSP00000289004,9606.ENSP00000245206,5.0,6.0
8,9606.ENSP00000403644,9606.ENSP00000245206,17.0,6.0
9,9606.ENSP00000348234,9606.ENSP00000245206,13.0,6.0
10,9606.ENSP00000472474,9606.ENSP00000245206,16.0,6.0
11,9606.ENSP00000411821,9606.ENSP00000253799,8.0,7.0
12,9606.ENSP00000367309,9606.ENSP00000253799,3.0,7.0
13,9606.ENSP00000403644,9606.ENSP00000253799,17.0,7.0
14,9606.ENSP00000340684,9606.ENSP00000253799,4.0,7.0
15,9606.ENSP00000312326,9606.ENSP00000253799,9.0,7.0
16,9606.ENSP00000473990,9606.ENSP00000253799,1.0,7.0
17,9606.ENSP00000448059,9606.ENSP00000289004,10.0,5.0
18,9606.ENSP00000472474,9606.ENSP00000289004,16.0,5.0
19,9606.ENSP00000359539,9606.ENSP00000289004,11.0,5.0
20,9606.ENSP00000473990,9606.ENSP00000312326,1.0,9.0
21,9606.ENSP00000340684,9606.ENSP00000312326,4.0,9.0
22,9606.ENSP00000403644,9606.ENSP00000312326,17.0,9.0
23,9606.ENSP00000411821,9606.ENSP00000312326,8.0,9.0
24,9606.ENSP00000367309,9606.ENSP00000312326,3.0,9.0
25,9606.ENSP00000472474,9606.ENSP00000340684,16.0,4.0
26,9606.ENSP00000367309,9606.ENSP00000340684,3.0,4.0
27,9606.ENSP00000473990,9606.ENSP00000340684,1.0,4.0
28,9606.ENSP00000411821,9606.ENSP00000340684,8.0,4.0
29,9606.ENSP00000472474,9606.ENSP00000348234,16.0,13.0
30,9606.ENSP00000403644,9606.ENSP00000348234,17.0,13.0
31,9606.ENSP00000359539,9606.ENSP00000348234,11.0,13.0
32,9606.ENSP00000448059,9606.ENSP00000359539,10.0,11.0
33,9606.ENSP00000472474,9606.ENSP00000359539,16.0,11.0
34,9606.ENSP00000403644,9606.ENSP00000359539,17.0,11.0
35,9606.ENSP00000472474,9606.ENSP00000367309,16.0,3.0
36,9606.ENSP00000411821,9606.ENSP00000367309,8.0,3.0
37,9606.ENSP00000473990,9606.ENSP00000367309,1.0,3.0
38,9606.ENSP00000472474,9606.ENSP00000403644,16.0,17.0
39,9606.ENSP00000473990,9606.ENSP00000411821,1.0,8.0
40,9606.ENSP00000472474,9606.ENSP00000448059,16.0,10.0
