,protein1,protein2,id1,id2
0,9606.ENSP00000309757,9606.ENSP00000216180,23.0,40.0
1,9606.ENSP00000358223,9606.ENSP00000216180,20.0,40.0
2,9606.ENSP00000433933,9606.ENSP00000216180,19.0,40.0
3,9606.ENSP00000482264,9606.ENSP00000216180,21.0,40.0
4,9606.ENSP00000329697,9606.ENSP00000216180,42.0,40.0
5,9606.ENSP00000299022,9606.ENSP00000216180,32.0,40.0
6,9606.ENSP00000265052,9606.ENSP00000216180,36.0,40.0
7,9606.ENSP00000261292,9606.ENSP00000216180,2.0,40.0
8,9606.ENSP00000377900,9606.ENSP00000216180,47.0,40.0
9,9606.ENSP00000347581,9606.ENSP00000216180,13.0,40.0
10,9606.ENSP00000228027,9606.ENSP00000216180,9.0,40.0
11,9606.ENSP00000285930,9606.ENSP00000218516,18.0,11.0
12,9606.ENSP00000265022,9606.ENSP00000228027,28.0,9.0
13,9606.ENSP00000377900,9606.ENSP00000228027,47.0,9.0
14,9606.ENSP00000261292,9606.ENSP00000228027,2.0,9.0
15,9606.ENSP00000265276,9606.ENSP00000228027,1.0,9.0
16,9606.ENSP00000314036,9606.ENSP00000228027,17.0,9.0
17,9606.ENSP00000328405,9606.ENSP00000228027,30.0,9.0
18,9606.ENSP00000264057,9606.ENSP00000228027,5.0,9.0
19,9606.ENSP00000380184,9606.ENSP00000228027,37.0,9.0
20,9606.ENSP00000360761,9606.ENSP00000228027,44.0,9.0
21,9606.ENSP00000299022,9606.ENSP00000228027,32.0,9.0
22,9606.ENSP00000329697,9606.ENSP00000228027,42.0,9.0
23,9606.ENSP00000360296,9606.ENSP00000228027,31.0,9.0
24,9606.ENSP00000433933,9606.ENSP00000228027,19.0,9.0
25,9606.ENSP00000337572,9606.ENSP00000228027,6.0,9.0
26,9606.ENSP00000358223,9606.ENSP00000228027,20.0,9.0
27,9606.ENSP00000273814,9606.ENSP00000228027,25.0,9.0
28,9606.ENSP00000309757,9606.ENSP00000261292,23.0,2.0
29,9606.ENSP00000265052,9606.ENSP00000261292,36.0,2.0
30,9606.ENSP00000299022,9606.ENSP00000261292,32.0,2.0
31,9606.ENSP00000377900,9606.ENSP00000261292,47.0,2.0
32,9606.ENSP00000347581,9606.ENSP00000261292,13.0,2.0
33,9606.ENSP00000433933,9606.ENSP00000261292,19.0,2.0
34,9606.ENSP00000482264,9606.ENSP00000261292,21.0,2.0
35,9606.ENSP00000358223,9606.ENSP00000261292,20.0,2.0
36,9606.ENSP00000345774,9606.ENSP00000261733,39.0,26.0
37,9606.ENSP00000366927,9606.ENSP00000261733,24.0,26.0
38,9606.ENSP00000389175,9606.ENSP00000261733,22.0,26.0
39,9606.ENSP00000361140,9606.ENSP00000261733,29.0,26.0
40,9606.ENSP00000285930,9606.ENSP00000261733,18.0,26.0
41,9606.ENSP00000314036,9606.ENSP00000264057,17.0,5.0
42,9606.ENSP00000360761,9606.ENSP00000264057,44.0,5.0
43,9606.ENSP00000302177,9606.ENSP00000264057,0.0,5.0
44,9606.ENSP00000482264,9606.ENSP00000264057,21.0,5.0
45,9606.ENSP00000381140,9606.ENSP00000264057,15.0,5.0
46,9606.ENSP00000358223,9606.ENSP00000265022,20.0,28.0
47,9606.ENSP00000324944,9606.ENSP00000265022,7.0,28.0
48,9606.ENSP00000302177,9606.ENSP00000265022,0.0,28.0
49,9606.ENSP00000482264,9606.ENSP00000265022,21.0,28.0
50,9606.ENSP00000433933,9606.ENSP00000265052,19.0,36.0
51,9606.ENSP00000351706,9606.ENSP00000265052,10.0,36.0
52,9606.ENSP00000358223,9606.ENSP00000265052,20.0,36.0
53,9606.ENSP00000285930,9606.ENSP00000265052,18.0,36.0
54,9606.ENSP00000309757,9606.ENSP00000265052,23.0,36.0
55,9606.ENSP00000347581,9606.ENSP00000265052,13.0,36.0
56,9606.ENSP00000377900,9606.ENSP00000265052,47.0,36.0
57,9606.ENSP00000361140,9606.ENSP00000265052,29.0,36.0
58,9606.ENSP00000401720,9606.ENSP00000265052,8.0,36.0
59,9606.ENSP00000299022,9606.ENSP00000265052,32.0,36.0
60,9606.ENSP00000347581,9606.ENSP00000265276,13.0,1.0
61,9606.ENSP00000310551,9606.ENSP00000265276,34.0,1.0
62,9606.ENSP00000401720,9606.ENSP00000265276,8.0,1.0
63,9606.ENSP00000302177,9606.ENSP00000265276,0.0,1.0
64,9606.ENSP00000482264,9606.ENSP00000265276,21.0,1.0
65,9606.ENSP00000351706,9606.ENSP00000265276,10.0,1.0
66,9606.ENSP00000389395,9606.ENSP00000265276,46.0,1.0
67,9606.ENSP00000324944,9606.ENSP00000265276,7.0,1.0
68,9606.ENSP00000381140,9606.ENSP00000273814,15.0,25.0
69,9606.ENSP00000302177,9606.ENSP00000273814,0.0,25.0
70,9606.ENSP00000482264,9606.ENSP00000273814,21.0,25.0
71,9606.ENSP00000314036,9606.ENSP00000273814,17.0,25.0
72,9606.ENSP00000360761,9606.ENSP00000273814,44.0,25.0
73,9606.ENSP00000358223,9606.ENSP00000273814,20.0,25.0
74,9606.ENSP00000314036,9606.ENSP00000284061,17.0,4.0
75,9606.ENSP00000401720,9606.ENSP00000285930,8.0,18.0
76,9606.ENSP00000366927,9606.ENSP00000285930,24.0,18.0
77,9606.ENSP00000346827,9606.ENSP00000285930,38.0,18.0
78,9606.ENSP00000345774,9606.ENSP00000285930,39.0,18.0
79,9606.ENSP00000351706,9606.ENSP00000285930,10.0,18.0
80,9606.ENSP00000387123,9606.ENSP00000285930,12.0,18.0
81,9606.ENSP00000360761,9606.ENSP00000288490,44.0,33.0
82,9606.ENSP00000314036,9606.ENSP00000288490,17.0,33.0
83,9606.ENSP00000358223,9606.ENSP00000288490,20.0,33.0
84,9606.ENSP00000347581,9606.ENSP00000299022,13.0,32.0
85,9606.ENSP00000377900,9606.ENSP00000299022,47.0,32.0
86,9606.ENSP00000309757,9606.ENSP00000299022,23.0,32.0
87,9606.ENSP00000358223,9606.ENSP00000299022,20.0,32.0
88,9606.ENSP00000482264,9606.ENSP00000299022,21.0,32.0
89,9606.ENSP00000433933,9606.ENSP00000299022,19.0,32.0
90,9606.ENSP00000329697,9606.ENSP00000302177,42.0,0.0
91,9606.ENSP00000482264,9606.ENSP00000302177,21.0,0.0
92,9606.ENSP00000360296,9606.ENSP00000302177,31.0,0.0
93,9606.ENSP00000337572,9606.ENSP00000302177,6.0,0.0
94,9606.ENSP00000412178,9606.ENSP00000302177,3.0,0.0
95,9606.ENSP00000389395,9606.ENSP00000302177,46.0,0.0
96,9606.ENSP00000378877,9606.ENSP00000302177,43.0,0.0
97,9606.ENSP00000324944,9606.ENSP00000302177,7.0,0.0
98,9606.ENSP00000385780,9606.ENSP00000302177,27.0,0.0
99,9606.ENSP00000347581,9606.ENSP00000302177,13.0,0.0
100,9606.ENSP00000381140,9606.ENSP00000302177,15.0,0.0
101,9606.ENSP00000310551,9606.ENSP00000302177,34.0,0.0
102,9606.ENSP00000328405,9606.ENSP00000302177,30.0,0.0
103,9606.ENSP00000314036,9606.ENSP00000302177,17.0,0.0
104,9606.ENSP00000482571,9606.ENSP00000302177,35.0,0.0
105,9606.ENSP00000433933,9606.ENSP00000309757,19.0,23.0
106,9606.ENSP00000360296,9606.ENSP00000309757,31.0,23.0
107,9606.ENSP00000358223,9606.ENSP00000309757,20.0,23.0
108,9606.ENSP00000329697,9606.ENSP00000309757,42.0,23.0
109,9606.ENSP00000377900,9606.ENSP00000309757,47.0,23.0
110,9606.ENSP00000324944,9606.ENSP00000310551,7.0,34.0
111,9606.ENSP00000389395,9606.ENSP00000310551,46.0,34.0
112,9606.ENSP00000329697,9606.ENSP00000310551,42.0,34.0
113,9606.ENSP00000360761,9606.ENSP00000310551,44.0,34.0
114,9606.ENSP00000482571,9606.ENSP00000310551,35.0,34.0
115,9606.ENSP00000314036,9606.ENSP00000310551,17.0,34.0
116,9606.ENSP00000347581,9606.ENSP00000310551,13.0,34.0
117,9606.ENSP00000378877,9606.ENSP00000310551,43.0,34.0
118,9606.ENSP00000360296,9606.ENSP00000310551,31.0,34.0
119,9606.ENSP00000380184,9606.ENSP00000310551,37.0,34.0
120,9606.ENSP00000381140,9606.ENSP00000310551,15.0,34.0
121,9606.ENSP00000385780,9606.ENSP00000314036,27.0,17.0
122,9606.ENSP00000347581,9606.ENSP00000314036,13.0,17.0
123,9606.ENSP00000381140,9606.ENSP00000314036,15.0,17.0
124,9606.ENSP00000329697,9606.ENSP00000314036,42.0,17.0
125,9606.ENSP00000360296,9606.ENSP00000314036,31.0,17.0
126,9606.ENSP00000337572,9606.ENSP00000314036,6.0,17.0
127,9606.ENSP00000389395,9606.ENSP00000314036,46.0,17.0
128,9606.ENSP00000378877,9606.ENSP00000314036,43.0,17.0
129,9606.ENSP00000324944,9606.ENSP00000314036,7.0,17.0
130,9606.ENSP00000378877,9606.ENSP00000324944,43.0,7.0
131,9606.ENSP00000389395,9606.ENSP00000324944,46.0,7.0
132,9606.ENSP00000337572,9606.ENSP00000324944,6.0,7.0
133,9606.ENSP00000360296,9606.ENSP00000324944,31.0,7.0
134,9606.ENSP00000329697,9606.ENSP00000324944,42.0,7.0
135,9606.ENSP00000360761,9606.ENSP00000324944,44.0,7.0
136,9606.ENSP00000482571,9606.ENSP00000324944,35.0,7.0
137,9606.ENSP00000380184,9606.ENSP00000324944,37.0,7.0
138,9606.ENSP00000381140,9606.ENSP00000324944,15.0,7.0
139,9606.ENSP00000347581,9606.ENSP00000324944,13.0,7.0
140,9606.ENSP00000358223,9606.ENSP00000328405,20.0,30.0
141,9606.ENSP00000377900,9606.ENSP00000328405,47.0,30.0
142,9606.ENSP00000360761,9606.ENSP00000328405,44.0,30.0
143,9606.ENSP00000482264,9606.ENSP00000328405,21.0,30.0
144,9606.ENSP00000378877,9606.ENSP00000328405,43.0,30.0
145,9606.ENSP00000378877,9606.ENSP00000329697,43.0,42.0
146,9606.ENSP00000360296,9606.ENSP00000329697,31.0,42.0
147,9606.ENSP00000482264,9606.ENSP00000329697,21.0,42.0
148,9606.ENSP00000358223,9606.ENSP00000329697,20.0,42.0
149,9606.ENSP00000360761,9606.ENSP00000329697,44.0,42.0
150,9606.ENSP00000381140,9606.ENSP00000329697,15.0,42.0
151,9606.ENSP00000482264,9606.ENSP00000337572,21.0,6.0
152,9606.ENSP00000358223,9606.ENSP00000337572,20.0,6.0
153,9606.ENSP00000361140,9606.ENSP00000345774,29.0,39.0
