,protein1,protein2,id1,id2
0,9606.ENSP00000345774,9606.ENSP00000231887,4.0,11.0
1,9606.ENSP00000357535,9606.ENSP00000231887,2.0,11.0
2,9606.ENSP00000359871,9606.ENSP00000231887,13.0,11.0
3,9606.ENSP00000346827,9606.ENSP00000231887,3.0,11.0
4,9606.ENSP00000366927,9606.ENSP00000231887,8.0,11.0
5,9606.ENSP00000379845,9606.ENSP00000231887,10.0,11.0
6,9606.ENSP00000370023,9606.ENSP00000231887,20.0,11.0
7,9606.ENSP00000352706,9606.ENSP00000231887,9.0,11.0
8,9606.ENSP00000387123,9606.ENSP00000231887,15.0,11.0
9,9606.ENSP00000262430,9606.ENSP00000231887,19.0,11.0
10,9606.ENSP00000261733,9606.ENSP00000231887,12.0,11.0
11,9606.ENSP00000366927,9606.ENSP00000253799,8.0,7.0
12,9606.ENSP00000345774,9606.ENSP00000253799,4.0,7.0
13,9606.ENSP00000261733,9606.ENSP00000253799,12.0,7.0
14,9606.ENSP00000346827,9606.ENSP00000253799,3.0,7.0
15,9606.ENSP00000312326,9606.ENSP00000253799,16.0,7.0
16,9606.ENSP00000345774,9606.ENSP00000261733,4.0,12.0
17,9606.ENSP00000366927,9606.ENSP00000261733,8.0,12.0
18,9606.ENSP00000351682,9606.ENSP00000261733,0.0,12.0
19,9606.ENSP00000324343,9606.ENSP00000261733,14.0,12.0
20,9606.ENSP00000312326,9606.ENSP00000261733,16.0,12.0
21,9606.ENSP00000350928,9606.ENSP00000261733,5.0,12.0
22,9606.ENSP00000345774,9606.ENSP00000312326,4.0,16.0
23,9606.ENSP00000346827,9606.ENSP00000312326,3.0,16.0
24,9606.ENSP00000366927,9606.ENSP00000312326,8.0,16.0
25,9606.ENSP00000345774,9606.ENSP00000324343,4.0,14.0
26,9606.ENSP00000379845,9606.ENSP00000324343,10.0,14.0
27,9606.ENSP00000351682,9606.ENSP00000324343,0.0,14.0
28,9606.ENSP00000365437,9606.ENSP00000324343,6.0,14.0
29,9606.ENSP00000366927,9606.ENSP00000324343,8.0,14.0
30,9606.ENSP00000387123,9606.ENSP00000324343,15.0,14.0
31,9606.ENSP00000346827,9606.ENSP00000324343,3.0,14.0
32,9606.ENSP00000350928,9606.ENSP00000324343,5.0,14.0
33,9606.ENSP00000379845,9606.ENSP00000345774,10.0,4.0
34,9606.ENSP00000351682,9606.ENSP00000345774,0.0,4.0
35,9606.ENSP00000366927,9606.ENSP00000345774,8.0,4.0
36,9606.ENSP00000379845,9606.ENSP00000346827,10.0,3.0
37,9606.ENSP00000351682,9606.ENSP00000346827,0.0,3.0
38,9606.ENSP00000387123,9606.ENSP00000350928,15.0,5.0
39,9606.ENSP00000365437,9606.ENSP00000350928,6.0,5.0
40,9606.ENSP00000351682,9606.ENSP00000350928,0.0,5.0
41,9606.ENSP00000379845,9606.ENSP00000351682,10.0,0.0
42,9606.ENSP00000366927,9606.ENSP00000351682,8.0,0.0
43,9606.ENSP00000365437,9606.ENSP00000351682,6.0,0.0
44,9606.ENSP00000387123,9606.ENSP00000351682,15.0,0.0
45,9606.ENSP00000370023,9606.ENSP00000352706,20.0,9.0
46,9606.ENSP00000357535,9606.ENSP00000352706,2.0,9.0
47,9606.ENSP00000359871,9606.ENSP00000352706,13.0,9.0
48,9606.ENSP00000359871,9606.ENSP00000357535,13.0,2.0
49,9606.ENSP00000359211,9606.ENSP00000357535,18.0,2.0
50,9606.ENSP00000370023,9606.ENSP00000357535,20.0,2.0
51,9606.ENSP00000370023,9606.ENSP00000359871,20.0,13.0
52,9606.ENSP00000387123,9606.ENSP00000365437,15.0,6.0
53,9606.ENSP00000385746,9606.ENSP00000366156,21.0,1.0
