,protein1,protein2,id1,id2
0,9606.ENSP00000350928,9606.ENSP00000250535,4.0,8.0
1,9606.ENSP00000365437,9606.ENSP00000250535,6.0,8.0
2,9606.ENSP00000370962,9606.ENSP00000259407,7.0,5.0
3,9606.ENSP00000381340,9606.ENSP00000259407,2.0,5.0
4,9606.ENSP00000267085,9606.ENSP00000259407,1.0,5.0
5,9606.ENSP00000338964,9606.ENSP00000259407,0.0,5.0
6,9606.ENSP00000383232,9606.ENSP00000259407,3.0,5.0
7,9606.ENSP00000365437,9606.ENSP00000259407,6.0,5.0
8,9606.ENSP00000350928,9606.ENSP00000259407,4.0,5.0
9,9606.ENSP00000365437,9606.ENSP00000267085,6.0,1.0
10,9606.ENSP00000350928,9606.ENSP00000267085,4.0,1.0
11,9606.ENSP00000370962,9606.ENSP00000267085,7.0,1.0
12,9606.ENSP00000381340,9606.ENSP00000267085,2.0,1.0
13,9606.ENSP00000338964,9606.ENSP00000267085,0.0,1.0
14,9606.ENSP00000383232,9606.ENSP00000267085,3.0,1.0
15,9606.ENSP00000365437,9606.ENSP00000338964,6.0,0.0
16,9606.ENSP00000383232,9606.ENSP00000338964,3.0,0.0
17,9606.ENSP00000350928,9606.ENSP00000338964,4.0,0.0
18,9606.ENSP00000370962,9606.ENSP00000338964,7.0,0.0
19,9606.ENSP00000381340,9606.ENSP00000338964,2.0,0.0
20,9606.ENSP00000365437,9606.ENSP00000350928,6.0,4.0
21,9606.ENSP00000362888,9606.ENSP00000350928,9.0,4.0
22,9606.ENSP00000383232,9606.ENSP00000350928,3.0,4.0
23,9606.ENSP00000381340,9606.ENSP00000350928,2.0,4.0
24,9606.ENSP00000370962,9606.ENSP00000350928,7.0,4.0
25,9606.ENSP00000365437,9606.ENSP00000362888,6.0,9.0
26,9606.ENSP00000370962,9606.ENSP00000365437,7.0,6.0
27,9606.ENSP00000381340,9606.ENSP00000365437,2.0,6.0
28,9606.ENSP00000383232,9606.ENSP00000365437,3.0,6.0
29,9606.ENSP00000381340,9606.ENSP00000370962,2.0,7.0
30,9606.ENSP00000383232,9606.ENSP00000370962,3.0,7.0
31,9606.ENSP00000383232,9606.ENSP00000381340,3.0,2.0
